META; english/non-league/national-league/aldershot-v-maidenhead-utd; 2018-04-03 18:21:05 GMT+3; 2018-04-07 15:00; e70300-dr003
Aldershot; 3/4; 3/4; 4/5; 4/5; 41/50; 3/4; 3/4; 4/5; 4/5; 4/5; 3/4; 4/5; 8/11; 14/19; 5/6; 16/19; 4/5; 4/5; 4/5; 10/13; 1/7; 4/5
Draw; 13/5; 13/5; 5/2; 5/2; 143/50; 13/5; 13/5; 13/5; 5/2; 13/5; 5/2; 13/5; 5/2; 45/17; 5/2; 5/2; 13/5; 13/5; 53/20; 45/17; 1/5; 14/5
Maidenhead Utd; 3; 16/5; 3; 18/5; 3; 16/5; 29/10; 16/5; 16/5; 3; 16/5; 3; 41/13; 29/10; 27/10; 29/10; 10/3; 16/5; 16/5; 1/12; 7/2; 
META; english/non-league/national-league/aldershot-v-maidenhead-utd; 2018-04-04 08:20:05 GMT+3; 2018-04-07 15:00; e70300-dr003
Aldershot; 3/4; 3/4; 4/5; 4/5; 83/100; 3/4; 3/4; 4/5; 4/5; 4/5; 3/4; 5/6; 8/11; 14/19; 5/6; 16/19; 4/5; 4/5; 4/5; 10/13; 1/5; 4/5
Draw; 13/5; 13/5; 5/2; 5/2; 57/20; 13/5; 13/5; 13/5; 5/2; 13/5; 5/2; 14/5; 5/2; 45/17; 5/2; 5/2; 13/5; 13/5; 53/20; 45/17; 8/15; 14/5
Maidenhead Utd; 3; 10/3; 16/5; 3; 71/20; 3; 16/5; 29/10; 16/5; 16/5; 3; 100/30; 3; 41/13; 29/10; 27/10; 29/10; 17/5; 16/5; 16/5; 8/15; 7/2
META; english/non-league/national-league/aldershot-v-maidenhead-utd; 2018-04-04 18:21:33 GMT+3; 2018-04-07 15:00; e70300-dr003
Aldershot; 3/4; 4/5; 5/6; 4/5; 43/50; 3/4; 4/5; 4/5; 5/6; 4/5; 4/5; 17/20; 10/11; 4/5; 4/5; 5/6; 16/19; 4/5; 5/6; 17/20; 4/5; 4/6; 8/11; 5/6
Draw; 13/5; 5/2; 12/5; 5/2; 71/25; 5/2; 13/5; 13/5; 12/5; 5/2; 23/10; 12/5; 13/5; 5/2; 45/17; 5/2; 5/2; 13/5; 13/5; 13/5; 27/10; 9/4; 23/10; 11/4
Maidenhead Utd; 3; 16/5; 3; 17/5; 31/10; 16/5; 29/10; 3; 16/5; 3; 29/10; 16/5; 3; 31/10; 29/10; 27/10; 29/10; 16/5; 3; 41/13; 14/5; 5/2; 10/3; 
META; english/non-league/national-league/aldershot-v-maidenhead-utd; 2018-04-05 13:15:01 GMT+3; 2018-04-07 15:00; e70300-dr003
Aldershot; 3/4; 17/20; 5/6; 4/5; 43/50; 3/4; 4/5; 4/5; 5/6; 4/5; 4/5; 5/6; 10/11; 4/5; 4/5; 5/6; 16/19; 4/5; 17/20; 4/5; 4/6; 8/11; 5/6
Draw; 13/5; 5/2; 12/5; 5/2; 71/25; 5/2; 13/5; 13/5; 12/5; 5/2; 23/10; 12/5; 13/5; 12/5; 45/17; 5/2; 5/2; 13/5; 13/5; 27/10; 9/4; 23/10; 11/4
Maidenhead Utd; 3; 3; 17/5; 31/10; 16/5; 29/10; 3; 16/5; 3; 16/5; 3; 31/10; 29/10; 27/10; 29/10; 31/10; 41/13; 14/5; 5/2; 10/3; ; ; 
META; english/non-league/national-league/aldershot-v-maidenhead-utd; 2018-04-06 08:20:21 GMT+3; 2018-04-07 15:00; e70300-dr003
Aldershot; 4/5; 17/20; 4/5; 4/5; 43/50; 3/4; 4/5; 4/5; 4/5; 5/6; 4/5; 5/6; 10/11; 4/5; 4/5; 5/6; 6/7; 4/5; 17/20; 4/5; 8/11; 4/5; 5/6
Draw; 13/5; 5/2; 12/5; 5/2; 14/5; 5/2; 13/5; 13/5; 12/5; 5/2; 12/5; 12/5; 13/5; 12/5; 45/17; 5/2; 5/2; 13/5; 13/5; 27/10; 5/2; 12/5; 11/4
Maidenhead Utd; 10/3; 3; 3; 69/20; 31/10; 16/5; 29/10; 3; 31/10; 14/5; 3; 16/5; 3; 41/13; 29/10; 3; 29/10; 31/10; 41/13; 3; 10/3; ; 
META; english/non-league/national-league/aldershot-v-maidenhead-utd; 2018-04-07 12:21:30 GMT+3; 2018-04-07 15:00; e70300-dr003
Aldershot; 4/5; 5/6; 4/5; 4/5; 43/50; 3/4; 4/5; 4/5; 4/5; 4/5; 4/5; 5/6; 17/20; 4/5; 4/5; 5/6; 11/13; 4/5; 5/6; 4/5; 4/5; 5/6; 4/5
Draw; 13/5; 13/5; 13/5; 5/2; 74/25; 5/2; 11/4; 45/17; 13/5; 13/5; 12/5; 5/2; 3; 5/2; 11/4; 5/2; 27/10; 45/17; 11/4; 11/4; 13/5; 13/5; 
Maidenhead Utd; 10/3; 14/5; 29/10; 7/2; 13/4; 16/5; 3; 29/10; 29/10; 3; 29/10; 3; 3; 29/10; 37/13; 29/10; 3; 58/19; 10/3; 10/3; ; ; 
