META; english/non-league/national-league/bromley-v-barrow; 2018-04-23 10:19:01 GMT+3; 2018-04-24 19:45; e70300-dr003
Bromley; 1; 1; 19/20; 107/00; 19/20; 1; 1; 1; 21/20; 19/20; 1; 19/20; 21/20; 1; 1; 5/6; 21/20; ; ; ; 
Barrow; 13/5; 13/5; 12/5; 5/2; 67/25; 12/5; 12/5; 12/5; 5/2; 23/10; 12/5; 5/2; 12/5; 27/11; 5/2; 9/4; 12/5; 5/2; 5/2; 21/10; 13/5
Draw; 5/2; 5/2; 12/5; 12/5; 27/10; 12/5; 12/5; 12/5; 12/5; 23/10; 47/20; 11/4; 12/5; 5/2; 12/5; 13/5; 12/5; 13/5; 5/2; 21/10; 13/5
META; english/non-league/national-league/bromley-v-barrow; 2018-04-24 08:19:03 GMT+3; 2018-04-24 19:45; e70300-dr003
Bromley; 1; 1; 51/50; 19/20; 1; 1; 10/11; 1; 21/20; 19/20; 1; 19/20; 42/41; 1; 1; 19/20; 20/21; 10/11; 1; ; ; ; ; 
Draw; 5/2; 5/2; 12/5; 11/4; 69/25; 12/5; 5/2; 12/5; 12/5; 12/5; 12/5; 47/20; 11/4; 12/5; 27/11; 12/5; 45/17; 12/5; 13/5; 27/11; 13/5; 12/5; 2; 13/5
Barrow; 13/5; 13/5; 5/2; 12/5; 139/0; 12/5; 5/2; 12/5; 5/2; 5/2; 12/5; 49/20; 5/2; 12/5; 27/11; 5/2; 23/10; 12/5; 13/5; 5/2; 13/5; 13/5; 19/10; 27/10
