META; english/non-league/national-league/hartlepool-v-leyton-orient; 2018-04-16 20:42:21 GMT+3; 2018-04-17 19:45; e70300-dr003
Hartlepool; 6/4; 7/5; 29/20; 6/4; 39/25; 13/10; 4/3; 29/20; 7/5; 7/5; 29/20; 6/4; 7/5; 16/11; 23/17; 24/17; 4/3; 29/20; 16/11; 7/5; 7/5; 11/8; 6/4
Leyton Orient; 7/4; 9/5; 17/10; 9/5; 189/00; 7/4; 24/13; 17/10; 7/4; 13/8; 17/10; 15/8; 17/10; 7/4; 9/5; 31/18; 24/13; 9/5; 7/4; 7/4; 17/10; 7/5; 9/5
Draw; 12/5; 23/10; 11/5; 23/10; 123/0; 23/10; 9/4; 11/5; 23/10; 11/5; 11/5; 12/5; 11/5; 23/10; 9/4; 27/11; 9/4; 12/5; 23/10; 9/4; 11/5; 9/5; 12/5
META; english/non-league/national-league/hartlepool-v-leyton-orient; 2018-04-17 20:44:44 GMT+3; 2018-04-17 19:45; e70300-dr003
Leyton Orient; 1; 11/10; 21/20; 23/20; 113/00; 21/20; 11/10; 8/7; 21/20; 21/20; 1; 11/10; 23/20; 21/20; 21/20; 11/10; 10/9; 8/7; 21/20; 21/20; 21/20; 11/10; 11/10; 10/9
Draw; 13/5; 12/5; 9/4; 12/5; 49/20; 23/10; 23/10; 23/10; 9/4; 23/10; 11/5; 9/4; 12/5; 9/4; 40/17; 11/5; 23/10; 23/10; 5/2; 40/17; 9/4; 23/10; 23/10; 12/5
Hartlepool; 5/2; 12/5; 12/5; 23/10; 11/4; 23/10; 12/5; 28/13; 12/5; 12/5; 23/10; 47/20; 5/2; 23/10; 5/2; 23/10; 12/5; 28/13; 5/2; 5/2; 13/5; 5/2; 5/2; 13/5
