META; english/non-league/national-league/barrow-v-wrexham; 2017-12-26 12:50:43 GMT+2; 2017-12-26 15:00; e70300-dr003
Barrow; 13/10; 11/8; 13/10; 13/10; 139/ 100; 13/10; 13/10; ; 4/3; 13/10; 13/10; 5/4; ; 5/4; 13/10; 13/10; 23/17; 13/10; 23/17; 24/19; 4/3; 13/10; 13/10; 27/20; 13/10; ; 11/8; 13/10; 
Draw; 23/10; 21/10; 2; 2; 111/ 50; 2; 21/10; ; 37/19; 2; 21/10; 2; ; 39/20; 21/10; 2; 21/10; 39/19; 21/10; 9/4; 37/19; 85/40; 21/10; 2; 21/10; ; 2; 2; 
Wrexham; 21/10; 2; 11/5; 21/10; 59/25; 2; 11/5; ; 28/13; 11/5; 21/10; 2; ; 11/5; 11/5; 2; 9/5; 11/5; 9/5; 28/13; 28/13; 9/4; 23/10; 11/5; 11/5; ; 11/5; 9/4; 
