META; english/non-league/national-league/chester-v-torquay; 2018-03-26 12:21:25 GMT+3; 2018-03-30 15:00; e70300-dr003
Torquay; 6/4; 3/2; 163/100; 6/4; 10/7; 6/4; 7/5; 7/5; 7/5; 16/11; 10/7; 6/4; 6/4; 7/5; 6/5; 6/4
Chester; 7/4; 8/5; 91/50; 17/10; 17/10; 17/10; 8/5; 8/5; 28/17; 17/10; 17/10; 7/4; 7/4; 17/10; 11/8; 7/4
Draw; 23/10; 12/5; 61/25; 9/4; 9/4; 9/4; 11/5; 11/5; 11/5; 11/5; 9/4; 12/5; 23/10; 9/4; 7/4; 23/10
META; english/non-league/national-league/chester-v-torquay; 2018-03-27 08:21:09 GMT+3; 2018-03-30 15:00; e70300-dr003
Torquay; 31/20; 13/8; 8/5; 13/8; 43/25; 6/4; 8/5; 10/7; 8/5; 8/5; 31/20; 8/5; 17/10; 6/4; 17/11; 16/11; 20/13; 10/7; 13/8; 8/5; 17/11; 4/9; 7/5; 13/8
Chester; 17/10; 17/10; 33/20; 17/10; 89/50; 8/5; 13/8; 17/10; 33/20; 13/8; 13/8; 33/20; 13/8; 8/5; 8/5; 17/10; 31/21; 17/10; 17/10; 33/20; 28/17; 4/9; 6/4; 7/4
Draw; 23/10; 9/4; 21/10; 9/4; 47/20; 21/10; 21/10; 9/4; 21/10; 11/5; 19/10; 21/10; 21/10; 21/10; 11/5; 11/5; 23/10; 9/4; 9/4; 11/5; 11/5; 7/4; 19/10; 23/10
META; english/non-league/national-league/chester-v-torquay; 2018-03-28 08:21:50 GMT+3; 2018-03-30 15:00; e70300-dr003
Torquay; 31/20; 13/8; 8/5; 13/8; 43/25; 6/4; 8/5; 10/7; 8/5; 8/5; 31/20; 8/5; 17/10; 6/4; 16/11; 8/5; 10/7; 13/8; 8/5; 8/5; 8/5; 13/8; 
Chester; 17/10; 17/10; 13/8; 17/10; 89/50; 8/5; 17/10; 17/10; 13/8; 17/10; 13/8; 33/20; 17/10; 8/5; 17/10; 8/5; 17/10; 17/10; 33/20; 28/17; 7/5; 7/4; 
Draw; 23/10; 9/4; 21/10; 9/4; 47/20; 21/10; 11/5; 9/4; 21/10; 21/10; 19/10; 21/10; 23/10; 2; 9/4; 11/5; 23/10; 9/4; 9/4; 11/5; 9/4; 19/10; 23/10
META; english/non-league/national-league/chester-v-torquay; 2018-03-29 08:21:34 GMT+3; 2018-03-30 15:00; e70300-dr003
Torquay; 31/20; 13/8; 13/8; 13/8; 43/25; 6/4; 8/5; 10/7; 13/8; 8/5; 31/20; 8/5; 17/10; 6/4; 17/11; 16/11; 13/8; 10/7; 13/8; 8/5; 8/5; 13/8; 8/5
Chester; 17/10; 17/10; 13/8; 17/10; 89/50; 8/5; 17/10; 17/10; 13/8; 13/8; 13/8; 33/20; 17/10; 8/5; 17/10; 13/8; 17/10; 17/10; 33/20; 28/17; 13/8; 13/8; 
Draw; 23/10; 9/4; 21/10; 9/4; 47/20; 21/10; 11/5; 9/4; 21/10; 11/5; 19/10; 21/10; 23/10; 21/10; 9/4; 11/5; 11/5; 9/4; 9/4; 11/5; 9/4; 2; 
