META; english/non-league/national-league/chester-v-guiseley; 2017-12-26 12:50:51 GMT+2; 2017-12-26 15:00; e70300-dr003
Chester; 11/10; 23/20; 15/13; 6/5; 31/25; 11/10; 6/5; ; 6/5; 23/20; 23/20; 23/20; ; 23/20; 6/5; 11/10; 11/10; 15/13; 11/10; 22/19; 6/5; 6/5; 23/20; 6/5; 15/13; ; 23/20; 23/20; 
Guiseley; 12/5; 9/4; 11/5; 23/10; 119/ 50; 11/5; 9/4; ; 28/13; 11/5; 9/4; 21/10; ; 11/5; 11/5; 21/10; 9/4; 28/13; 9/4; 11/5; 28/13; 9/4; 23/10; 11/5; 11/5; ; 23/10; 23/10; 
Draw; 12/5; 23/10; 11/5; 23/10; 127/ 50; 9/4; 23/10; ; 11/5; 11/5; 9/4; 11/5; ; 11/5; 23/10; 11/5; 21/10; 40/17; 21/10; 12/5; 11/5; 12/5; 12/5; 47/20; 12/5; ; 23/10; 23/10; 
