META; english/non-league/national-league/dagenham-redbridge-v-tranmere; 2018-03-05 20:20:48 GMT+2; 2018-03-10 15:00; e70300-dr003
Tranmere; 6/5; 11/10; 21/20; 6/5; 6/5; 11/10; 21/20; 11/10; 15/13; 15/13; 6/5; 23/20; 6/5; 15/13; 4/5
Draw; 9/4; 23/10; 21/10; 21/10; 28/13; 11/5; 21/10; 21/10; 28/13; 11/5; 28/13; 23/10; 9/4; 28/13; 6/4
Dagenham & Redbridge; 23/10; 11/5; 12/5; 9/4; 11/5; 12/5; 23/10; 9/4; 11/5; 11/5; 11/5; 12/5; 9/4; 11/5; 21/10
META; english/non-league/national-league/dagenham-redbridge-v-tranmere; 2018-03-06 15:06:58 GMT+2; 2018-03-10 15:00; e70300-dr003
Tranmere; 6/5; 11/10; 131/00; 21/20; 6/5; 6/5; 11/10; 21/20; 11/10; 15/13; 15/13; 6/5; 6/5; 15/13; 5/6
Draw; 9/4; 23/10; 119/0; 21/10; 11/5; 28/13; 11/5; 21/10; 21/10; 28/13; 11/5; 28/13; 9/4; 28/13; 13/8
Dagenham & Redbridge; 23/10; 11/5; 119/0; 12/5; 11/5; 11/5; 12/5; 23/10; 9/4; 11/5; 11/5; 11/5; 9/4; 11/5; 21/10
META; english/non-league/national-league/dagenham-redbridge-v-tranmere; 2018-03-08 10:17:37 GMT+2; 2018-03-10 15:00; e70300-dr003
Tranmere; 6/5; 13/10; 1; 63/50; 11/10; 6/5; 16/13; 6/5; 6/5; 5/4; 5/4; 11/10; 6/5; 15/13; 19/16; 16/13; 13/10; 5/4; 6/5; 5/6; 5/4
Dagenham & Redbridge; 23/10; 21/10; 23/10; 11/5; 21/10; 21/10; 21/10; 11/5; 2; 41/20; 21/10; 21/10; 28/13; 11/5; 21/11; 21/10; 85/40; 21/10; 28/13; 9/5; 9/4
Draw; 9/4; 23/10; 9/4; 59/25; 21/10; 9/4; 11/5; 11/5; 21/10; 11/5; 23/10; 11/5; 9/4; 11/5; 40/17; 11/5; 23/10; 23/10; 23/10; 21/10; 12/5
META; english/non-league/national-league/dagenham-redbridge-v-tranmere; 2018-03-08 12:21:10 GMT+2; 2018-03-10 15:00; e70300-dr003
Tranmere; 6/5; 13/10; 1; 63/50; 11/10; 6/5; 16/13; 5/4; 6/5; 6/5; 5/4; 5/4; 11/10; 6/5; 15/13; 19/16; 16/13; 13/10; 5/4; 6/5; 5/6; 5/4; 5/4
Dagenham & Redbridge; 23/10; 21/10; 23/10; 11/5; 21/10; 21/10; 21/10; 2; 11/5; 2; 41/20; 21/10; 21/10; 28/13; 11/5; 21/11; 21/10; 85/40; 21/10; 28/13; 9/5; 7/4; 9/4
Draw; 9/4; 23/10; 9/4; 59/25; 21/10; 9/4; 11/5; 11/5; 11/5; 21/10; 11/5; 23/10; 21/10; 23/10; 11/5; 40/17; 11/5; 23/10; 23/10; 23/10; 21/10; 2; 12/5
META; english/non-league/national-league/dagenham-redbridge-v-tranmere; 2018-03-09 12:20:21 GMT+2; 2018-03-10 15:00; e70300-dr003
Tranmere; 6/5; 13/10; 6/5; 1; 63/50; 11/10; 6/5; 16/13; 6/5; 6/5; 23/20; 5/4; 5/4; 11/10; 6/5; 15/13; 6/5; 16/13; 5/4; 5/4; 23/20; 5/4; 5/4
Dagenham & Redbridge; 23/10; 21/10; 21/10; 23/10; 11/5; 21/10; 21/10; 21/10; 21/10; 11/5; 2; 41/20; 21/10; 21/10; 28/13; 11/5; 28/13; 21/10; 11/5; 21/10; 2; 9/4; 
Draw; 9/4; 23/10; 11/5; 9/4; 59/25; 21/10; 9/4; 11/5; 11/5; 11/5; 11/5; 11/5; 23/10; 11/5; 23/10; 11/5; 40/17; 11/5; 23/10; 23/10; 9/4; 2; 12/5
META; english/non-league/national-league/dagenham-redbridge-v-tranmere; 2018-03-10 12:20:57 GMT+2; 2018-03-10 15:00; e70300-dr003
Tranmere; 6/5; 6/5; 5/4; 6/5; 31/25; 11/10; 6/5; 16/13; 5/4; 6/5; 23/20; 5/4; 23/20; 11/10; 6/5; 15/13; 5/4; 16/13; 5/4; 6/5; 6/5; 6/5; 5/4; 5/4
Dagenham & Redbridge; 23/10; 23/10; 21/10; 23/10; 111/0; 9/4; 11/5; 21/10; 21/10; 9/4; 21/10; 41/20; 23/10; 21/10; 28/13; 11/5; 39/19; 21/10; 11/5; 11/5; 28/13; 9/4; 9/4; 9/4
Draw; 9/4; 23/10; 11/5; 23/10; 119/0; 11/5; 23/10; 11/5; 11/5; 11/5; 21/10; 11/5; 23/10; 21/10; 23/10; 11/5; 40/17; 11/5; 23/10; 23/10; 23/10; 23/10; 11/5; 12/5
