META; english/non-league/national-league/eastleigh-v-hartlepool; 2018-01-22 12:17:39 GMT+2; 2018-01-27 15:00; e70300-dr003
Eastleigh; 5/6; 10/11; 4/5; ; 89/ 100; 4/5; 5/6; ; ; 4/5; 5/6; 4/5; ; ; ; 4/5; 5/6; 10/13; 5/6; ; ; 5/6; 5/6; 5/6; 4/5; ; ; 
Draw; 5/2; 23/10; 13/5; ; 131/ 50; 12/5; 12/5; ; ; 13/5; 5/2; 12/5; ; ; ; 12/5; 12/5; 12/5; 12/5; ; ; 13/5; 13/5; 13/5; 12/5; ; ; 
Hartlepool; 10/3; 11/4; 3; ; 71/20; 31/10; 3; ; ; 3; 31/10; 14/5; ; ; ; 3; 3; 41/13; 3; ; ; 3; 16/5; 3; 16/5; ; ; 
META; english/non-league/national-league/eastleigh-v-hartlepool; 2018-01-23 02:17:07 GMT+2; 2018-01-27 15:00; e70300-dr003
Eastleigh; 5/6; 17/20; 11/13; ; 89/ 100; 4/5; 5/6; ; 11/13; 17/20; 5/6; 5/6; ; 17/20; 17/20; 5/6; 11/13; 5/6; 11/13; 7/8; 11/13; 5/6; 20/23; 5/6; 5/6; 8/11; ; 
Draw; 5/2; 11/4; 5/2; ; 131/ 50; 12/5; 5/2; ; 12/5; 5/2; 5/2; 23/10; ; 49/20; 13/5; 12/5; 23/10; 27/11; 23/10; 13/5; 12/5; 13/5; 27/10; 13/5; 27/11; 23/10; ; 
Hartlepool; 10/3; 3; 14/5; ; 71/20; 31/10; 3; ; 29/10; 14/5; 3; 11/4; ; 14/5; 3; 14/5; 3; 58/19; 3; 14/5; 29/10; 3; 29/10; 3; 31/10; 11/4; ; 
META; english/non-league/national-league/eastleigh-v-hartlepool; 2018-01-23 17:23:45 GMT+2; 2018-01-27 15:00; e70300-dr003
Eastleigh; 5/6; 17/20; 11/13; ; 89/ 100; 4/5; 5/6; ; 11/13; 17/20; 5/6; 5/6; ; 17/20; 17/20; 5/6; 11/13; 5/6; 11/13; 7/8; 11/13; 5/6; 20/23; 5/6; 5/6; 8/11; ; 
Draw; 5/2; 11/4; 5/2; ; 131/ 50; 12/5; 5/2; ; 12/5; 5/2; 13/5; 23/10; ; 49/20; 13/5; 12/5; 23/10; 27/11; 23/10; 13/5; 12/5; 13/5; 27/10; 13/5; 27/11; 23/10; ; 
Hartlepool; 10/3; 3; 14/5; ; 71/20; 31/10; 3; ; 29/10; 14/5; 29/10; 11/4; ; 14/5; 3; 14/5; 3; 58/19; 3; 14/5; 29/10; 3; 29/10; 3; 31/10; 11/4; ; 
META; english/non-league/national-league/eastleigh-v-hartlepool; 2018-01-24 12:18:55 GMT+2; 2018-01-27 15:00; e70300-dr003
Eastleigh; 5/6; 10/11; 13/15; ; 19/20; 4/5; 20/23; ; 11/13; 20/23; 17/20; 20/23; ; 9/10; 17/20; 17/20; 11/13; 13/15; 11/13; 7/8; 11/13; 5/6; 9/10; 17/20; 13/15; ; ; 5/6; 
Draw; 5/2; 13/5; 12/5; ; 64/25; 5/2; 12/5; ; 12/5; 12/5; 5/2; 5/2; ; 12/5; 13/5; 12/5; 23/10; 12/5; 23/10; 13/5; 12/5; 13/5; 13/5; 13/5; 12/5; ; ; 21/10; 
Hartlepool; 10/3; 29/10; 11/4; ; 33/10; 29/10; 29/10; ; 29/10; 11/4; 3; 5/2; ; 11/4; 3; 14/5; 3; 56/19; 3; 14/5; 29/10; 3; 29/10; 59/20; 3; ; ; 12/5; 
