META; english/non-league/national-league/aldershot-v-dover; 2017-09-04 20:20:13 GMT+3; 2017-09-09 15:00; e70300-dr003
Aldershot; 21/20; 10/11; 1; 1; 1; ; 1; ; 1; 1; 1; 1; 1; ; 1; 1; ; 1; 1; 109/100; 42/41; 1; ; 21/20; 1; ; 20/21; 20/21; 
Draw; 5/2; 12/5; 47/20; 12/5; 12/5; ; 5/2; ; 9/4; 23/10; 23/10; 9/4; 49/20; ; 5/2; 12/5; ; 9/4; 12/5; 133/50; 12/5; 9/4; ; 12/5; 5/2; ; 9/4; 11/5; 
Dover; 12/5; 14/5; 5/2; 12/5; 5/2; ; 13/5; ; 45/17; 5/2; 5/2; 23/10; 13/5; ; 5/2; 12/5; ; 13/5; 5/2; 133/50; 11/5; 45/17; ; 5/2; 5/2; ; 12/5; 12/5; 
META; english/non-league/national-league/aldershot-v-dover; 2017-09-07 19:22:30 GMT+3; 2017-09-09 15:00; e70300-dr003
Aldershot; 23/20; 6/5; 23/20; 1; 23/20; 1; 6/5; 1; 8/7; 15/13; 23/20; 23/20; 23/20; ; 23/20; 11/10; ; ; 15/13; 61/50; 19/16; 8/7; ; 11/10; 11/10; ; 23/20; 23/20; 
Dover; 9/4; 11/5; 11/5; 12/5; 9/4; 12/5; 11/5; 23/10; 11/5; 21/10; 21/10; 21/10; 9/4; ; 11/5; 11/5; ; ; 11/5; 59/25; 28/13; 11/5; ; 9/4; 9/4; ; 21/10; 21/10; 
Draw; 12/5; 12/5; 23/10; 12/5; 23/10; 11/5; 12/5; 23/10; 9/4; 9/4; 9/4; 21/10; 12/5; ; 12/5; 23/10; ; ; 40/17; 13/5; 12/5; 9/4; ; 12/5; 12/5; ; 12/5; 2; 
