META; english/non-league/national-league/guiseley-v-chester; 2017-12-31 12:18:07 GMT+2; 2018-01-01 15:00; e70300-dr003
Guiseley; 21/20; 21/20; 21/20; 11/10; 11/10; 10/11; 1; ; 1; 21/20; 21/20; 1; ; 21/20; 11/10; 1; 21/20; 21/20; 21/20; 13/12; 1; 21/20; 1; 1; 21/20; ; 1; 20/21; 
Draw; 12/5; 12/5; 11/5; 12/5; 123/ 50; 23/10; 23/10; ; 23/10; 11/5; 23/10; 21/10; ; 11/5; 23/10; 11/5; 11/5; 40/17; 11/5; 12/5; 23/10; 12/5; 12/5; 12/5; 40/17; ; 9/4; 21/10; 
Chester; 5/2; 13/5; 5/2; 5/2; 71/25; 27/10; 5/2; ; 28/11; 5/2; 5/2; 5/2; ; 5/2; 12/5; 5/2; 11/5; 27/11; 11/5; 12/5; 28/11; 13/5; 11/4; 13/5; 5/2; ; 5/2; 5/2; 
