META; english/non-league/national-league/hartlepool-v-boreham-wood; 2018-03-05 20:20:57 GMT+2; 2018-03-10 15:00; e70300-dr003
Boreham Wood; 6/5; 11/10; 11/10; 6/5; 13/11; 23/20; 21/20; 11/10; 15/13; 15/13; 13/11; 23/20; 6/5; 15/13; 9/10
Hartlepool; 11/5; 11/5; 23/10; 21/10; 28/13; 9/4; 23/10; 11/5; 21/10; 21/10; 28/13; 21/10; 21/10; 17/10; 
Draw; 12/5; 23/10; 21/10; 23/10; 9/4; 9/4; 21/10; 11/5; 9/4; 23/10; 9/4; 23/10; 12/5; 9/4; 9/5
META; english/non-league/national-league/hartlepool-v-boreham-wood; 2018-03-06 15:07:08 GMT+2; 2018-03-10 15:00; e70300-dr003
Boreham Wood; 6/5; 11/10; 32/25; 11/10; 11/10; 13/11; 23/20; 21/20; 11/10; 15/13; 15/13; 13/11; 6/5; 15/13; 5/6
Hartlepool; 11/5; 11/5; 23/10; 23/10; 21/10; 28/13; 9/4; 23/10; 21/10; 21/10; 21/10; 28/13; 21/10; 21/10; 7/4
Draw; 12/5; 23/10; 63/25; 21/10; 23/10; 9/4; 9/4; 21/10; 11/5; 9/4; 23/10; 9/4; 12/5; 9/4; 7/4
META; english/non-league/national-league/hartlepool-v-boreham-wood; 2018-03-08 10:17:45 GMT+2; 2018-03-10 15:00; e70300-dr003
Boreham Wood; 11/10; 23/20; 11/10; 6/5; 21/20; 11/10; 13/11; 11/10; 11/10; 23/20; 23/20; 11/10; 11/10; 15/13; 13/11; 11/10; 11/10; 15/13; 10/11; 23/20
Draw; 12/5; 12/5; 23/10; 5/2; 11/5; 23/10; 9/4; 11/5; 9/4; 43/20; 23/10; 9/4; 23/10; 23/10; 9/4; 12/5; 12/5; 40/17; 19/10; 12/5
Hartlepool; 12/5; 23/10; 11/5; 5/2; 23/10; 9/4; 28/13; 12/5; 21/10; 9/4; 23/10; 11/5; 23/10; 21/10; 28/13; 12/5; 23/10; 23/10; 21/10; 12/5
META; english/non-league/national-league/hartlepool-v-boreham-wood; 2018-03-08 12:21:19 GMT+2; 2018-03-10 15:00; e70300-dr003
Boreham Wood; 11/10; 23/20; 11/10; 6/5; 21/20; 11/10; 13/11; 11/10; 11/10; 11/10; 23/20; 23/20; 11/10; 11/10; 15/13; 13/11; 11/10; 11/10; 11/10; 10/11; 23/20
Draw; 12/5; 12/5; 23/10; 5/2; 11/5; 23/10; 9/4; 9/4; 11/5; 9/4; 43/20; 23/10; 9/4; 40/17; 23/10; 9/4; 12/5; 12/5; 40/17; 19/10; 12/5
Hartlepool; 12/5; 23/10; 11/5; 5/2; 23/10; 23/10; 28/13; 23/10; 12/5; 21/10; 9/4; 23/10; 11/5; 40/17; 21/10; 28/13; 5/2; 23/10; 40/17; 21/10; 12/5
META; english/non-league/national-league/hartlepool-v-boreham-wood; 2018-03-09 12:20:30 GMT+2; 2018-03-10 15:00; e70300-dr003
Boreham Wood; 21/20; 23/20; 21/20; 11/10; 57/50; 21/20; 11/10; 13/11; 21/20; 11/10; 21/20; 21/20; 11/10; 21/20; 11/10; 21/20; 13/12; 13/11; 21/20; 21/20; 1; 10/9
Draw; 12/5; 12/5; 11/5; 23/10; 63/25; 11/5; 23/10; 9/4; 11/5; 9/4; 21/10; 11/5; 12/5; 11/5; 40/17; 9/4; 27/11; 9/4; 11/5; 12/5; ; 
Hartlepool; 5/2; 23/10; 5/2; 11/5; 66/25; 23/10; 12/5; 28/13; 5/2; 12/5; 12/5; 49/20; 23/10; 23/10; 40/17; 12/5; 23/10; 28/13; 13/5; 49/20; 11/5; 5/2
META; english/non-league/national-league/hartlepool-v-boreham-wood; 2018-03-10 12:21:07 GMT+2; 2018-03-10 15:00; e70300-dr003
Boreham Wood; 10/11; 11/10; 10/11; 19/20; 19/20; 19/20; 11/10; 24/23; 10/11; 20/21; 10/11; 10/11; 19/20; 19/20; 11/10; 21/20; 22/23; 24/23; 1; 10/11; 11/10; 20/21; 5/6; 20/21
Draw; 5/2; 23/10; 11/5; 12/5; 51/20; 11/5; 23/10; 23/10; 11/5; 9/4; 21/10; 11/5; 12/5; 11/5; 40/17; 9/4; 27/11; 23/10; 12/5; 23/10; 40/17; 23/10; 23/10; 12/5
Hartlepool; 14/5; 13/5; 3; 10/3; 27/10; 5/2; 12/5; 3; 14/5; 3; 14/5; 13/5; 40/17; 12/5; 11/4; 12/5; 11/4; 3; 40/17; 3; 13/5; 10/3; ; 
