META; english/non-league/national-league/guiseley-v-tranmere; 2017-08-15 20:21:33 GMT+3; 2017-08-15 19:45; e70300-dr003
Tranmere; 1/2; 8/15; 1/2; 8/15; 1/2; 1/2; 1/2; 8/15; 1/2; 1/2; 1/2; 1/2; 12/25; 1/2; 8/15; 1/2; 10/21; 1/2; 1/2; 51/100; 11/21; 1/2; ; 1/2; 1/2; ; ; 4/7; 
Draw; 10/3; 29/10; 29/10; 14/5; 29/10; 3; 31/10; 11/4; 31/10; 3; 29/10; 11/4; 16/5; 16/5; 3; 29/10; 27/10; 31/10; 41/13; 67/20; 16/5; 31/10; ; 3; 3; ; ; 14/5; 
Guiseley; 5; 5; 5; 5; 11/2; 4; 11/2; 9/2; 9/2; 11/2; 11/2; 9/2; 11/2; 5; 5; 5; 5; 9/2; 63/13; 13/2; 24/5; 9/2; ; 21/4; 11/2; ; ; 24/5; 
