META; english/non-league/national-league/leyton-orient-v-sutton; 2017-12-07 10:58:44 GMT+2; 2017-12-09 15:00; e70300-dr003
Sutton; 21/20; 11/10; 15/13; ; 15/13; ; 11/10; ; 11/10; 23/20; 23/20; 11/10; ; 11/10; ; 21/20; 15/13; 11/10; 31/25; ; 11/10; 11/10; 11/10; 11/10; 15/13; ; ; ; 
Leyton Orient; 12/5; 12/5; 9/4; ; 2; ; 11/5; ; 9/4; 9/4; 9/4; 21/10; ; 9/4; ; 9/4; 2; 9/4; 47/20; ; 9/4; 12/5; 5/2; 12/5; 9/4; ; ; ; 
Draw; 5/2; 12/5; 9/4; ; 9/4; ; 23/10; ; 40/17; 9/4; 23/10; 9/4; ; 11/5; ; 23/10; 9/4; 40/17; 64/25; ; 40/17; 23/10; 12/5; 47/20; 12/5; ; ; ; 
META; english/non-league/national-league/leyton-orient-v-sutton; 2017-12-08 12:16:54 GMT+2; 2017-12-09 15:00; e70300-dr003
Sutton; 21/20; 11/10; 15/13; ; 15/13; ; 11/10; ; 11/10; 23/20; 11/10; 11/10; ; 11/10; ; 21/20; 15/13; 11/10; 61/50; 9/8; 11/10; 11/10; 11/10; 11/10; 15/13; ; ; 10/9; 
Leyton Orient; 12/5; 12/5; 9/4; ; 2; ; 9/4; ; 9/4; 9/4; 23/10; 21/10; ; 9/4; ; 9/4; 2; 9/4; 119/50; 79/40; 9/4; 12/5; 12/5; 12/5; 9/4; ; ; 11/5; 
Draw; 5/2; 12/5; 9/4; ; 9/4; ; 23/10; ; 40/17; 9/4; 23/10; 9/4; ; 11/5; ; 9/4; 9/4; 40/17; 129/50; 12/5; 40/17; 23/10; 12/5; 47/20; 12/5; ; ; 2; 
