META; english/non-league/national-league/dagenham-redbridge-v-eastleigh; 2017-12-20 12:18:45 GMT+2; 2017-12-23 15:00; e70300-dr003
Dagenham & Redbridge; 8/15; 4/7; ; 6/10; 4/7; 1/2; 1/2; ; 3/5; ; 8/15; 8/15; ; 4/7; 4/7; 8/15; 4/7; 18/35; 29/50; 6/11; 3/5; 8/15; 4/7; 11/20; 18/35; ; 4/9; 1/2; 
Draw; 3; 3; ; 14/5; 13/5; 29/10; 3; ; 14/5; ; 3; 14/5; ; 14/5; 14/5; 14/5; 13/5; 56/19; 33/10; 56/19; 14/5; 3; 3; 3; 3; ; 3; 13/5; 
Eastleigh; 5; 9/2; ; 4; 4; 9/2; 19/4; ; 4; ; 9/2; 4; ; 17/4; 19/4; 9/2; 4; 24/5; 53/10; 75/19; 4; 9/2; 19/4; 19/4; 63/13; ; 24/5; 21/5; 
