META; english/non-league/national-league/eastleigh-v-torquay; 2017-12-26 12:50:57 GMT+2; 2017-12-26 15:00; e70300-dr003
Eastleigh; 5/4; 5/4; 13/10; 23/20; 67/50; 6/5; 5/4; ; 13/11; 13/10; 5/4; 13/10; ; 13/10; 13/10; 6/5; 21/20; 5/4; 21/20; 25/19; 13/11; 13/10; 13/10; 5/4; 5/4; ; 5/4; 5/4; 
Torquay; 23/10; 2; 19/10; 21/10; 54/25; 2; 21/10; ; 39/19; 19/10; 21/10; 15/8; ; 19/10; 2; 2; 11/5; 2; 11/5; 13/7; 39/19; 2; 2; 2; 2; ; 2; 21/10; 
Draw; 11/5; 23/10; 9/4; 23/10; 127/ 50; 11/5; 23/10; ; 23/10; 9/4; 9/4; 21/10; ; 9/4; 23/10; 11/5; 11/5; 40/17; 11/5; 27/11; 23/10; 12/5; 12/5; 12/5; 40/17; ; 23/10; 12/5; 
