META; english/non-league/national-league/solihull-moors-v-wrexham; 2018-02-19 16:22:05 GMT+2; 2018-02-20 19:45; e70300-dr003
Wrexham; 29/20; 6/4; 16/11; 6/4; 77/50; ; 6/4; ; 11/8; 29/20; 6/4; 11/8; ; 6/4; 7/5; 7/5; 16/11; 6/4; 6/4; 11/8; 7/5; 6/4; 29/20; 16/11; ; 7/5; 7/5; 
Solihull Moors; 19/10; 2; 19/10; 19/10; 85/40; ; 15/8; ; 37/19; 19/10; 19/10; 19/10; ; 15/8; 2; 15/8; 37/19; 28/17; 7/4; 37/19; 2; 2; 2; 37/19; ; 9/5; 15/8; 
Draw; 11/5; 21/10; 2; 11/5; 11/5; ; 21/10; ; 39/19; 2; 2; 19/10; ; 39/20; 21/10; 2; 39/19; 11/5; 9/4; 39/19; 2; 85/40; 2; 21/10; ; 2; 15/8; 
META; english/non-league/national-league/solihull-moors-v-wrexham; 2018-02-20 12:21:00 GMT+2; 2018-02-20 19:45; e70300-dr003
Wrexham; 29/20; 7/5; 16/11; 6/4; 31/20; ; 6/4; ; 11/8; 29/20; 29/20; 7/5; ; 6/4; 7/5; 7/5; 16/11; 17/11; 22/15; 11/8; 6/4; 29/20; 6/4; 6/4; ; 6/4; 7/5; 
Solihull Moors; 19/10; 21/10; 19/10; 19/10; 107/ 50; ; 19/10; ; 37/19; 19/10; 19/10; 15/8; ; 19/10; 2; 15/8; 19/10; 7/4; 20/11; 37/19; 2; 2; 2; 37/19; ; 2; 2; 
Draw; 11/5; 21/10; 2; 11/5; 109/ 50; ; 21/10; ; 39/19; 2; 21/10; 19/10; ; 39/20; 21/10; 2; 39/19; 2; 11/5; 39/19; 2; 21/10; 2; 39/19; ; 19/10; 2; 
