META; english/non-league/national-league/hartlepool-v-tranmere; 2017-10-24 12:30:10 GMT+3; 2017-10-24 19:45; e70300-dr003
Tranmere; 5/4; 5/4; 23/17; 13/10; 6/5; 6/5; 13/10; 6/5; 6/5; 5/4; 5/4; 5/4; ; 13/10; 5/4; 5/4; 6/5; 5/4; 34/25; 23/18; 6/5; 13/10; 13/10; 5/4; 5/4; ; 13/10; 13/10; 
Hartlepool; 11/5; 9/4; 21/10; 11/5; 39/20; 2; 11/5; 2; 37/19; 11/5; 21/10; 21/10; ; 43/20; 9/4; 21/10; 37/19; 28/13; 117/50; 39/19; 37/19; 9/4; 11/5; 9/4; 11/5; ; 21/10; 21/10; 
Draw; 23/10; 21/10; 2; 11/5; 11/5; 21/10; 21/10; 21/10; 12/5; 2; 11/5; 19/10; ; 2; 21/10; 2; 11/5; 28/13; 23/10; 23/10; 12/5; 85/40; 11/5; 21/10; 11/5; ; 11/5; 21/10; 
