META; english/non-league/national-league/leyton-orient-v-aldershot; 2018-01-22 12:17:47 GMT+2; 2018-01-27 15:00; e70300-dr003
Aldershot; 7/5; 3/2; 16/11; ; 77/50; 13/10; 7/5; ; ; 29/20; 7/5; 29/20; ; ; ; 7/5; 16/11; 7/5; 16/11; ; ; 7/5; 29/20; 29/20; 7/5; ; ; 
Leyton Orient; 15/8; 3/2; 17/10; ; 193/ 100; 9/5; 17/10; ; ; 17/10; 9/5; 13/8; ; ; ; 17/10; 28/17; 17/10; 28/17; ; ; 9/5; 9/5; 7/4; 17/10; ; ; 
Draw; 23/10; 12/5; 9/4; ; 61/25; 11/5; 9/4; ; ; 9/4; 9/4; 21/10; ; ; ; 11/5; 9/4; 11/5; 9/4; ; ; 23/10; 12/5; 47/20; 11/5; ; ; 
META; english/non-league/national-league/leyton-orient-v-aldershot; 2018-01-23 02:17:15 GMT+2; 2018-01-27 15:00; e70300-dr003
Aldershot; 13/8; 6/4; 17/11; 8/5; 83/50; 7/5; 6/4; ; 8/5; 31/20; 6/4; 6/4; ; 31/20; 8/5; 6/4; 16/11; 17/11; 16/11; 6/4; 8/5; 8/5; 31/20; 31/20; 17/11; 7/5; 6/4; 
Leyton Orient; 8/5; 17/10; 13/8; 6/4; 177/ 100; 17/10; 13/8; ; 8/5; 13/8; 17/10; 31/20; ; 33/20; 13/8; 8/5; 28/17; 8/5; 28/17; 8/5; 8/5; 13/8; 17/10; 13/8; 8/5; 13/8; 7/5; 
Draw; 23/10; 23/10; 11/5; 9/4; 123/ 50; 21/10; 11/5; ; 11/5; 11/5; 11/5; 21/10; ; 43/20; 9/4; 11/5; 9/4; 9/4; 9/4; 27/11; 11/5; 23/10; 12/5; 47/20; 9/4; 23/10; 15/8; 
META; english/non-league/national-league/leyton-orient-v-aldershot; 2018-01-23 17:23:53 GMT+2; 2018-01-27 15:00; e70300-dr003
Aldershot; 13/8; 6/4; 17/11; 8/5; 41/25; 7/5; 6/4; ; 8/5; 31/20; 6/4; 6/4; ; 6/4; 8/5; 6/4; 16/11; 17/11; 16/11; 6/4; 8/5; 8/5; 31/20; 31/20; 17/11; 11/8; 7/5; 
Leyton Orient; 8/5; 17/10; 28/17; 6/4; 179/ 100; 17/10; 13/8; ; 8/5; 33/20; 17/10; 31/20; ; 33/20; 13/8; 8/5; 28/17; 8/5; 28/17; 8/5; 8/5; 13/8; 17/10; 13/8; 8/5; 6/4; 6/4; 
Draw; 23/10; 23/10; 11/5; 9/4; 123/ 50; 21/10; 11/5; ; 11/5; 11/5; 11/5; 21/10; ; 43/20; 9/4; 11/5; 9/4; 9/4; 9/4; 27/11; 11/5; 23/10; 12/5; 47/20; 9/4; 21/10; 15/8; 
META; english/non-league/national-league/leyton-orient-v-aldershot; 2018-01-24 12:19:03 GMT+2; 2018-01-27 15:00; e70300-dr003
Aldershot; 13/8; 6/4; 17/11; 8/5; 42/25; 7/5; 6/4; ; 8/5; 31/20; 6/4; 6/4; ; 6/4; 8/5; 6/4; 16/11; 17/11; 16/11; 6/4; 8/5; 8/5; 31/20; 31/20; 17/11; ; 6/4; 7/5; 
Leyton Orient; 8/5; 7/4; 28/17; 6/4; 9/5; 17/10; 13/8; ; 8/5; 33/20; 7/4; 8/5; ; 33/20; 13/8; 8/5; 28/17; 8/5; 28/17; 8/5; 8/5; 13/8; 7/4; 17/10; 28/17; ; 13/8; 6/4; 
Draw; 23/10; 9/4; 21/10; 9/4; 119/ 50; 21/10; 11/5; ; 11/5; 21/10; 11/5; 21/10; ; 43/20; 9/4; 21/10; 9/4; 11/5; 9/4; 27/11; 11/5; 9/4; 23/10; 9/4; 11/5; ; 21/10; 9/5; 
