META; english/non-league/national-league/woking-v-halifax; 2018-03-05 20:21:11 GMT+2; 2018-03-10 15:00; e70300-dr003
Woking; 11/8; 13/10; 5/4; 11/8; 4/3; 7/5; 13/10; 13/10; 13/10; 13/10; 4/3; 7/5; 27/20; 13/10; 1/100
Halifax; 15/8; 9/5; 9/5; 9/5; 9/5; 15/8; 9/5; 9/5; 9/5; 9/5; 9/5; 2; 37/20; 9/5; 1/33
Draw; 12/5; 23/10; 11/5; 9/4; 23/10; 9/4; 21/10; 11/5; 9/4; 23/10; 23/10; 23/10; 12/5; 23/10; 2/9
META; english/non-league/national-league/woking-v-halifax; 2018-03-06 15:07:23 GMT+2; 2018-03-10 15:00; e70300-dr003
Woking; 11/8; 13/10; 36/25; 5/4; 13/10; 4/3; 13/10; 13/10; 13/10; 13/10; 13/10; 4/3; 27/20; 13/10; 1/100
Halifax; 15/8; 9/5; 101/0; 9/5; 9/5; 9/5; 15/8; 9/5; 9/5; 9/5; 9/5; 9/5; 37/20; 9/5; 1/50
Draw; 12/5; 23/10; 63/25; 11/5; 23/10; 23/10; 23/10; 21/10; 9/4; 23/10; 23/10; 23/10; 12/5; 23/10; 2/9
META; english/non-league/national-league/woking-v-halifax; 2018-03-08 10:18:01 GMT+2; 2018-03-10 15:00; e70300-dr003
Woking; 13/10; 11/8; 7/5; 13/10; 143/100; 5/4; 13/10; 23/18; 7/5; 7/5; 13/10; 11/8; 13/10; 13/10; 13/10; 13/10; 17/13; 23/18; 11/8; 13/10; 13/10; 23/20; 11/8
Halifax; 2; 19/10; 9/5; 54/25; 15/8; 2; 37/19; 19/10; 19/10; 19/10; 19/10; 21/10; 15/8; 2; 24/13; 33/19; 37/19; 2; 2; 17/10; 21/10; ; 
Draw; 12/5; 23/10; 21/10; 23/10; 59/25; 21/10; 11/5; 9/4; 21/10; 11/5; 2; 21/10; 11/5; 21/10; 9/4; 9/4; 23/10; 9/4; 23/10; 23/10; 9/4; 15/8; 23/10
META; english/non-league/national-league/woking-v-halifax; 2018-03-08 12:21:36 GMT+2; 2018-03-10 15:00; e70300-dr003
Woking; 13/10; 11/8; 7/5; 13/10; 143/00; 5/4; 13/10; 23/18; 7/5; 7/5; 13/10; 11/8; 13/10; 13/10; 13/10; 13/10; 17/13; 23/18; 11/8; 13/10; 13/10; 23/20; 27/20; 11/8
Halifax; 2; 19/10; 9/5; 54/25; 15/8; 2; 37/19; 19/10; 19/10; 19/10; 19/10; 21/10; 15/8; 2; 24/13; 33/19; 37/19; 2; 2; 17/10; 13/8; 21/10; ; 
Draw; 12/5; 23/10; 21/10; 23/10; 59/25; 21/10; 11/5; 9/4; 21/10; 11/5; 2; 21/10; 11/5; 21/10; 9/4; 9/4; 23/10; 9/4; 23/10; 23/10; 9/4; 15/8; 2; 23/10
META; english/non-league/national-league/woking-v-halifax; 2018-03-09 12:20:45 GMT+2; 2018-03-10 15:00; e70300-dr003
Woking; 13/10; 11/8; 11/8; 13/10; 143/100; 5/4; 13/10; 23/18; 11/8; 7/5; 5/4; 11/8; 13/10; 13/10; 13/10; 13/10; 7/5; 23/18; 11/8; 13/10; 5/4; 11/8; 11/8
Halifax; 2; 19/10; 9/5; 54/25; 15/8; 2; 37/19; 19/10; 19/10; 19/10; 15/8; 21/10; 15/8; 2; 24/13; 9/5; 37/19; 2; 19/10; 19/10; 21/10; ; 
Draw; 12/5; 23/10; 21/10; 23/10; 59/25; 21/10; 11/5; 9/4; 21/10; 11/5; 21/10; 21/10; 11/5; 21/10; 9/4; 9/4; 40/17; 9/4; 9/4; 23/10; 19/10; 2; 23/10
META; english/non-league/national-league/woking-v-halifax; 2018-03-10 12:21:23 GMT+2; 2018-03-10 15:00; e70300-dr003
Woking; 11/8; 11/8; 11/8; 7/5; 143/00; 11/8; 11/8; 23/18; 11/8; 7/5; 13/10; 27/20; 13/10; 13/10; 13/10; 23/17; 23/17; 23/18; 11/8; 27/20; 13/10; 11/8; 11/8; 7/5
Halifax; 19/10; 2; 2; 11/5; 15/8; 2; 37/19; 2; 19/10; 19/10; 2; 21/10; 19/10; 2; 24/13; 17/9; 37/19; 21/10; 2; 2; 19/10; 21/10; ; 
Draw; 12/5; 23/10; 2; 11/5; 58/25; 21/10; 11/5; 9/4; 2; 11/5; 2; 11/5; 21/10; 9/4; 11/5; 40/17; 9/4; 11/5; 11/5; 9/4; 2; 19/10; 9/4; 
