META; english/non-league/national-league/aldershot-v-boreham-wood; 2018-03-18 14:19:53 GMT+2; 2018-03-24 15:00; e70300-dr003
Aldershot; 13/10
Boreham Wood; 15/8
Draw; 12/5
META; english/non-league/national-league/aldershot-v-boreham-wood; 2018-03-19 08:18:44 GMT+2; 2018-03-24 15:00; e70300-dr003
Aldershot; 6/5; 13/10; 67/50; 5/4; 5/4; 5/4; 6/5; 13/10; 5/4; 11/8
Boreham Wood; 15/8; 15/8; 21/10; 19/10; 2; 15/8; 19/10; 2; 39/20; 9/5
Draw; 12/5; 12/5; 66/25; 23/10; 23/10; 23/10; 12/5; 12/5; 5/2; 11/5
META; english/non-league/national-league/aldershot-v-boreham-wood; 2018-03-20 08:19:43 GMT+2; 2018-03-24 15:00; e70300-dr003
Aldershot; 6/5; 5/4; 67/50; 6/5; 6/5; 5/4; 23/20; 5/4; 6/5; 6/5; 6/5; 6/5; 5/4; 5/4; 6/5; 20/21; 13/10
Boreham Wood; 15/8; 21/10; 21/10; 19/10; 37/19; 2; 41/20; 19/10; 24/13; 19/10; 37/19; 21/10; 39/20; 19/10; 7/4; 2; 
Draw; 12/5; 12/5; 66/25; 12/5; 12/5; 23/10; 9/4; 43/20; 23/10; 12/5; 12/5; 12/5; 12/5; 5/2; 12/5; 9/5; 5/2
META; english/non-league/national-league/aldershot-v-boreham-wood; 2018-03-21 14:20:18 GMT+2; 2018-03-24 15:00; e70300-dr003
Aldershot; 13/10; 13/10; 27/20; 13/10; 141/00; 6/5; 13/10; 6/5; 27/20; 13/10; 5/4; 27/20; 7/5; 13/10; 5/4; 5/4; 21/17; 6/5; 13/10; 13/10; 5/4; 20/21; 13/10; 11/8
Boreham Wood; 21/10; 21/10; 2; 9/4; 19/10; 2; 37/19; 2; 21/10; 2; 21/10; 21/10; 2; 39/19; 19/10; 35/19; 37/19; 21/10; 21/10; 39/19; 7/4; 7/4; 11/5; 
Draw; 11/5; 9/4; 2; 21/10; 23/10; 21/10; 21/10; 12/5; 2; 21/10; 2; 39/20; 23/10; 2; 28/13; 23/10; 23/10; 12/5; 23/10; 21/10; 28/13; 4/9; 19/10; 9/4
META; english/non-league/national-league/aldershot-v-boreham-wood; 2018-03-22 12:38:58 GMT+2; 2018-03-24 15:00; e70300-dr003
Aldershot; 13/10; 13/10; 11/8; 13/10; 143/100; 6/5; 13/10; 6/5; 11/8; 13/10; 5/4; 27/20; 7/5; 13/10; 13/10; 5/4; 21/17; 6/5; 11/8; 13/10; 13/10; 11/10; 13/10; 11/8
Boreham Wood; 21/10; 21/10; 2; 111/50; 19/10; 2; 37/19; 2; 21/10; 2; 21/10; 11/5; 2; 39/19; 19/10; 35/19; 37/19; 11/5; 21/10; 21/10; 7/4; 7/4; 11/5; 
Draw; 11/5; 9/4; 2; 21/10; 23/10; 21/10; 21/10; 12/5; 2; 21/10; 2; 11/5; 2; 28/13; 23/10; 23/10; 12/5; 85/40; 21/10; 11/5; 19/10; 19/10; 9/4; 
META; english/non-league/national-league/aldershot-v-boreham-wood; 2018-03-23 14:45:46 GMT+2; 2018-03-24 15:00; e70300-dr003
Aldershot; 13/10; 13/10; 13/10; 7/5; 27/20; 6/5; 13/10; 6/5; 13/10; 13/10; 5/4; 13/10; 7/5; 5/4; 5/4; 5/4; 23/18; 6/5; 13/10; 13/10; 5/4; 13/10; 27/20; 13/10
Boreham Wood; 21/10; 21/10; 21/10; 21/10; 47/20; 21/10; 21/10; 37/19; 21/10; 21/10; 2; 11/5; 2; 28/13; 19/10; 11/5; 37/19; 21/10; 21/10; 28/13; 21/10; 11/5; 23/10; 
Draw; 11/5; 9/4; 2; 21/10; 58/25; 2; 21/10; 12/5; 2; 21/10; 19/10; 11/5; 2; 11/5; 23/10; 28/13; 12/5; 23/10; 21/10; 11/5; 2; 21/10; 23/10; 
