META; english/non-league/national-league/eastleigh-v-halifax; 2018-02-19 16:22:18 GMT+2; 2018-02-24 15:00; e70300-dr003
Eastleigh; 11/10; ; ; ; ; ; 11/10; ; ; ; 11/10; 21/20; ; 11/10; ; 21/20; ; 11/10; ; ; 11/10; 11/10; 11/10; ; ; ; ; 
Halifax; 11/5; ; ; ; ; ; 21/10; ; ; ; 9/4; 11/5; ; 43/20; ; 21/10; ; 21/10; ; ; 11/5; 9/4; 11/5; ; ; ; ; 
Draw; 13/5; ; ; ; ; ; 5/2; ; ; ; 12/5; 11/5; ; 47/20; ; 12/5; ; 12/5; ; ; 13/5; 13/5; 13/5; ; ; ; ; 
META; english/non-league/national-league/eastleigh-v-halifax; 2018-02-20 12:21:14 GMT+2; 2018-02-24 15:00; e70300-dr003
Eastleigh; 11/10; 23/20; ; 21/20; ; ; 11/10; ; 21/20; ; 11/10; 21/20; ; 11/10; ; 21/20; 21/20; 11/10; ; 21/20; 11/10; 11/10; 11/10; 21/20; ; 4/5; ; 
Halifax; 11/5; 9/4; ; 21/10; ; ; 21/10; ; 28/13; ; 11/5; 11/5; ; 43/20; ; 21/10; 21/10; 21/10; ; 28/13; 11/5; 9/4; 11/5; 28/13; ; 2; ; 
Draw; 13/5; 12/5; ; 5/2; ; ; 12/5; ; 5/2; ; 12/5; 11/5; ; 47/20; ; 12/5; 5/2; 12/5; ; 5/2; 13/5; 13/5; 13/5; 5/2; ; 12/5; ; 
META; english/non-league/national-league/eastleigh-v-halifax; 2018-02-24 12:19:20 GMT+2; 2018-02-24 15:00; e70300-dr003
Eastleigh; 1; 11/10; 21/20; 11/10; 103/100; ; 1; ; 1; 21/20; 21/20; 10/11; ; 21/20; 1; 1; 1; 11/10; 15/14; 1; 1; 21/20; 1; 1; ; 21/20; 21/20; 
Draw; 13/5; 5/2; 12/5; 23/10; 133/50; ; 5/2; ; 12/5; 12/5; 12/5; 23/10; ; 47/20; 5/2; 23/10; 27/11; 12/5; 28/11; 12/5; 5/2; 5/2; 5/2; 5/2; ; 12/5; 5/2; 
Halifax; 5/2; 12/5; 23/10; 5/2; 57/20; ; 5/2; ; 12/5; 23/10; 12/5; 5/2; ; 9/4; 5/2; 12/5; 28/11; 21/10; 9/4; 12/5; 5/2; 5/2; 5/2; 28/11; ; 13/5; 13/5; 
