META; english/non-league/national-league/afc-fylde-v-wrexham; 2017-10-24 12:29:41 GMT+3; 2017-10-24 19:45; e70300-dr003
AFC Fylde; 11/8; 11/8; 23/17; 13/10; 117/100; 5/4; 11/8; 6/5; 13/11; 13/10; 5/4; 5/4; ; 13/10; 13/10; 13/10; 15/13; 13/10; 11/8; 23/18; 13/11; ; 13/10; 13/10; 13/10; ; 13/10; 13/10; 
Wrexham; 19/10; 19/10; 28/15; 21/10; 21/10; 19/10; 2; 15/8; 39/19; 19/10; 21/10; 19/10; ; 2; 2; 19/10; 21/10; 2; 111/50; 21/11; 39/19; ; 21/10; 21/10; 2; ; 2; 2; 
Draw; 12/5; 9/4; 11/5; 23/10; 21/10; 11/5; 11/5; 21/10; 23/10; 11/5; 9/4; 21/10; ; 43/20; 23/10; 11/5; 21/10; 9/4; 12/5; 5/2; 23/10; ; 23/10; 11/5; 9/4; ; 9/4; 11/5; 
