META; english/non-league/national-league/guiseley-v-boreham-wood; 2017-10-24 12:30:05 GMT+3; 2017-10-24 19:45; e70300-dr003
Boreham Wood; 5/4; 5/4; ; 5/4; 13/10; 23/20; 13/10; 11/10; 8/7; 6/5; 6/5; 6/5; ; 5/4; 5/4; 6/5; 13/10; 5/4; 34/25; 5/4; 8/7; 5/4; 5/4; 5/4; 5/4; ; 5/4; 5/4; 
Guiseley; 21/10; 21/10; ; 21/10; 9/5; 21/10; 21/10; 2; 9/4; 21/10; 21/10; 21/10; ; 41/20; 21/10; 2; 9/5; 21/10; 56/25; 2; 9/4; 85/40; 11/5; 21/10; 21/10; ; 21/10; 21/10; 
Draw; 12/5; 9/4; ; 12/5; 21/10; 9/4; 23/10; 11/5; 9/4; 11/5; 23/10; 2; ; 43/20; 23/10; 11/5; 21/10; 23/10; 121/50; 12/5; 9/4; 23/10; 23/10; 23/10; 23/10; ; 11/5; 21/10; 
