META; english/non-league/national-league/aldershot-v-woking; 2017-12-26 12:50:40 GMT+2; 2017-12-26 15:00; e70300-dr003
Aldershot; 4/6; 4/6; 11/18; 13/20; 4/6; 6/10; 5/8; ; 8/13; 8/13; 8/13; 8/13; ; 13/20; 8/13; 8/13; 4/6; 8/13; 4/6; 5/8; 8/13; 8/13; 13/20; 8/13; 8/13; ; 4/6; 8/13; 
Draw; 11/4; 13/5; 27/10; 11/4; 61/20; 11/4; 14/5; ; 45/17; 27/10; 11/4; 12/5; ; 13/5; 3; 13/5; 5/2; 37/13; 5/2; 56/19; 45/17; 14/5; 29/10; 57/20; 37/13; ; 14/5; 14/5; 
Woking; 4; 4; 4; 18/5; 23/5; 4; 17/4; ; 4; 4; 4; 4; ; 4; 4; 4; 17/5; 41/10; 17/5; 39/10; 4; 17/4; 21/5; 17/4; 54/13; ; 21/5; 22/5; 
