META; english/non-league/national-league/woking-v-afc-fylde; 2018-01-22 12:17:54 GMT+2; 2018-01-27 15:00; e70300-dr003
AFC Fylde; 6/5; 11/10; ; ; 129/ 100; 23/20; 6/5; ; ; ; 6/5; 6/5; ; ; ; 11/10; 11/10; 6/5; 11/10; ; ; ; 5/4; 5/4; 6/5; ; ; 
Woking; 21/10; 23/10; ; ; 11/5; 21/10; 21/10; ; ; ; 21/10; 2; ; ; ; 2; 9/4; 37/19; 9/4; ; ; ; 85/40; 21/10; 37/19; ; ; 
Draw; 5/2; 23/10; ; ; 131/ 50; 11/5; 23/10; ; ; ; 9/4; 21/10; ; ; ; 9/4; 23/10; 23/10; 23/10; ; ; ; 12/5; 23/10; 23/10; ; ; 
META; english/non-league/national-league/woking-v-afc-fylde; 2018-01-23 02:17:23 GMT+2; 2018-01-27 15:00; e70300-dr003
AFC Fylde; 21/20; 6/5; ; ; 29/25; 11/10; 11/10; ; 21/20; ; 23/20; 21/20; ; 11/10; 23/20; 21/20; 11/10; 21/20; 11/10; 15/14; 21/20; ; 11/10; 11/10; 21/20; 20/21; ; 
Woking; 23/10; 9/4; ; ; 119/ 50; 21/10; 11/5; ; 9/4; ; 21/10; 21/10; ; 9/4; 11/5; 21/10; 9/4; 11/5; 9/4; 28/13; 9/4; ; 23/10; 23/10; 9/4; 15/8; ; 
Draw; 13/5; 12/5; ; ; 137/ 50; 12/5; 12/5; ; 12/5; ; 12/5; 12/5; ; 47/20; 12/5; 12/5; 23/10; 27/11; 23/10; 45/17; 12/5; ; 13/5; 5/2; 5/2; 11/5; ; 
META; english/non-league/national-league/woking-v-afc-fylde; 2018-01-23 17:24:00 GMT+2; 2018-01-27 15:00; e70300-dr003
AFC Fylde; 21/20; 6/5; 11/10; ; 29/25; 11/10; 11/10; ; 21/20; 11/10; 23/20; 21/20; ; 11/10; 23/20; 21/20; 11/10; 21/20; 11/10; 15/14; 21/20; ; 11/10; 11/10; 21/20; 20/21; ; 
Woking; 23/10; 9/4; 9/4; ; 119/ 50; 21/10; 11/5; ; 9/4; 9/4; 21/10; 21/10; ; 9/4; 11/5; 21/10; 9/4; 11/5; 9/4; 28/13; 9/4; ; 23/10; 23/10; 9/4; 15/8; ; 
Draw; 13/5; 12/5; 23/10; ; 137/ 50; 12/5; 12/5; ; 12/5; 23/10; 12/5; 12/5; ; 47/20; 12/5; 12/5; 23/10; 27/11; 23/10; 45/17; 12/5; ; 13/5; 5/2; 5/2; 11/5; ; 
META; english/non-league/national-league/woking-v-afc-fylde; 2018-01-24 12:19:11 GMT+2; 2018-01-27 15:00; e70300-dr003
AFC Fylde; 10/11; 19/20; 19/20; ; 26/25; 19/20; 20/21; ; 21/20; 19/20; 1; 20/21; ; 19/20; 19/20; 10/11; 21/20; 19/20; 21/20; 15/16; 21/20; ; 37/40; 19/20; 19/20; ; 5/6; 5/6; 
Draw; 13/5; 11/4; 5/2; ; 13/5; 12/5; 12/5; ; 12/5; 5/2; 12/5; 11/5; ; 49/20; 13/5; 12/5; 23/10; 27/11; 23/10; 11/4; 12/5; ; 27/10; 51/20; 27/11; ; 11/5; 21/10; 
Woking; 14/5; 13/5; 13/5; ; 72/25; 5/2; 5/2; ; 9/4; 13/5; 5/2; 5/2; ; 13/5; 13/5; 5/2; 23/10; 5/2; 23/10; 5/2; 9/4; ; 27/10; 53/20; 28/11; ; 11/5; 23/10; 
