META; english/non-league/national-league/afc-fylde-v-solihull-moors; 2018-04-19 08:19:26 GMT+3; 2018-04-21 15:00; e70300-dr003
AFC Fylde; 3/4; 5/6; 4/5; 22/25; 3/4; 4/5; 4/5; 4/5; 4/5; 5/6; 3/4; 4/5; 4/5; 13/18; 9/11; 4/5; 5/6; 4/5; 4/5; 4/7; 5/6
Draw; 14/5; 5/2; 5/2; 14/5; 5/2; 13/5; 5/2; 13/5; 12/5; 5/2; 5/2; 5/2; 45/17; 13/5; 13/5; 5/2; 27/10; 45/17; 5/2; 2; 27/10
Solihull Moors; 10/3; 29/10; 3; 67/20; 3; 16/5; 31/10; 31/10; 14/5; 29/10; 14/5; 14/5; 41/13; 13/4; 45/17; 31/10; 31/10; 16/5; 3; 1/4; 3
META; english/non-league/national-league/afc-fylde-v-solihull-moors; 2018-04-20 10:28:46 GMT+3; 2018-04-21 15:00; e70300-dr003
AFC Fylde; 3/4; 5/6; 4/5; 87/00; 3/4; 4/5; 4/5; 5/6; 4/5; 4/5; 5/6; 3/4; 4/5; 4/5; 13/18; 16/19; 4/5; 5/6; 4/5; 5/6; 4/6; 8/11; 5/6
Draw; 14/5; 5/2; 5/2; 71/25; 5/2; 13/5; 5/2; 5/2; 13/5; 12/5; 5/2; 5/2; 5/2; 13/5; 13/5; 13/5; 5/2; 11/4; 45/17; 13/5; 9/4; 21/10; 27/10
Solihull Moors; 10/3; 29/10; 29/10; 3; 67/20; 3; 31/10; 29/10; 31/10; 14/5; 29/10; 11/4; 14/5; 31/10; 13/4; 13/5; 31/10; 31/10; 31/10; 3; 5/2; 12/5; 3
META; english/non-league/national-league/afc-fylde-v-solihull-moors; 2018-04-21 14:21:00 GMT+3; 2018-04-21 15:00; e70300-dr003
AFC Fylde; 21/20; 17/20; 11/10; 23/20; 113/00; 1; 21/20; 13/12; 11/10; 21/20; 21/20; 21/20; 1; 21/20; 9/10; 13/12; 13/12; 21/20; 21/20; 11/10; 21/20; 21/20; 1; 
Draw; 13/5; 13/5; 23/10; 12/5; 23/10; 5/2; 23/10; 23/10; 12/5; 23/10; 47/20; 9/4; 12/5; 12/5; 5/2; 28/11; 23/10; 13/5; 27/11; 12/5; 12/5; 5/2; 5/2; 
Solihull Moors; 5/2; 14/5; 23/10; 23/10; 13/5; 12/5; 5/2; 23/10; 23/10; 12/5; 21/10; 23/10; 11/5; 23/10; 12/5; 13/5; 9/4; 23/10; 12/5; 12/5; 12/5; 5/2; 5/2; 5/2
