META; english/non-league/national-league/hartlepool-v-ebbsfleet-united; 2018-02-19 16:22:21 GMT+2; 2018-02-24 15:00; e70300-dr003
Ebbsfleet United; 7/5; ; ; ; ; ; 11/8; ; ; ; 6/4; 11/8; ; 7/5; ; 7/5; ; 23/17; ; ; 7/5; 29/20; 11/8; ; ; ; ; 
Hartlepool; 7/4; ; ; ; ; ; 17/10; ; ; ; 17/10; 7/4; ; 37/20; ; 17/10; ; 7/4; ; ; 7/4; 7/4; 7/4; ; ; ; ; 
Draw; 5/2; ; ; ; ; ; 12/5; ; ; ; 9/4; 21/10; ; 43/20; ; 11/5; ; 23/10; ; ; 5/2; 12/5; 5/2; ; ; ; ; 
META; english/non-league/national-league/hartlepool-v-ebbsfleet-united; 2018-02-20 12:21:16 GMT+2; 2018-02-24 15:00; e70300-dr003
Ebbsfleet United; 7/5; 7/5; ; 13/10; ; ; 11/8; ; 23/17; ; 7/5; 13/10; ; 7/5; ; 11/8; 13/10; 23/17; ; 23/17; 7/5; 7/5; 11/8; 23/17; ; 21/20; ; 
Hartlepool; 7/4; 9/5; ; 13/8; ; ; 17/10; ; 17/10; ; 9/5; 7/4; ; 37/20; ; 17/10; 28/17; 7/4; ; 17/10; 7/4; 9/5; 7/4; 17/10; ; 5/4; ; 
Draw; 5/2; 12/5; ; 12/5; ; ; 23/10; ; 12/5; ; 23/10; 11/5; ; 43/20; ; 23/10; 12/5; 23/10; ; 12/5; 5/2; 5/2; 5/2; 12/5; ; 9/4; ; 
META; english/non-league/national-league/hartlepool-v-ebbsfleet-united; 2018-02-24 12:19:23 GMT+2; 2018-02-24 15:00; e70300-dr003
Ebbsfleet United; 11/8; 7/5; 7/5; 7/5; 149/100; ; 11/8; ; 11/8; 7/5; 13/10; 13/10; ; 27/20; 7/5; 11/8; 23/17; 23/17; 25/18; 11/8; 7/5; 7/5; 27/20; 23/17; ; 7/5; 7/5; 
Hartlepool; 9/5; 2; 28/15; 19/10; 52/25; ; 19/10; ; 24/13; 15/8; 19/10; 19/10; ; 15/8; 2; 9/5; 19/10; 7/4; 20/11; 24/13; 2; 2; 39/20; 37/19; ; 2; 2; 
Draw; 5/2; 9/4; 21/10; 23/10; 47/20; ; 9/4; ; 11/5; 21/10; 9/4; 2; ; 43/20; 21/10; 21/10; 11/5; 23/10; 40/17; 11/5; 23/10; 9/4; 23/10; 9/4; ; 11/5; 21/10; 
