META; english/non-league/national-league/dagenham-redbridge-v-solihull-moors; 2018-01-22 12:17:34 GMT+2; 2018-01-27 15:00; e70300-dr003
Dagenham & Redbridge; 3/5; 4/7; ; ; 16/25; 8/15; 4/7; ; ; ; 4/7; 6/10; ; ; ; 4/7; 4/7; 4/7; 4/7; ; ; 4/7; 3/5; 3/5; 10/17; ; ; 
Draw; 3; 14/5; ; ; 16/5; 29/10; 29/10; ; ; ; 14/5; 13/5; ; ; ; 11/4; 11/4; 11/4; 11/4; ; ; 14/5; 3; 29/10; 14/5; ; ; 
Solihull Moors; 17/4; 9/2; ; ; 23/5; 9/2; 17/4; ; ; ; 9/2; 4; ; ; ; 4; 17/4; 77/19; 17/4; ; ; 17/4; 22/5; 17/4; 41/10; ; ; 
META; english/non-league/national-league/dagenham-redbridge-v-solihull-moors; 2018-01-23 02:17:02 GMT+2; 2018-01-27 15:00; e70300-dr003
Dagenham & Redbridge; 13/20; 7/10; ; 4/6; 7/10; 6/10; 5/8; ; 11/17; ; 8/13; 4/6; ; 4/6; 13/20; 4/6; 4/7; 8/13; 4/7; 19/29; 11/17; 4/6; 13/20; 4/6; 8/13; 8/13; 4/7; 
Draw; 3; 14/5; ; 11/4; 31/10; 11/4; 14/5; ; 45/17; ; 11/4; 5/2; ; 13/5; 14/5; 13/5; 11/4; 11/4; 11/4; 56/19; 45/17; 14/5; 29/10; 57/20; 14/5; 27/10; 5/2; 
Solihull Moors; 4; 19/5; ; 7/2; 21/5; 4; 15/4; ; 15/4; ; 4; 7/2; ; 37/10; 4; 7/2; 17/4; 50/13; 17/4; 18/5; 15/4; 19/5; 4; 15/4; 39/10; 7/2; 3; 
META; english/non-league/national-league/dagenham-redbridge-v-solihull-moors; 2018-01-23 17:23:40 GMT+2; 2018-01-27 15:00; e70300-dr003
Dagenham & Redbridge; 13/20; 3/4; ; 4/6; 7/10; 6/10; 5/8; ; 11/17; ; 4/6; 4/6; ; 4/6; 13/20; 4/6; 4/7; 8/13; 4/7; 19/29; 11/17; 4/6; 7/10; 4/6; 11/17; 8/15; 4/6; 
Draw; 3; 11/4; ; 11/4; 31/10; 11/4; 11/4; ; 45/17; ; 11/4; 5/2; ; 13/5; 14/5; 13/5; 11/4; 11/4; 11/4; 56/19; 45/17; 14/5; 14/5; 57/20; 11/4; 12/5; 23/10; 
Solihull Moors; 4; 18/5; ; 7/2; 21/5; 4; 15/4; ; 15/4; ; 19/5; 7/2; ; 18/5; 4; 7/2; 17/4; 19/5; 17/4; 18/5; 15/4; 19/5; 15/4; 15/4; 50/13; 7/2; 3; 
META; english/non-league/national-league/dagenham-redbridge-v-solihull-moors; 2018-01-24 12:18:50 GMT+2; 2018-01-27 15:00; e70300-dr003
Dagenham & Redbridge; 4/6; 3/4; ; 4/6; 7/10; 8/13; 5/8; ; 11/17; ; 4/6; 4/6; ; 4/6; 7/10; 4/6; 4/7; 11/17; 4/7; 19/29; 11/17; 4/6; 7/10; 4/6; 11/17; ; 8/13; 4/6; 
Draw; 3; 11/4; ; 11/4; 31/10; 27/10; 14/5; ; 45/17; ; 11/4; 5/2; ; 13/5; 14/5; 13/5; 11/4; 11/4; 11/4; 56/19; 45/17; 14/5; 14/5; 57/20; 14/5; ; 11/4; 23/10; 
Solihull Moors; 15/4; 18/5; ; 7/2; 21/5; 15/4; 15/4; ; 15/4; ; 19/5; 7/2; ; 18/5; 7/2; 7/2; 17/4; 15/4; 17/4; 18/5; 15/4; 19/5; 15/4; 15/4; 19/5; ; 7/2; 3; 
