META; english/non-league/national-league/gateshead-v-woking; 2017-12-07 10:58:42 GMT+2; 2017-12-09 15:00; e70300-dr003
Gateshead; 7/10; 3/4; 3/4; 3/4; 3/4; ; 8/11; ; 8/11; 3/4; 8/11; 8/11; ; 3/4; ; ; 3/4; 14/19; 4/5; ; 8/11; 8/11; 3/4; 3/4; 14/19; ; 8/11; ; 
Draw; 5/2; 13/5; 12/5; 5/2; 23/10; ; 5/2; ; 12/5; 12/5; 5/2; 23/10; ; 12/5; ; ; 23/10; 28/11; 137/50; ; 12/5; 13/5; 13/5; 13/5; 28/11; ; 5/2; ; 
Woking; 17/4; 19/5; 17/5; 7/2; 16/5; ; 7/2; ; 7/2; 17/5; 18/5; 10/3; ; 17/5; ; ; 16/5; 62/17; 79/20; ; 7/2; 7/2; 15/4; 7/2; 37/10; ; 7/2; ; 
META; english/non-league/national-league/gateshead-v-woking; 2017-12-08 12:16:52 GMT+2; 2017-12-09 15:00; e70300-dr003
Gateshead; 7/10; 3/4; 8/11; 3/4; 3/4; ; 8/11; ; 8/11; 8/11; 8/11; 8/11; ; 3/4; ; ; 3/4; 5/7; 77/100; 3/4; 8/11; 8/11; 3/4; 3/4; 5/7; ; 4/6; 4/6; 
Draw; 5/2; 13/5; 12/5; 5/2; 23/10; ; 5/2; ; 12/5; 12/5; 5/2; 23/10; ; 12/5; ; 12/5; 23/10; 28/11; 139/50; 45/17; 12/5; 13/5; 13/5; 13/5; 13/5; ; 5/2; 23/10; 
Woking; 17/4; 19/5; 7/2; 7/2; 16/5; ; 15/4; ; 7/2; 7/2; 18/5; 10/3; ; 17/5; ; ; 16/5; 37/10; 41/10; 29/10; 7/2; 7/2; 15/4; 7/2; 15/4; ; 7/2; 7/2; 
META; english/non-league/national-league/gateshead-v-woking; 2018-01-22 12:17:27 GMT+2; 2018-01-23 19:45; e70300-dr003
Gateshead; 8/11; 17/20; 3/4; 8/11; 39/50; 8/11; ; ; 13/18; 3/4; 8/11; 8/11; ; 3/4; 8/11; 8/11; 3/4; 5/7; 3/4; 3/4; 13/18; 8/11; 3/4; 8/11; 5/7; 8/11; 4/6; 
Draw; 13/5; 13/5; 13/5; 13/5; 59/20; 13/5; ; ; 45/17; 13/5; 11/4; 5/2; ; 5/2; 11/4; 5/2; 5/2; 27/10; 5/2; 13/5; 45/17; 14/5; 11/4; 11/4; 11/4; 27/10; 12/5; 
Woking; 15/4; 3; 13/4; 10/3; 15/4; 16/5; ; ; 33/10; 13/4; 10/3; 16/5; ; 10/3; 7/2; 16/5; 13/4; 7/2; 13/4; 56/19; 33/10; 100/ 30; 7/2; 7/2; 7/2; 7/2; 10/3; 
META; english/non-league/national-league/gateshead-v-woking; 2018-01-23 02:16:54 GMT+2; 2018-01-23 19:45; e70300-dr003
Gateshead; 4/7; 8/13; 3/5; 4/7; 13/20; 4/7; ; ; 6/11; 6/10; 3/5; 6/10; ; 8/13; 8/13; 4/7; 3/5; 4/7; 3/5; 8/13; 6/11; 4/7; 3/5; 3/5; 10/17; 4/7; 4/7; 
Draw; 3; 29/10; 11/4; 11/4; 63/20; 11/4; ; ; 56/19; 11/4; 14/5; 13/5; ; 27/10; 14/5; 13/5; 27/10; 56/19; 27/10; 3; 56/19; 3; 3; 59/20; 3; 14/5; 11/4; 
Woking; 9/2; 9/2; 17/4; 9/2; 23/5; 4; ; ; 41/10; 17/4; 21/5; 4; ; 4; 17/4; 4; 17/4; 74/17; 17/4; 39/10; 41/10; 17/4; 9/2; 17/4; 22/5; 22/5; 4; 
META; english/non-league/national-league/gateshead-v-woking; 2018-01-23 17:23:32 GMT+2; 2018-01-23 19:45; e70300-dr003
Gateshead; 4/7; 8/13; 4/7; 4/7; 8/13; 11/20; ; ; 6/11; 4/7; 4/7; 4/7; ; 4/7; 8/13; 4/7; 3/5; 5/9; 3/5; 17/35; 6/11; 4/7; 8/15; 4/7; 5/9; 4/7; 4/7; 
Draw; 3; 29/10; 14/5; 11/4; 13/4; 29/10; ; ; 56/19; 14/5; 29/10; 5/2; ; 11/4; 14/5; 11/4; 27/10; 3; 27/10; 57/17; 56/19; 3; 31/10; 59/20; 3; 3; 3; 
Woking; 9/2; 9/2; 9/2; 9/2; 49/10; 4; ; ; 41/10; 9/2; 9/2; 9/2; ; 17/4; 17/4; 4; 17/4; 9/2; 17/4; 5; 41/10; 9/2; 5; 9/2; 23/5; 23/5; 23/5; 
