META; english/non-league/national-league/guiseley-v-ebbsfleet-united; 2017-07-31 12:02:50 GMT+3; 2017-08-05 15:00; e70300-dr003
Ebbsfleet United; 5/4; 1; ; 11/10; 6/5; ; 6/5; ; ; ; ; 23/20; 6/5; ; 6/5; 15/13; ; ; 15/13; 27/20; ; ; ; 5/4; 6/5; ; ; ; 
Guiseley; 9/4; 9/4; ; 11/5; 11/5; ; 23/10; ; ; ; ; 2; 11/5; ; 11/5; 23/10; ; ; 28/13; 58/25; ; ; ; 9/4; 9/4; ; ; ; 
Draw; 9/4; 12/5; ; 11/5; 11/5; ; 23/10; ; ; ; ; 11/5; 11/5; ; 23/10; 23/10; ; ; 28/13; 47/20; ; ; ; 9/4; 9/4; ; ; ; 
