META; english/non-league/national-league/boreham-wood-v-afc-fylde; 2017-12-07 10:58:29 GMT+2; 2017-12-09 15:00; e70300-dr003
Boreham Wood; ; 21/20; 21/20; ; 19/20; ; 1; ; 1; 21/20; 21/20; 1; ; 21/20; ; ; 19/20; 21/20; 29/25; ; 1; 21/20; 21/20; 1; 21/20; ; 5/6; ; 
Draw; ; 12/5; 9/4; ; 11/5; 23/10; 23/10; ; 23/10; 9/4; 12/5; 23/10; ; 9/4; ; ; 11/5; 12/5; 64/25; ; 23/10; 12/5; 12/5; 12/5; 12/5; ; 23/10; ; 
AFC Fylde; 14/5; 13/5; 23/10; ; 5/2; ; 5/2; ; 5/2; ; 5/2; 9/4; ; 12/5; ; ; 5/2; 12/5; 51/20; ; 5/2; ; 13/5; 51/20; 27/11; ; 23/10; ; 
META; english/non-league/national-league/boreham-wood-v-afc-fylde; 2017-12-08 12:16:39 GMT+2; 2017-12-09 15:00; e70300-dr003
Boreham Wood; ; 21/20; 21/20; ; 19/20; 1; 21/20; ; 1; 21/20; 21/20; 1; ; 21/20; ; ; 19/20; 21/20; 29/25; ; 1; 21/20; 21/20; 1; 21/20; ; 1; 21/20; 
Draw; ; 12/5; 9/4; ; 11/5; 23/10; 23/10; ; 23/10; 9/4; 12/5; 23/10; ; 9/4; ; ; 11/5; 12/5; 64/25; ; 23/10; 12/5; 12/5; 12/5; 27/11; ; 12/5; 9/4; 
AFC Fylde; 14/5; 13/5; 23/10; ; 5/2; 12/5; 12/5; ; 5/2; ; 5/2; 9/4; ; 12/5; ; ; 5/2; 27/11; 51/20; 11/5; 5/2; ; 13/5; 51/20; 27/11; ; 12/5; 23/10; 
META; english/non-league/national-league/boreham-wood-v-afc-fylde; 2018-04-30 14:37:16 GMT+3; 2018-05-03 19:45; e70300-dr003
Boreham Wood; 13/10; 5/4; 11/10; 13/10; 147/00; 13/10; 13/10; 11/10; 7/5; 6/5; 27/20; 5/4; 5/4; 13/10; 13/10; 13/10; 11/8; 1/50; 7/5; 
AFC Fylde; 7/4; 15/8; 9/4; 9/5; 19/10; 9/5; 15/8; 9/4; 9/5; 19/10; 15/8; 17/10; 9/5; 9/5; 7/4; 15/8; 19/10; 24/13; 1/50; 9/5
Draw; 12/5; 12/5; 23/10; 23/10; 131/0; 11/5; 23/10; 23/10; 9/4; 21/10; 43/20; 9/4; 23/10; 40/17; 12/5; 23/10; 12/5; 12/5; 1/50; 5/2
META; english/non-league/national-league/boreham-wood-v-afc-fylde; 2018-05-01 12:17:18 GMT+3; 2018-05-03 19:45; e70300-dr003
Boreham Wood; 11/8; 7/5; 7/5; 13/10; 37/25; 13/10; 13/10; 7/5; 7/5; 11/8; 7/5; 5/4; 7/5; 13/10; 39/29; 13/10; 7/5; 7/5; 1/100; 7/5; 
AFC Fylde; 15/8; 19/10; 9/5; 15/8; 2; 9/5; 15/8; 9/5; 9/5; 7/4; 9/5; 17/10; 9/5; 7/4; 7/4; 32/19; 15/8; 15/8; 9/5; 1/100; 19/10
Draw; 12/5; 12/5; 11/5; 5/2; 123/0; 11/5; 23/10; 11/5; 23/10; 21/10; 43/20; 9/4; 11/5; 23/10; 12/5; 40/17; 23/10; 12/5; 40/17; 1/100; 12/5
META; english/non-league/national-league/boreham-wood-v-afc-fylde; 2018-05-02 11:08:19 GMT+3; 2018-05-03 19:45; e70300-dr003
Boreham Wood; 11/8; 7/5; 7/5; 29/20; 37/25; 13/10; 11/8; 13/10; 7/5; 7/5; 11/8; 7/5; 5/4; 11/8; 7/5; 13/10; 13/9; 13/10; 7/5; 7/5; 7/5; 5/4; 5/4; 27/20
AFC Fylde; 15/8; 19/10; 9/5; 19/10; 2; 9/5; 15/8; 15/8; 9/5; 9/5; 7/4; 9/5; 17/10; 7/4; 7/4; 7/4; 9/5; 15/8; 15/8; 9/5; 15/8; 13/8; 7/5; 19/10
Draw; 12/5; 12/5; 11/5; 9/4; 49/20; 11/5; 9/4; 23/10; 11/5; 9/4; 21/10; 43/20; 9/4; 11/5; 23/10; 12/5; 23/10; 23/10; 12/5; 40/17; 9/4; 19/10; 15/8; 11/5
META; english/non-league/national-league/boreham-wood-v-afc-fylde; 2018-05-03 12:44:32 GMT+3; 2018-05-03 19:00; e70300-dr003
Boreham Wood; 21/20; 21/20; 21/20; 21/20; 113/00; 11/10; 11/10; 1; 21/20; 23/20; 11/10; 1; 19/20; 11/10; 11/10; 11/10; 12/11; 1; 23/20; 11/10; 5/4; 1; ; 
Draw; 12/5; 12/5; 11/5; 9/4; 47/20; 21/10; 9/4; 9/4; 11/5; 21/10; 11/5; 43/20; 21/10; 21/10; 40/17; 21/10; 23/10; 9/4; 12/5; 40/17; 11/5; 11/5; 23/10; 23/10
AFC Fylde; 13/5; 13/5; 5/2; 12/5; 72/25; 23/10; 12/5; 13/5; 5/2; 12/5; 13/5; 13/5; 5/2; 9/4; 40/17; 12/5; 27/11; 13/5; 11/5; 12/5; 9/4; 14/5; 14/5; 14/5
