META; english/non-league/national-league/maidstone-v-halifax; 2018-04-23 10:19:31 GMT+3; 2018-04-28 12:30; e70300-dr003
Maidstone; 1; 10/11; 20/21; 1; 20/21; 20/21; 19/20; 19/20; 1; 19/20; 4/7; 7/4; 
Draw; 12/5; 23/10; 23/10; 23/10; 12/5; 21/10; 9/4; 23/10; 23/10; 12/5; 23/10; 6/4; 7/4
Halifax; 11/4; 13/5; 13/5; 5/2; 13/5; 13/5; 13/5; 28/11; 5/2; 14/5; 13/5; 7/4; 7/4
META; english/non-league/national-league/maidstone-v-halifax; 2018-04-24 08:19:34 GMT+3; 2018-04-28 12:30; e70300-dr003
Maidstone; 1; 10/11; 20/21; 1; 20/21; 20/21; 19/20; 19/20; 19/20; 1; 19/20; 4/6; 6/4; 
Draw; 12/5; 23/10; 23/10; 23/10; 12/5; 11/5; 9/4; 23/10; 9/4; 23/10; 12/5; 23/10; 1/4; 9/5
Halifax; 11/4; 13/5; 13/5; 5/2; 13/5; 5/2; 13/5; 28/11; 27/10; 5/2; 14/5; 13/5; 1/50; 9/5
META; english/non-league/national-league/maidstone-v-halifax; 2018-04-25 08:18:45 GMT+3; 2018-04-28 12:30; e70300-dr003
Maidstone; 1; 10/11; 20/21; 1; 20/21; 20/21; 19/20; 19/20; 19/20; 1; 1; 4/6; 4/6; 
Draw; 12/5; 23/10; 23/10; 23/10; 12/5; 11/5; 9/4; 23/10; 9/4; 23/10; 12/5; 40/17; 13/8; 3/10
Halifax; 11/4; 13/5; 13/5; 5/2; 13/5; 5/2; 13/5; 13/5; 27/10; 5/2; 14/5; 45/17; 9/5; 1/4
META; english/non-league/national-league/maidstone-v-halifax; 2018-04-25 12:19:27 GMT+3; 2018-04-28 12:30; e70300-dr003
Maidstone; 1; 10/11; 20/21; 1; 20/21; 20/21; 19/20; 19/20; 19/20; 1; 1; 4/6; 4/6; 
Draw; 12/5; 23/10; 23/10; 23/10; 12/5; 11/5; 9/4; 23/10; 9/4; 23/10; 12/5; 40/17; 21/10; 4/11
Halifax; 11/4; 13/5; 13/5; 5/2; 13/5; 5/2; 13/5; 13/5; 27/10; 5/2; 14/5; 45/17; 5/2; 1/3
META; english/non-league/national-league/maidstone-v-halifax; 2018-04-26 12:19:22 GMT+3; 2018-04-28 12:30; e70300-dr003
Maidstone; 1; 1; 107/00; 9/10; 1; 1; 20/21; 1; 21/20; 19/20; 1; 19/20; 1; 1; 21/20; 4/5; 9/10; 1; ; ; 
Draw; 12/5; 12/5; 23/10; 127/0; 23/10; 23/10; 23/10; 23/10; 9/4; 9/4; 5/2; 9/4; 40/17; 9/4; 40/17; 23/10; 12/5; 23/10; 19/10; 12/5; 
Halifax; 11/4; 14/5; 5/2; 71/25; 13/5; 13/5; 5/2; 13/5; 12/5; 13/5; 11/4; 5/2; 28/11; 27/10; 23/10; 5/2; 11/4; 28/11; 13/5; 21/10; 27/10
META; english/non-league/national-league/maidstone-v-halifax; 2018-04-27 08:18:15 GMT+3; 2018-04-28 12:30; e70300-dr003
Maidstone; 5/6; 17/20; 20/23; 10/11; 23/25; 5/6; 17/20; 4/5; 20/23; 17/20; 17/20; 19/20; 5/6; 13/15; 10/11; 7/8; 4/5; 20/23; 13/15; 5/6; 4/5; 9/10; 
Draw; 12/5; 5/2; 23/10; 23/10; 129/0; 12/5; 12/5; 5/2; 23/10; 12/5; 12/5; 23/10; 13/5; 23/10; 12/5; 23/10; 12/5; 5/2; 5/2; 27/11; 12/5; 23/10; 5/2
Halifax; 7/2; 16/5; 3; 14/5; 69/20; 3; 16/5; 31/10; 3; 11/4; 29/10; 3; 58/19; 14/5; 31/10; 31/10; 16/5; 31/10; 3; 11/4; 10/3; ; 
META; english/non-league/national-league/maidstone-v-halifax; 2018-04-28 12:21:25 GMT+3; 2018-04-28 12:30; e70300-dr003
Maidstone; 5/6; 17/20; 17/20; 19/20; 10/11; 5/6; 20/23; 4/5; 17/20; 17/20; 17/20; 10/11; 5/6; 13/15; 10/11; 7/8; 4/5; 5/6; 13/15; 5/6; 5/6; 5/6; 5/6; 
Draw; 12/5; 13/5; 12/5; 11/5; 13/5; 12/5; 23/10; 5/2; 12/5; 12/5; 12/5; 47/20; 11/4; 23/10; 12/5; 23/10; 12/5; 5/2; 13/5; 27/11; 9/4; 12/5; 12/5; 5/2
Halifax; 7/2; 3; 16/5; 69/20; 3; 16/5; 31/10; 3; 11/4; 3; 3; 14/5; 31/10; 31/10; 16/5; 58/19; 3; 3; 10/3; ; ; ; ; 
