META; english/non-league/national-league/gateshead-v-maidstone; 2018-01-22 12:17:44 GMT+2; 2018-01-27 15:00; e70300-dr003
Gateshead; 19/20; 1; 1; ; 26/25; 1; 1; ; ; 1; 21/20; 20/21; ; ; ; 19/20; 15/13; 19/20; 15/13; ; ; 21/20; 21/20; 1; 1; ; ; 
Draw; 12/5; 23/10; 12/5; ; 127/ 50; 23/10; 23/10; ; ; 12/5; 23/10; 11/5; ; ; ; 9/4; 11/5; 23/10; 11/5; ; ; 5/2; 12/5; 49/20; 23/10; ; ; 
Maidstone; 14/5; 13/5; 12/5; ; 74/25; 12/5; 13/5; ; ; 12/5; 5/2; 5/2; ; ; ; 5/2; 9/4; 5/2; 9/4; ; ; 5/2; 13/5; 51/20; 5/2; ; ; 
META; english/non-league/national-league/gateshead-v-maidstone; 2018-01-23 02:17:12 GMT+2; 2018-01-27 15:00; e70300-dr003
Gateshead; 19/20; 1; 1; ; 26/25; 19/20; 20/21; ; 1; 1; 21/20; 1; ; 1; 1; 19/20; 21/20; 1; 21/20; 68/67; 1; 21/20; 1; 1; 1; 5/6; ; 
Draw; 12/5; 13/5; 12/5; ; 127/ 50; 23/10; 12/5; ; 23/10; 12/5; 12/5; 23/10; ; 12/5; 5/2; 23/10; 9/4; 40/17; 9/4; 28/11; 23/10; 5/2; 13/5; 49/20; 40/17; 21/10; ; 
Maidstone; 14/5; 13/5; 12/5; ; 74/25; 5/2; 5/2; ; 5/2; 12/5; 12/5; 9/4; ; 12/5; 5/2; 5/2; 12/5; 5/2; 12/5; 12/5; 5/2; 5/2; 5/2; 51/20; 28/11; 11/5; ; 
META; english/non-league/national-league/gateshead-v-maidstone; 2018-01-23 17:23:50 GMT+2; 2018-01-27 15:00; e70300-dr003
Gateshead; 19/20; 1; 1; ; 27/25; 19/20; 1; ; 1; 1; 1; 1; ; 1; 1; 19/20; 21/20; 1; 21/20; 68/67; 1; 21/20; 1; 1; 1; 5/6; ; 
Draw; 12/5; 13/5; 12/5; ; 5/2; 23/10; 12/5; ; 23/10; 12/5; 12/5; 23/10; ; 12/5; 5/2; 23/10; 9/4; 40/17; 9/4; 28/11; 23/10; 5/2; 13/5; 49/20; 40/17; 2; ; 
Maidstone; 14/5; 13/5; 12/5; ; 57/20; 5/2; 5/2; ; 5/2; 12/5; 5/2; 9/4; ; 12/5; 5/2; 5/2; 12/5; 5/2; 12/5; 12/5; 5/2; 5/2; 5/2; 51/20; 28/11; 11/5; ; 
META; english/non-league/national-league/gateshead-v-maidstone; 2018-01-24 12:19:00 GMT+2; 2018-01-27 15:00; e70300-dr003
Gateshead; 19/20; 1; 1; ; 113/ 100; 10/11; 1; ; 1; 1; 20/21; 1; ; 1; 1; 1; 21/20; 1; 21/20; 68/67; 1; 21/20; 1; 1; 1; ; 5/6; 20/21; 
Draw; 12/5; 5/2; 12/5; ; 62/25; 12/5; 23/10; ; 23/10; 12/5; 5/2; 12/5; ; 47/20; 5/2; 23/10; 9/4; 23/10; 9/4; 28/11; 23/10; 5/2; 5/2; 49/20; 23/10; ; 21/10; 2; 
Maidstone; 14/5; 5/2; 12/5; ; 68/25; 5/2; 5/2; ; 5/2; 12/5; 5/2; 11/5; ; 12/5; 5/2; 12/5; 12/5; 5/2; 12/5; 12/5; 5/2; 5/2; 13/5; 51/20; 28/11; ; 11/5; 11/5; 
