META; english/non-league/national-league/torquay-v-afc-fylde; 2018-02-27 18:19:28 GMT+2; 2018-03-03 15:00; e70300-dr003
AFC Fylde; 23/20; 5/4; 5/4; 6/5; 71/50; ; 6/5; ; 19/17; 5/4; 6/5; 6/5; ; 6/5; 5/4; 6/5; 6/5; 15/13; 22/19; 19/17; 5/4; 5/4; 6/5; ; 1/7; 6/5; 
Torquay; 9/4; 2; 2; 2; 107/50; ; 21/10; ; 11/5; 2; 21/10; 19/10; ; 41/20; 21/10; 2; 2; 21/10; 19/10; 11/5; 85/40; 2; 39/19; ; 2/13; 9/5; 
Draw; 12/5; 23/10; 11/5; 23/10; 12/5; ; 23/10; ; 40/17; 11/5; 23/10; 11/5; ; 9/4; 23/10; 11/5; 40/17; 23/10; 12/5; 40/17; ; 12/5; 40/17; ; 1/4; 2; 
META; english/non-league/national-league/torquay-v-afc-fylde; 2018-03-01 16:01:51 GMT+2; ; e70300-dr003
AFC Fylde l d w l l w; 23/20; 5/4; 5/4; 6/5; 27/20; 6/5; 19/17; 5/4; 6/5; 6/5; 6/5; 5/4; 6/5; 6/5; 15/13; 22/19; 19/17; 5/4; 5/4; 6/5; 10/9; 6/5
Torquay l d w w l l; 9/4; 21/10; 2; 11/5; 21/10; 11/5; 2; 21/10; 2; 21/10; 21/10; 2; 21/10; 21/10; 39/19; 11/5; 85/40; 2; 21/10; 9/5; 9/5; 
Draw; 12/5; 12/5; 11/5; 23/10; 62/25; 23/10; 40/17; 11/5; 9/4; 21/10; 11/5; 23/10; 11/5; 40/17; 23/10; 12/5; 40/17; 12/5; 12/5; 11/5; ; 
META; english/non-league/national-league/torquay-v-afc-fylde; 2018-03-02 08:22:55 GMT+2; 2018-03-03 15:00; e70300-dr003
AFC Fylde; 23/20; 5/4; 5/4; 6/5; 27/20; 6/5; 11/10; 5/4; 6/5; 6/5; 6/5; 5/4; 6/5; 6/5; 15/13; 22/19; 11/10; 5/4; 5/4; 6/5; 5/4; 6/5
Torquay; 9/4; 21/10; 2; 11/5; 21/10; 9/4; 2; 21/10; 19/10; 21/10; 21/10; 2; 21/10; 21/10; 39/19; 9/4; 85/40; 2; 21/10; 19/10; 19/10; 
Draw; 12/5; 12/5; 11/5; 23/10; 62/25; 23/10; 40/17; 11/5; 23/10; 11/5; 11/5; 23/10; 9/4; 40/17; 23/10; 12/5; 40/17; 12/5; 12/5; 11/5; ; 
META; english/non-league/national-league/torquay-v-afc-fylde; 2018-03-02 14:02:08 GMT+2; 2018-03-03 15:00; e70300-dr003
AFC Fylde; 23/20; 5/4; 5/4; 6/5; 27/20; 23/20; 6/5; 11/10; 5/4; 6/5; 6/5; 5/4; 5/4; 15/13; 22/19; 11/10; 5/4; 5/4; 5/4; 6/5
Torquay; 9/4; 21/10; 2; 11/5; 2; 21/10; 9/4; 2; 21/10; 21/10; 39/19; 21/10; 39/19; 9/4; 2; 39/19; 19/10; 19/10; ; 
Draw; 12/5; 12/5; 11/5; 23/10; 62/25; 11/5; 23/10; 40/17; 11/5; 11/5; 11/5; 23/10; 40/17; 23/10; 12/5; 40/17; 12/5; 40/17; 11/5; 21/10
META; english/non-league/national-league/torquay-v-afc-fylde; 2018-03-03 12:20:48 GMT+2; 2018-03-03 15:00; e70300-dr003
AFC Fylde; 6/5
Torquay; 11/5
Draw; 12/5
META; english/non-league/national-league/torquay-v-afc-fylde; 2018-04-10 08:20:49 GMT+3; 2018-04-10 19:45; e70300-dr003
AFC Fylde; 1; 21/20; 21/20; 11/10; 11/10; 19/20; 21/20; 1; 21/20; 21/20; 1; 21/20; 1; 1; 19/20; 12/11; 1; 21/20; 21/20; 21/20; 1; 21/20; 1; 
Draw; 5/2; 12/5; 23/10; 12/5; 131/50; 23/10; 12/5; 12/5; 23/10; 12/5; 23/10; 23/10; 9/4; 23/10; 27/11; 12/5; 5/2; 12/5; 5/2; 27/11; 12/5; 23/10; 12/5; 
Torquay; 13/5; 12/5; 23/10; 12/5; 133/50; 23/10; 5/2; 12/5; 23/10; 12/5; 9/4; 23/10; 11/5; 12/5; 12/5; 5/2; 9/4; 12/5; 5/2; 27/11; 12/5; 5/2; 5/2; 13/5
