META; english/non-league/national-league/dagenham-redbridge-v-ebbsfleet-united; 2017-08-15 20:21:30 GMT+3; 2017-08-15 19:45; e70300-dr003
Dagenham & Redbridge; 4/5; 17/20; 17/20; 10/11; 5/6; 17/20; 17/20; 4/5; 11/13; ; 17/20; 5/6; 17/20; 17/20; 17/20; 5/6; 4/5; 11/13; 5/6; 87/100; 7/8; 11/13; ; 5/6; 5/6; ; 5/6; 5/6; 
Draw; 11/4; 13/5; 5/2; 13/5; 13/5; 12/5; 11/4; 13/5; 28/11; 5/2; 5/2; 12/5; 27/10; 27/10; 11/4; 13/5; 5/2; 28/11; 45/17; 72/25; 11/4; 28/11; ; 13/5; 11/4; ; 14/5; 14/5; 
Ebbsfleet United; 16/5; 14/5; 14/5; 13/5; 29/10; 5/2; 3; 3; 11/4; 14/5; 14/5; 11/4; 59/20; 14/5; 14/5; 14/5; 27/10; 11/4; 29/10; 33/10; 27/10; 11/4; ; 3; 3; ; 3; 3; 
