META; english/non-league/national-league/chester-v-aldershot; 2018-03-12 10:28:56 GMT+2; 2018-03-17 15:00; e70300-dr003
Aldershot; 10/11; 1; 51/50; 20/21; 19/20; 10/11; 9/10; 1; 19/20; 1
Chester; 12/5; 5/2; 27/10; 12/5; 5/2; 12/5; 12/5; 13/5; 51/20; 13/5
Draw; 13/5; 12/5; 57/20; 5/2; 13/5; 5/2; 13/5; 13/5; 27/10; 11/4
META; english/non-league/national-league/chester-v-aldershot; 2018-03-12 20:21:03 GMT+2; 2018-03-17 15:00; e70300-dr003
Aldershot; 1; 21/20; 4/5; 109/00; 20/21; 21/20; 1; 21/20; 19/20; 21/20; 9/10; 30/29; 21/20; 21/20; 11/10; 8/11; 21/20; ; 
Chester; 5/2; 13/5; 12/5; 13/5; 129/0; 12/5; 12/5; 5/2; 23/10; 23/10; 12/5; 28/13; 12/5; 28/13; 5/2; 47/20; 28/13; 19/10; 5/2
Draw; 13/5; 13/5; 23/10; 12/5; 137/0; 5/2; 23/10; 12/5; 9/4; 13/5; 12/5; 40/17; 13/5; 27/11; 5/2; 5/2; 40/17; 2; 13/5
META; english/non-league/national-league/chester-v-aldershot; 2018-03-13 12:23:53 GMT+2; 2018-03-17 15:00; e70300-dr003
Aldershot; 1; 11/10; 11/10; 4/5; 6/5; 21/20; 19/20; 11/10; 21/20; 21/20; 23/20; 1; 21/20; 9/10; 21/20; 19/20; 11/10; 11/10; 21/20; 23/20; 
Chester; 5/2; 12/5; 9/4; 13/5; 5/2; 23/10; 12/5; 9/4; 12/5; 11/5; 23/10; 23/10; 9/4; 12/5; 21/10; 12/5; 12/5; 23/10; 23/10; 1/4; 5/2
Draw; 13/5; 5/2; 9/4; 12/5; 5/2; 23/10; 5/2; 9/4; 12/5; 11/5; 23/10; 12/5; 23/10; 13/5; 27/11; 5/2; 5/2; 12/5; 40/17; 23/10; 12/5
META; english/non-league/national-league/chester-v-aldershot; 2018-03-13 20:21:41 GMT+2; 2018-03-17 15:00; e70300-dr003
Aldershot; 1; 11/10; 23/20; 11/10; 6/5; 21/20; 19/20; 23/20; 21/20; 21/20; 23/20; 21/20; 21/20; 21/20; 21/20; 19/20; 11/10; 11/10; 21/20; 23/20; 
Chester; 5/2; 5/2; 11/5; 9/4; 5/2; 23/10; 12/5; 11/5; 23/10; 11/5; 23/10; 9/4; 23/10; 23/10; 21/10; 12/5; 12/5; 23/10; 40/17; 1/4; 5/2
Draw; 13/5; 12/5; 9/4; 9/4; 5/2; 23/10; 5/2; 9/4; 12/5; 11/5; 23/10; 23/10; 40/17; 23/10; 27/11; 5/2; 5/2; 12/5; 40/17; 1/4; 12/5
META; english/non-league/national-league/chester-v-aldershot; 2018-03-14 20:20:29 GMT+2; 2018-03-17 15:00; e70300-dr003
Aldershot; 1; 11/10; 23/20; 11/10; 6/5; 11/10; 19/20; 23/20; 11/10; 21/20; 11/10; 23/20; 21/20; 21/20; 21/20; 21/20; 19/20; 11/10; 11/10; 11/10; 21/20; 21/20; 23/20
Chester; 5/2; 12/5; 11/5; 9/4; 5/2; 23/10; 12/5; 11/5; 23/10; 11/5; 23/10; 23/10; 9/4; 40/17; 23/10; 21/10; 12/5; 5/2; 23/10; 40/17; 23/10; 2; 5/2
Draw; 13/5; 12/5; 9/4; 9/4; 5/2; 23/10; 5/2; 9/4; 23/10; 11/5; 9/4; 23/10; 9/4; 12/5; 23/10; 27/11; 5/2; 12/5; 12/5; 12/5; 2; 21/10; 12/5
META; english/non-league/national-league/chester-v-aldershot; 2018-03-15 13:13:13 GMT+2; 2018-03-17 15:00; e70300-dr003
Aldershot; 1; 11/10; 23/20; 11/10; 6/5; 11/10; 19/20; 23/20; 21/20; 21/20; 11/10; 23/20; 21/20; 21/20; 21/20; 21/20; 19/20; 11/10; 11/10; 11/10; 10/11; 21/20; 23/20
Chester; 5/2; 12/5; 11/5; 9/4; 5/2; 23/10; 12/5; 11/5; 12/5; 11/5; 23/10; 23/10; 9/4; 40/17; 23/10; 21/10; 12/5; 5/2; 23/10; 40/17; 21/10; 2; 5/2
Draw; 13/5; 12/5; 9/4; 9/4; 5/2; 23/10; 5/2; 9/4; 23/10; 11/5; 9/4; 23/10; 9/4; 12/5; 23/10; 27/11; 5/2; 12/5; 12/5; 12/5; 2; 21/10; 12/5
META; english/non-league/national-league/chester-v-aldershot; 2018-03-15 20:20:31 GMT+2; 2018-03-17 15:00; e70300-dr003
Aldershot; 1; 11/10; 23/20; 11/10; 6/5; 11/10; 19/20; 23/20; 21/20; 21/20; 11/10; 23/20; 21/20; 21/20; 21/20; 21/20; 19/20; 11/10; 11/10; 10/9; 23/20; 23/20; 
Chester; 5/2; 12/5; 11/5; 9/4; 5/2; 23/10; 12/5; 11/5; 23/10; 11/5; 23/10; 23/10; 9/4; 40/17; 23/10; 21/10; 12/5; 12/5; 23/10; 12/5; 23/10; 12/5; 5/2
Draw; 13/5; 12/5; 9/4; 9/4; 5/2; 23/10; 5/2; 9/4; 12/5; 11/5; 9/4; 23/10; 23/10; 12/5; 23/10; 27/11; 5/2; 5/2; 12/5; 12/5; 21/10; 9/4; 12/5
META; english/non-league/national-league/chester-v-aldershot; 2018-03-16 10:21:09 GMT+2; 2018-03-17 15:00; e70300-dr003
Aldershot; 21/20; 11/10; 23/20; 11/10; 6/5; 11/10; 19/20; 23/20; 11/10; 21/20; 11/10; 23/20; 21/20; 21/20; 21/20; 19/20; 11/10; 21/20; 10/9; 23/20; 23/20; 
Chester; 23/10; 12/5; 11/5; 9/4; 5/2; 23/10; 12/5; 11/5; 9/4; 11/5; 23/10; 23/10; 23/10; 23/10; 21/10; 12/5; 12/5; 23/10; 40/17; 23/10; 12/5; 5/2
