META; english/non-league/national-league/maidstone-v-sutton; 2018-03-12 10:29:15 GMT+2; 2018-03-17 15:00; e70300-dr003
Sutton; 7/5; 11/8; 79/50; 7/5; 29/20; 7/5; 7/5; 29/20; 29/20; 6/4
Maidstone; 13/8; 9/5; 44/25; 17/10; 17/10; 8/5; 8/5; 9/5; 17/10; 17/10
Draw; 12/5; 23/10; 131/0; 23/10; 23/10; 23/10; 12/5; 12/5; 49/20; 5/2
META; english/non-league/national-league/maidstone-v-sutton; 2018-03-12 20:21:22 GMT+2; 2018-03-17 15:00; e70300-dr003
Sutton; 5/4; 11/8; 13/10; 13/10; 67/50; 5/4; 13/10; 13/10; 5/4; 5/4; 5/4; 6/5; 13/10; 11/9; 13/10; 13/10; 6/5; 20/21; 13/10
Maidstone; 2; 19/10; 2; 8/5; 21/10; 19/10; 2; 19/10; 2; 15/8; 37/19; 9/5; 11/6; 21/10; 2; 37/19; 7/5; 2; 
Draw; 5/2; 12/5; 11/5; 23/10; 131/0; 23/10; 11/5; 9/4; 21/10; 12/5; 9/4; 9/4; 23/10; 40/17; 23/10; 47/20; 23/10; 9/5; 5/2
META; english/non-league/national-league/maidstone-v-sutton; 2018-03-13 12:24:12 GMT+2; 2018-03-17 15:00; e70300-dr003
Sutton; 5/4; 13/10; 27/20; 13/10; 139/00; 13/10; 6/5; 27/20; 5/4; 5/4; 13/10; 5/4; 5/4; 13/10; 11/9; 6/5; 13/10; 13/10; 5/4; 20/21; 11/8
Maidstone; 2; 19/10; 8/5; 109/0; 19/10; 37/19; 19/10; 21/10; 19/10; 2; 19/10; 19/10; 9/5; 11/6; 37/19; 21/10; 2; 37/19; 9/5; 21/10; 
Draw; 5/2; 12/5; 21/10; 23/10; 121/0; 9/4; 12/5; 21/10; 11/5; 21/10; 23/10; 11/5; 9/4; 23/10; 40/17; 12/5; 23/10; 9/4; 9/4; 7/4; 12/5
META; english/non-league/national-league/maidstone-v-sutton; 2018-03-13 20:22:00 GMT+2; 2018-03-17 15:00; e70300-dr003
Sutton; 5/4; 13/10; 27/20; 13/10; 139/00; 13/10; 6/5; 27/20; 5/4; 5/4; 13/10; 5/4; 5/4; 13/10; 11/9; 6/5; 13/10; 13/10; 5/4; 20/21; 11/8
Maidstone; 2; 19/10; 2; 109/0; 19/10; 37/19; 19/10; 21/10; 19/10; 2; 37/19; 9/5; 11/6; 37/19; 21/10; 2; 37/19; 9/5; 21/10; ; 
Draw; 5/2; 12/5; 21/10; 21/10; 121/0; 9/4; 12/5; 21/10; 11/5; 21/10; 23/10; 21/10; 23/10; 23/10; 40/17; 12/5; 23/10; 9/4; 23/10; 7/4; 12/5
META; english/non-league/national-league/maidstone-v-sutton; 2018-03-14 20:20:48 GMT+2; 2018-03-17 15:00; e70300-dr003
Sutton; 5/4; 13/10; 13/10; 13/10; 133/00; 5/4; 6/5; 13/10; 5/4; 6/5; 13/10; 13/10; 5/4; 5/4; 13/10; 11/9; 6/5; 13/10; 5/4; 5/4; 21/20; 5/4; 5/4
Maidstone; 2; 2; 57/25; 2; 37/19; 2; 19/10; 2; 19/10; 39/19; 9/5; 11/6; 37/19; 21/10; 21/10; 21/10; 17/10; 17/10; 9/4; ; ; ; 
Draw; 5/2; 12/5; 21/10; 21/10; 61/25; 9/4; 12/5; 21/10; 23/10; 11/5; 43/20; 23/10; 11/5; 23/10; 23/10; 40/17; 12/5; 23/10; 23/10; 40/17; 21/10; 2; 12/5
META; english/non-league/national-league/maidstone-v-sutton; 2018-03-15 13:13:32 GMT+2; 2018-03-17 15:00; e70300-dr003
Sutton; 5/4; 5/4; 13/10; 13/10; 133/00; 5/4; 6/5; 13/10; 5/4; 6/5; 13/10; 13/10; 6/5; 6/5; 13/10; 11/9; 6/5; 13/10; 5/4; 5/4; 11/10; 5/4; 5/4
Maidstone; 2; 21/10; 2; 57/25; 21/10; 37/19; 2; 21/10; 19/10; 2; 2; 39/19; 9/5; 11/6; 37/19; 21/10; 21/10; 21/10; 17/10; 17/10; 9/4; ; 
Draw; 5/2; 12/5; 21/10; 21/10; 61/25; 9/4; 12/5; 21/10; 9/4; 11/5; 43/20; 23/10; 11/5; 23/10; 23/10; 40/17; 12/5; 23/10; 23/10; 40/17; 21/10; 2; 12/5
META; english/non-league/national-league/maidstone-v-sutton; 2018-03-15 20:20:50 GMT+2; 2018-03-17 15:00; e70300-dr003
Sutton; 5/4; 5/4; 5/4; 13/10; 133/100; 5/4; 6/5; 5/4; 6/5; 6/5; 13/10; 13/10; 6/5; 6/5; 13/10; 11/9; 6/5; 13/10; 5/4; 5/4; 5/4; 5/4; 5/4
Maidstone; 2; 21/10; 2; 57/25; 2; 37/19; 2; 21/10; 19/10; 2; 2; 39/19; 9/5; 11/6; 37/19; 21/10; 21/10; 21/10; 21/10; 9/4; 9/4; ; 
Draw; 5/2; 12/5; 21/10; 21/10; 61/25; 9/4; 12/5; 21/10; 9/4; 11/5; 43/20; 23/10; 11/5; 23/10; 23/10; 40/17; 12/5; 23/10; 23/10; 40/17; 21/10; 11/5; 12/5
META; english/non-league/national-league/maidstone-v-sutton; 2018-03-16 10:21:28 GMT+2; 2018-03-17 15:00; e70300-dr003
Sutton; 5/4; 5/4; 5/4; 13/10; 133/100; 5/4; 6/5; 5/4; 6/5; 6/5; 13/10; 13/10; 6/5; 5/4; 13/10; 11/9; 6/5; 13/10; 5/4; 5/4; 5/4; 5/4; 5/4
Maidstone; 2; 21/10; 2; 57/25; 2; 37/19; 2; 21/10; 19/10; 2; 2; 37/19; 9/5; 11/6; 37/19; 85/40; 21/10; 2; 21/10; 9/4; 9/4; ; 
Draw; 5/2; 12/5; 21/10; 21/10; 61/25; 9/4; 12/5; 21/10; 23/10; 11/5; 43/20; 23/10; 11/5; 40/17; 23/10; 40/17; 12/5; 23/10; 23/10; 12/5; 21/10; 11/5; 12/5
META; english/non-league/national-league/maidstone-v-sutton; 2018-03-16 16:24:38 GMT+2; 2018-03-17 15:00; e70300-dr003
Sutton; 5/4; 5/4; 5/4; 13/10; 133/100; 5/4; 6/5; 5/4; 6/5; 6/5; 13/10; 13/10; 6/5; 5/4; 13/10; 13/10; 6/5; 13/10; 5/4; 5/4; 5/4; 5/4; 5/4
Maidstone; 2; 21/10; 2; 57/25; 21/10; 37/19; 21/10; 21/10; 19/10; 2; 2; 37/19; 9/5; 19/10; 37/19; 85/40; 21/10; 2; 21/10; 9/4; 9/4; ; 
