META; english/non-league/national-league/hartlepool-v-gateshead; 2017-12-31 12:18:12 GMT+2; 2018-01-01 15:00; e70300-dr003
Hartlepool; 5/4; 13/10; 13/10; 6/4; 77/50; 5/4; 13/10; ; 23/18; 27/20; 13/10; 5/4; ; 13/10; 11/8; 13/10; 6/5; 13/10; 6/5; 9/7; 23/18; 13/10; 11/8; 13/10; 23/17; ; 13/10; 5/4; 
Gateshead; 2; 21/10; 2; 15/8; 52/25; 15/8; 19/10; ; 24/13; 2; 19/10; 2; ; 2; 19/10; 19/10; 7/4; 19/10; 7/4; 2; 24/13; 2; 21/10; 21/10; 37/19; ; 19/10; 19/10; 
Draw; 5/2; 9/4; 21/10; 11/5; 113/ 50; 11/5; 11/5; ; 40/17; 21/10; 9/4; 2; ; 21/10; 9/4; 21/10; 12/5; 23/10; 12/5; 23/10; 40/17; 23/10; 9/4; 9/4; 23/10; ; 21/10; 19/10; 
