META; english/non-league/national-league/wrexham-v-tranmere; 2018-01-22 12:17:57 GMT+2; 2018-01-27 15:00; e70300-dr003
Tranmere; 7/5; 13/10; 7/5; ; 151/ 100; 13/10; 11/8; ; ; 7/5; 7/5; 11/8; ; ; ; 13/10; 23/17; 23/17; 23/17; ; ; 7/5; 7/5; 7/5; 23/17; ; ; 
Wrexham; 9/5; 19/10; 7/4; ; 19/10; 17/10; 9/5; ; ; 7/4; 9/5; 17/10; ; ; ; 7/4; 7/4; 17/10; 7/4; ; ; 9/5; 15/8; 9/5; 7/4; ; ; 
Draw; 12/5; 23/10; 9/4; ; 127/ 50; 9/4; 23/10; ; ; 9/4; 9/4; 11/5; ; ; ; 9/4; 23/10; 9/4; 23/10; ; ; 12/5; 12/5; 12/5; 9/4; ; ; 
META; english/non-league/national-league/wrexham-v-tranmere; 2018-01-23 02:17:25 GMT+2; 2018-01-27 15:00; e70300-dr003
Tranmere; 7/5; 7/5; 26/19; 11/8; 149/ 100; 13/10; 11/8; ; 23/17; 11/8; 7/5; 11/8; ; 7/5; 7/5; 11/8; 23/17; 23/17; 23/17; 7/5; 23/17; 7/5; 29/20; 7/5; 23/17; 23/20; 13/10; 
Wrexham; 9/5; 2; 19/10; 15/8; 52/25; 9/5; 15/8; ; 15/8; 19/10; 15/8; 9/5; ; 15/8; 2; 9/5; 7/4; 24/13; 7/4; 11/6; 15/8; 15/8; 19/10; 19/10; 19/10; 9/5; 9/5; 
Draw; 12/5; 9/4; 21/10; 21/10; 47/20; 11/5; 11/5; ; 11/5; 21/10; 11/5; 2; ; 21/10; 21/10; 21/10; 23/10; 28/13; 23/10; 40/17; 11/5; 9/4; 9/4; 9/4; 11/5; 21/10; 9/5; 
META; english/non-league/national-league/wrexham-v-tranmere; 2018-01-23 17:24:03 GMT+2; 2018-01-27 15:00; e70300-dr003
Tranmere; 7/5; 7/5; 26/19; 11/8; 149/ 100; 11/8; 11/8; ; 23/17; 11/8; 7/5; 11/8; ; 11/8; 7/5; 11/8; 23/17; 23/17; 23/17; 7/5; 23/17; 7/5; 29/20; 7/5; 23/17; 5/4; 13/10; 
Wrexham; 9/5; 2; 19/10; 15/8; 52/25; 9/5; 15/8; ; 15/8; 19/10; 15/8; 9/5; ; 19/10; 2; 9/5; 7/4; 24/13; 7/4; 11/6; 15/8; 15/8; 19/10; 19/10; 19/10; 9/5; 9/5; 
Draw; 12/5; 9/4; 21/10; 21/10; 47/20; 11/5; 21/10; ; 11/5; 21/10; 11/5; 2; ; 41/20; 21/10; 21/10; 23/10; 28/13; 23/10; 40/17; 11/5; 9/4; 9/4; 9/4; 11/5; 21/10; 9/5; 
META; english/non-league/national-league/wrexham-v-tranmere; 2018-01-24 12:19:13 GMT+2; 2018-01-27 15:00; e70300-dr003
Tranmere; 7/5; 7/5; 7/5; 11/8; 77/50; 6/4; 7/5; ; 23/17; 7/5; 29/20; 11/8; ; 7/5; 7/5; 11/8; 23/17; 7/5; 23/17; 7/5; 23/17; 7/5; 29/20; 29/20; 7/5; ; 11/8; 13/10; 
Wrexham; 9/5; 2; 2; 15/8; 85/40; 9/5; 19/10; ; 15/8; 2; 15/8; 2; ; 2; 2; 15/8; 9/5; 19/10; 9/5; 11/6; 15/8; 2; 2; 2; 37/19; ; 13/8; 9/5; 
Draw; 12/5; 11/5; 2; 21/10; 11/5; 21/10; 2; ; 11/5; 2; 21/10; 15/8; ; 39/20; 21/10; 2; 9/4; 39/19; 9/4; 40/17; 11/5; 2; 85/40; 21/10; 39/19; ; 15/8; 7/4; 
