META; english/non-league/national-league/wrexham-v-afc-fylde; 2018-04-23 10:19:50 GMT+3; 2018-04-28 12:30; e70300-dr003
AFC Fylde; 8/5; 6/4; 8/5; 8/5; 8/5; 6/4; 6/4; 6/4; 8/5; 8/5; 17/11; 20/21; 9/5
Wrexham; 8/5; 6/4; 8/5; 8/5; 13/8; 6/4; 6/4; 6/4; 8/5; 13/8; 17/11; 20/21; 6/4
Draw; 12/5; 23/10; 9/4; 9/4; 9/4; 9/4; 9/4; 9/4; 9/4; 12/5; 9/4; 7/5; 9/5
META; english/non-league/national-league/wrexham-v-afc-fylde; 2018-04-24 08:19:53 GMT+3; 2018-04-28 12:30; e70300-dr003
AFC Fylde; 8/5; 6/4; 6/4; 8/5; 8/5; 6/4; 6/4; 6/4; 6/4; 8/5; 8/5; 17/11; 3/10; 9/5
Wrexham; 8/5; 31/20; 8/5; 8/5; 13/8; 6/4; 6/4; 6/4; 8/5; 8/5; 13/8; 17/11; 3/10; 6/4
Draw; 12/5; 11/5; 9/4; 9/4; 9/4; 9/4; 9/4; 9/4; 9/4; 9/4; 12/5; 9/4; 1/50; 9/5
META; english/non-league/national-league/wrexham-v-afc-fylde; 2018-04-25 08:19:04 GMT+3; 2018-04-28 12:30; e70300-dr003
Wrexham; 8/5; 31/20; 8/5; 8/5; 8/5; 6/4; 6/4; 17/11; 8/5; 8/5; 8/5; 17/11; 5/4; 5/4
AFC Fylde; 8/5; 6/4; 6/4; 8/5; 8/5; 6/4; 6/4; 17/11; 6/4; 8/5; 8/5; 17/11; 7/5; 4/5
Draw; 12/5; 11/5; 9/4; 9/4; 9/4; 9/4; 9/4; 23/10; 9/4; 9/4; 12/5; 23/10; 17/10; 7/4
META; english/non-league/national-league/wrexham-v-afc-fylde; 2018-04-25 12:19:46 GMT+3; 2018-04-28 12:30; e70300-dr003
AFC Fylde; 8/5; 6/4; 6/4; 8/5; 8/5; 6/4; 6/4; 17/11; 6/4; 8/5; 8/5; 17/11; 7/5; 20/21
Wrexham; 8/5; 31/20; 8/5; 8/5; 13/8; 6/4; 6/4; 17/11; 8/5; 8/5; 13/8; 17/11; 5/4; 5/4
Draw; 12/5; 11/5; 23/10; 9/4; 9/4; 9/4; 9/4; 23/10; 9/4; 9/4; 12/5; 23/10; 7/4; 9/5
META; english/non-league/national-league/wrexham-v-afc-fylde; 2018-04-26 12:19:41 GMT+3; 2018-04-28 12:30; e70300-dr003
AFC Fylde; 13/10; 7/5; 13/10; 29/20; 13/10; 11/8; 11/8; 13/10; 5/4; 27/20; 7/5; 5/4; 23/17; 23/17; 9/7; 11/8; 11/8; 23/17; 6/5; 6/5; 7/5
Wrexham; 2; 19/10; 15/8; 41/20; 9/5; 15/8; 24/13; 19/10; 19/10; 37/20; 2; 15/8; 37/19; 9/5; 17/10; 24/13; 19/10; 37/19; 13/8; 13/8; 2
Draw; 12/5; 12/5; 9/4; 49/20; 21/10; 9/4; 11/5; 9/4; 21/10; 11/5; 12/5; 11/5; 11/5; 9/4; 12/5; 11/5; 12/5; 11/5; 9/4; 7/4; 12/5
META; english/non-league/national-league/wrexham-v-afc-fylde; 2018-04-27 08:18:33 GMT+3; 2018-04-28 12:30; e70300-dr003
AFC Fylde; 13/10; 7/5; 13/10; 13/10; 147/00; 13/10; 11/8; 11/8; 13/10; 13/10; 11/8; 27/20; 7/5; 13/10; 23/17; 23/17; 7/5; 11/8; 11/8; 13/10; 5/4; 7/5; 
Wrexham; 2; 19/10; 19/10; 15/8; 103/0; 19/10; 19/10; 24/13; 19/10; 19/10; 15/8; 37/20; 2; 15/8; 37/19; 9/5; 24/13; 24/13; 15/8; 2; 7/4; 2; 
Draw; 12/5; 12/5; 11/5; 9/4; 12/5; 11/5; 9/4; 11/5; 11/5; 9/4; 2; 11/5; 12/5; 21/10; 11/5; 9/4; 23/10; 11/5; 12/5; 9/4; 11/5; 23/10; 23/10
META; english/non-league/national-league/wrexham-v-afc-fylde; 2018-04-28 12:21:46 GMT+3; 2018-04-28 12:30; e70300-dr003
AFC Fylde; 13/10; 11/8; 13/10; 7/5; 73/50; 13/10; 11/8; 7/5; 13/10; 13/10; 5/4; 27/20; 7/5; 5/4; 23/17; 23/17; 13/10; 7/5; 11/8; 23/17; 13/10; 7/5; 27/20; 7/5
Wrexham; 2; 19/10; 19/10; 19/10; 52/25; 15/8; 19/10; 9/5; 19/10; 19/10; 19/10; 15/8; 2; 15/8; 37/19; 9/5; 19/10; 9/5; 19/10; 2; 19/10; 2; ; 
Draw; 12/5; 12/5; 11/5; 23/10; 12/5; 11/5; 23/10; 11/5; 11/5; 9/4; 21/10; 11/5; 12/5; 11/5; 11/5; 23/10; 12/5; 11/5; 12/5; 9/4; 11/5; 11/5; 11/5; 9/4
