META; english/non-league/national-league/maidstone-v-macclesfield; 2018-03-05 20:20:36 GMT+2; 2018-03-06 19:45; e70300-dr003
Macclesfield; 29/20; 7/5; 29/20; 6/4; 38/25; 13/10; 4/3; 29/20; 7/5; 11/8; 7/5; 7/5; 11/8; 16/11; 5/4; 7/5; 4/3; 7/5; 7/5; 16/11; 7/5; 7/5
Maidstone; 9/5; 9/5; 7/4; 9/5; 47/25; 9/5; 24/13; 7/4; 9/5; 17/10; 9/5; 15/8; 7/4; 7/4; 19/10; 9/5; 24/13; 15/8; 9/5; 7/4; 7/4; 7/4
Draw; 12/5; 12/5; 11/5; 23/10; 51/20; 11/5; 9/4; 11/5; 9/4; 11/5; 11/5; 23/10; 11/5; 40/17; 23/10; 12/5; 9/4; 12/5; 47/20; 40/17; 23/10; 21/10
META; english/non-league/national-league/maidstone-v-macclesfield; 2018-03-06 15:06:46 GMT+2; 2018-03-06 19:45; e70300-dr003
Macclesfield; 8/5; 13/8; 31/20; 8/5; 13/8; 7/5; 8/5; 31/21; 31/20; 6/4; 6/4; 31/20; 8/5; 6/4; 17/11; 7/5; 14/9; 31/21; 8/5; 17/11; 8/5; 13/8
Maidstone; 8/5; 13/8; 8/5; 13/8; 87/50; 13/8; 13/8; 13/8; 8/5; 17/10; 31/20; 8/5; 8/5; 8/5; 8/5; 17/10; 23/15; 13/8; 8/5; 8/5; 13/8; 13/8
Draw; 12/5; 12/5; 11/5; 12/5; 129/0; 9/4; 23/10; 23/10; 11/5; 9/4; 21/10; 11/5; 23/10; 11/5; 40/17; 23/10; 28/11; 23/10; 47/20; 40/17; 23/10; 12/5
META; english/non-league/national-league/maidstone-v-macclesfield; 2018-03-18 14:19:47 GMT+2; 2018-03-21 19:45; e70300-dr003
Macclesfield; 29/20; 6/4; 161/100; 17/11; 6/4; 6/4; 6/4; 7/5; 16/11; 6/4; 17/11; 31/20; 6/4; 6/4; 11/8; 7/5
Maidstone; 7/4; 19/10; 19/10; 10/7; 17/10; 31/20; 7/4; 17/10; 28/17; 6/4; 10/7; 7/4; 9/5; 28/17; 13/8; 17/10
Draw; 12/5; 11/5; 59/25; 5/2; 11/5; 21/10; 9/4; 21/10; 9/4; 12/5; 5/2; 23/10; 11/5; 9/4; 19/10; 19/10
META; english/non-league/national-league/maidstone-v-macclesfield; 2018-03-19 08:18:38 GMT+2; 2018-03-21 19:45; e70300-dr003
Macclesfield; 29/20; 6/4; 79/50; 10/7; 6/4; 7/5; 7/5; 7/5; 16/11; 6/4; 11/8; 10/7; 6/4; 6/4; 6/4; 7/5; 11/8; 6/4
Maidstone; 7/4; 19/10; 97/50; 17/10; 9/5; 17/10; 17/10; 7/4; 9/5; 6/4; 28/17; 17/10; 9/5; 9/5; 9/5; 7/4; 13/8; 19/10
Draw; 12/5; 11/5; 59/25; 9/4; 21/10; 21/10; 2; 21/10; 11/5; 12/5; 23/10; 9/4; 23/10; 11/5; 11/5; 19/10; 19/10; 23/10
META; english/non-league/national-league/maidstone-v-macclesfield; 2018-03-20 08:19:38 GMT+2; 2018-03-21 19:45; e70300-dr003
Macclesfield; 29/20; 6/4; 29/20; 31/20; 7/5; 10/7; 6/4; 7/5; 29/20; 13/10; 7/5; 16/11; 6/4; 13/9; 10/7; 6/4; 29/20; 16/11; 7/5; 6/4; 6/4
Maidstone; 7/4; 9/5; 9/5; 19/10; 7/4; 17/10; 7/4; 17/10; 7/4; 17/10; 17/10; 7/4; 6/4; 9/5; 17/10; 7/4; 9/5; 9/5; 7/4; 9/5; 15/8
Draw; 12/5; 23/10; 21/10; 123/50; 9/4; 9/4; 11/5; 21/10; 43/20; 11/5; 21/10; 11/5; 12/5; 40/17; 9/4; 12/5; 9/4; 9/4; 21/10; 11/5; 12/5
META; english/non-league/national-league/maidstone-v-macclesfield; 2018-03-21 14:20:11 GMT+2; 2018-03-21 19:45; e70300-dr003
Macclesfield; 7/5; 6/4; 29/20; 29/20; 39/25; 29/20; 6/4; 10/7; 29/20; 29/20; 7/5; 29/20; 7/5; 7/5; 7/5; 6/4; 22/15; 10/7; 29/20; 29/20; 16/11; 7/5; 6/4; 6/4
Maidstone; 9/5; 9/5; 17/10; 17/10; 189/00; 17/10; 7/4; 17/10; 17/10; 7/4; 7/4; 7/4; 13/8; 7/4; 9/5; 6/4; 22/13; 17/10; 9/5; 9/5; 9/5; 15/8; 15/8; 19/10
Draw; 12/5; 23/10; 11/5; 11/5; 123/0; 11/5; 23/10; 9/4; 11/5; 9/4; 2; 43/20; 21/10; 21/10; 23/10; 12/5; 12/5; 9/4; 12/5; 23/10; 23/10; 23/10; 12/5; 12/5
