META; english/non-league/national-league/torquay-v-ebbsfleet-united; 2018-04-23 10:19:40 GMT+3; 2018-04-28 12:30; e70300-dr003
Ebbsfleet United; 1; 9/10; 20/21; 1; 19/20; 20/21; 19/20; 19/20; 1; 20/21; 19/20; 8/13; 6/5
Draw; 5/2; 23/10; 12/5; 12/5; 23/10; 9/4; 23/10; 40/17; 12/5; 5/2; 12/5; 6/4; 21/10
Torquay; 13/5; 11/4; 13/5; 12/5; 11/4; 5/2; 5/2; 27/11; 12/5; 14/5; 27/11; 13/8; 21/10
META; english/non-league/national-league/torquay-v-ebbsfleet-united; 2018-04-24 08:19:44 GMT+3; 2018-04-28 12:30; e70300-dr003
Ebbsfleet United; 1; 9/10; 20/21; 1; 20/21; 20/21; 19/20; 19/20; 19/20; 1; 20/21; 19/20; 4/6; 8/11
Draw; 5/2; 23/10; 12/5; 12/5; 12/5; 9/4; 23/10; 40/17; 12/5; 12/5; 5/2; 12/5; 23/10; 19/10
Torquay; 13/5; 13/5; 5/2; 12/5; 13/5; 5/2; 5/2; 27/11; 5/2; 12/5; 11/4; 27/11; 19/10; 11/8
META; english/non-league/national-league/torquay-v-ebbsfleet-united; 2018-04-25 08:18:54 GMT+3; 2018-04-28 12:30; e70300-dr003
Ebbsfleet United; 1; 9/10; 20/21; 1; 20/21; 20/21; 19/20; 1; 19/20; 1; 20/21; 1; 8/11; 8/11
Draw; 5/2; 23/10; 12/5; 12/5; 12/5; 9/4; 23/10; 12/5; 12/5; 12/5; 5/2; 27/11; 13/8; 4/11
Torquay; 13/5; 13/5; 5/2; 12/5; 13/5; 5/2; 5/2; 5/2; 5/2; 12/5; 11/4; 5/2; 11/5; 4/11
META; english/non-league/national-league/torquay-v-ebbsfleet-united; 2018-04-25 12:19:37 GMT+3; 2018-04-28 12:30; e70300-dr003
Ebbsfleet United; 1; 9/10; 20/21; 1; 20/21; 20/21; 19/20; 19/20; 19/20; 1; 20/21; 1; 8/11; 8/11
Draw; 5/2; 23/10; 12/5; 12/5; 12/5; 9/4; 23/10; 12/5; 12/5; 12/5; 5/2; 27/11; 23/10; 4/9
Torquay; 13/5; 13/5; 5/2; 12/5; 13/5; 5/2; 5/2; 5/2; 5/2; 12/5; 11/4; 5/2; 11/5; 4/9
META; english/non-league/national-league/torquay-v-ebbsfleet-united; 2018-04-26 12:19:32 GMT+3; 2018-04-28 12:30; e70300-dr003
Ebbsfleet United; 19/20; 21/20; 19/20; 24/25; 9/10; 1; 20/21; 10/11; 19/20; 10/11; 10/11; 1; 19/20; 21/20; 1; 1; 5/6; 5/6; 10/11; ; 
Draw; 5/2; 12/5; 9/4; 53/20; 23/10; 12/5; 12/5; 12/5; 11/5; 9/4; 23/10; 23/10; 12/5; 12/5; 40/17; 12/5; 12/5; 27/11; 12/5; 19/10; 13/5
Torquay; 14/5; 13/5; 11/4; 72/25; 13/5; 13/5; 12/5; 13/5; 13/5; 27/10; 12/5; 13/5; 13/5; 5/2; 11/5; 12/5; 11/4; 45/17; 12/5; 21/10; 11/4
META; english/non-league/national-league/torquay-v-ebbsfleet-united; 2018-04-27 08:18:24 GMT+3; 2018-04-28 12:30; e70300-dr003
Ebbsfleet United; 17/20; 10/11; 10/11; 19/20; 23/25; 17/20; 9/10; 1; 10/11; 10/11; 20/23; 9/10; 17/20; 17/20; 10/11; 19/20; 10/11; 1; 20/23; 10/11; 5/6; 5/6; 9/10
Draw; 13/5; 5/2; 23/10; 9/4; 131/0; 23/10; 12/5; 12/5; 23/10; 23/10; 23/10; 23/10; 23/10; 23/10; 5/2; 12/5; 5/2; 12/5; 13/5; 5/2; 9/4; 12/5; 5/2
Torquay; 3; 29/10; 11/4; 3; 29/10; 12/5; 29/10; 29/10; 11/4; 14/5; 13/5; 14/5; 11/4; 5/2; 37/13; 12/5; 31/10; 11/4; 3; 11/4; 3; ; 
META; english/non-league/national-league/torquay-v-ebbsfleet-united; 2018-04-28 12:21:36 GMT+3; 2018-04-28 12:30; e70300-dr003
Ebbsfleet United; 4/6; 8/11; 8/11; 3/4; 3/4; 7/10; 8/11; 13/18; 8/11; 8/11; 7/10; 3/4; 7/10; 7/10; 5/7; 13/18; 10/13; 13/18; 8/11; 14/19; 4/6; 8/11; 8/11; 8/11
Draw; 14/5; 13/5; 5/2; 13/5; 57/20; 5/2; 11/4; 45/17; 5/2; 13/5; 12/5; 12/5; 5/2; 5/2; 11/4; 13/5; 45/17; 45/17; 27/10; 11/4; 5/2; 5/2; 27/10; 27/10
Torquay; 4; 19/5; 7/2; 15/4; 15/4; 18/5; 7/2; 33/10; 7/2; 18/5; 10/3; 17/5; 3; 7/2; 17/5; 13/4; 33/10; 33/10; 15/4; 17/5; 15/4; 7/2; 7/2; 4
