META; english/non-league/national-league/ebbsfleet-united-v-bromley; 2017-12-26 12:51:00 GMT+2; 2017-12-26 15:00; e70300-dr003
Ebbsfleet United; 10/11; 10/11; 19/20; 10/11; 101/ 100; 10/11; 20/21; ; 1; 19/20; 19/20; 10/11; ; 19/20; 1; 10/11; 11/13; 19/20; 11/13; 39/40; 1; 10/11; 19/20; 10/11; 19/20; ; 1; 20/21; 
Draw; 12/5; 12/5; 23/10; 23/10; 53/20; 23/10; 5/2; ; 12/5; 23/10; 12/5; 9/4; ; 23/10; 12/5; 23/10; 9/4; 5/2; 9/4; 13/5; 12/5; 5/2; 5/2; 5/2; 5/2; ; 5/2; 5/2; 
Bromley; 3; 14/5; 27/10; 11/4; 147/ 50; 27/10; 11/4; ; 12/5; 27/10; 13/5; 13/5; ; 13/5; 13/5; 13/5; 14/5; 27/10; 14/5; 5/2; 12/5; 11/4; 29/10; 14/5; 11/4; ; 14/5; 14/5; 
