META; english/non-league/national-league/guiseley-v-woking; 2018-04-19 08:19:48 GMT+3; 2018-04-21 15:00; e70300-dr003
Woking; 4/5; 5/6; 5/6; 43/50; 3/4; 5/6; 4/5; 4/5; 4/5; 5/6; 3/4; 4/5; 4/5; 11/13; 9/11; 4/5; 5/6; 4/5; 4/7; 5/6
Draw; 14/5; 5/2; 12/5; 68/25; 13/5; 13/5; 45/17; 13/5; 12/5; 49/20; 5/2; 5/2; 45/17; 5/2; 5/2; 45/17; 27/10; 45/17; 12/5; 27/10
Guiseley; 31/10; 3; 13/4; 29/10; 3; 29/10; 3; 3; 14/5; 14/5; 31/10; 14/5; 11/4; 29/10; 31/10; 41/13; 13/5; 3; ; 
META; english/non-league/national-league/guiseley-v-woking; 2018-04-20 10:29:08 GMT+3; 2018-04-21 15:00; e70300-dr003
Woking; 4/5; 5/6; 5/6; 43/50; 3/4; 5/6; 4/5; 5/6; 4/5; 4/5; 5/6; 4/5; 4/5; 4/5; 11/13; 9/11; 4/5; 5/6; 4/5; 4/6; 8/11; 5/6
Draw; 14/5; 5/2; 12/5; 68/25; 13/5; 13/5; 45/17; 5/2; 13/5; 12/5; 49/20; 23/10; 5/2; 45/17; 5/2; 5/2; 45/17; 27/10; 45/17; 12/5; 21/10; 27/10
Guiseley; 31/10; 3; 29/10; 3; 13/4; 29/10; 3; 29/10; 29/10; 3; 3; 14/5; 14/5; 31/10; 14/5; 11/4; 29/10; 31/10; 41/13; 13/5; 13/5; 3
META; english/non-league/national-league/guiseley-v-woking; 2018-04-21 14:21:24 GMT+3; 2018-04-21 15:00; e70300-dr003
Woking; 17/20; 17/20; 5/6; 9/10; 4/5; 20/23; 4/5; 20/23; 5/6; 17/20; 4/5; 5/6; 13/15; 11/13; 8/9; 4/5; 20/23; 13/15; 5/6; 10/11; 20/21; 20/21; ; 
Draw; 14/5; 5/2; 12/5; 11/4; 66/25; 5/2; 13/5; 45/17; 12/5; 5/2; 11/5; 12/5; 23/10; 12/5; 28/11; 5/2; 28/11; 45/17; 13/5; 28/11; 13/5; 5/2; 13/5; 13/5
Guiseley; 14/5; 29/10; 29/10; 3; 63/20; 3; 29/10; 29/10; 29/10; 29/10; 3; 29/10; 14/5; 14/5; 56/19; 14/5; 37/13; 29/10; 31/10; 56/19; 3; 14/5; 3; 
