META; english/non-league/national-league/afc-fylde-v-dover; 2018-02-19 16:22:13 GMT+2; 2018-02-24 15:00; e70300-dr003
AFC Fylde; 10/11; ; ; ; ; ; 20/23; ; ; ; 17/20; 20/23; ; 17/20; ; 17/20; ; 11/13; ; ; ; 20/23; 10/11; ; ; ; ; 
Draw; 13/5; ; ; ; ; ; 5/2; ; ; ; 5/2; 23/10; ; 47/20; ; 12/5; ; 5/2; ; ; ; 13/5; 13/5; ; ; ; ; 
Dover; 11/4; ; ; ; ; ; 11/4; ; ; ; 3; 13/5; ; 29/10; ; 13/5; ; 14/5; ; ; ; 3; 11/4; ; ; ; ; 
META; english/non-league/national-league/afc-fylde-v-dover; 2018-02-20 12:21:08 GMT+2; 2018-02-24 15:00; e70300-dr003
AFC Fylde; 10/11; 19/20; ; ; ; ; 20/23; ; 9/10; ; 10/11; 20/23; ; 9/10; ; 17/20; 13/15; 11/13; ; 9/10; ; 9/10; 10/11; 13/15; ; 5/6; ; 
Draw; 13/5; 5/2; ; ; ; ; 5/2; ; 5/2; ; 12/5; 23/10; ; 47/20; ; 12/5; 27/11; 5/2; ; 5/2; ; 13/5; 13/5; 5/2; ; 9/5; ; 
Dover; 11/4; 11/4; ; ; ; ; 11/4; ; 45/17; ; 29/10; 13/5; ; 29/10; ; 13/5; 45/17; 14/5; ; 45/17; ; 29/10; 11/4; 45/17; ; 19/10; ; 
META; english/non-league/national-league/afc-fylde-v-dover; 2018-02-24 12:19:14 GMT+2; 2018-02-24 15:00; e70300-dr003
AFC Fylde; 10/11; 19/20; 19/20; 19/20; 1; ; 10/11; ; 9/10; 19/20; 10/11; 20/21; ; 9/10; 10/11; 10/11; 19/20; 11/13; 1; 9/10; ; 20/21; 19/20; ; ; 20/21; 20/21; 
Draw; 11/4; 13/5; 12/5; 12/5; 11/4; ; ; ; 5/2; 12/5; 5/2; 5/2; ; 23/10; 5/2; 12/5; 28/11; 5/2; 45/17; 5/2; ; 13/5; 13/5; 13/5; ; 12/5; 5/2; 
Dover; 14/5; 11/4; 5/2; 3; 143/50; ; 11/4; ; 45/17; 5/2; 11/4; 13/5; ; 29/10; 14/5; 13/5; 13/5; 14/5; 12/5; 45/17; ; 27/10; 53/20; 45/17; ; 11/4; 11/4; 
