META; english/non-league/national-league/hartlepool-v-chester; 2017-08-15 20:21:39 GMT+3; 2017-08-15 19:45; e70300-dr003
Hartlepool; 11/20; 8/15; 11/20; 4/7; 8/15; 13/20; 8/15; 4/7; 1/2; ; 8/15; 8/15; 11/20; 8/15; 4/7; 8/15; 6/11; 1/2; 8/15; 14/25; 8/15; 1/2; ; 8/15; 8/15; ; 4/7; 4/7; 
Draw; 3; 29/10; 14/5; 14/5; 14/5; 13/5; 3; 11/4; 56/19; 14/5; 14/5; 13/5; 3; 3; 14/5; 14/5; 29/10; 56/19; 29/10; 13/4; 58/19; 56/19; ; 3; 3; ; 3; 14/5; 
Chester; 5; 5; 19/4; 9/2; 5; 16/5; 21/4; 4; 5; 19/4; 5; 9/2; 5; 11/2; 19/4; 9/2; 15/4; 5; 49/10; 57/10; 47/10; 5; ; 19/4; 5; ; 5; 23/5; 
