META; english/non-league/national-league/barrow-v-afc-fylde; 2018-04-03 18:20:56 GMT+3; 2018-04-03 19:45; e70300-dr003
AFC Fylde; 11/10; 11/10; 11/10; 21/20; 6/5; 21/20; 8/7; 11/10; 11/10; 11/10; 23/20; 21/20; 11/10; 15/13; 10/9; 8/7; 11/10; 11/10; 15/13; 10/9; 21/20; 23/20
Draw; 5/2; 12/5; 9/4; 11/5; 62/25; 23/10; 28/13; 9/4; 21/10; 9/4; 12/5; 9/4; 23/10; 23/10; 40/17; 28/13; 5/2; 47/20; 23/10; 23/10; 21/10; 12/5
Barrow; 23/10; 9/4; 23/10; 12/5; 63/25; 23/10; 23/10; 23/10; 9/4; 23/10; 5/2; 9/4; 23/10; 21/10; 40/17; 23/10; 12/5; 47/20; 40/17; 23/10; 21/10; 5/2
