META; english/non-league/national-league/macclesfield-v-dagenham-redbridge; 2018-04-23 10:19:25 GMT+3; 2018-04-28 12:30; e70300-dr003
Macclesfield; 8/11; 4/6; 4/6; 7/10; 4/6; 4/6; 4/6; 9/13; 7/10; 7/10; 9/13; 1/2; 8/11
Draw; 13/5; 5/2; 13/5; 5/2; 13/5; 13/5; 5/2; 5/2; 5/2; 13/5; 5/2; 13/8; 11/4
Dagenham & Redbridge; 15/4; 18/5; 15/4; 18/5; 19/5; 7/2; 15/4; 18/5; 18/5; 21/5; 62/17; 14/5; 11/4
META; english/non-league/national-league/macclesfield-v-dagenham-redbridge; 2018-04-24 08:19:28 GMT+3; 2018-04-28 12:30; e70300-dr003
Macclesfield; 8/11; 8/13; 4/6; 7/10; 4/6; 4/6; 7/10; 9/13; 7/10; 7/10; 7/10; 9/13; 8/15; 8/15
Draw; 13/5; 13/5; 13/5; 5/2; 11/4; 12/5; 5/2; 5/2; 5/2; 5/2; 11/4; 5/2; 23/10; 4/7
Dagenham & Redbridge; 15/4; 7/2; 15/4; 18/5; 18/5; 7/2; 7/2; 18/5; 18/5; 18/5; 19/5; 62/17; 4/7; 
META; english/non-league/national-league/macclesfield-v-dagenham-redbridge; 2018-04-25 08:18:38 GMT+3; 2018-04-28 12:30; e70300-dr003
Macclesfield; 8/11; 8/13; 4/6; 7/10; 4/6; 4/6; 4/6; 9/13; 7/10; 7/10; 7/10; 5/7; 4/7; 4/7
Draw; 13/5; 13/5; 5/2; 5/2; 13/5; 12/5; 5/2; 28/11; 5/2; 5/2; 13/5; 28/11; 9/5; 1/4
Dagenham & Redbridge; 15/4; 15/4; 15/4; 18/5; 19/5; 7/2; 15/4; 62/17; 18/5; 18/5; 21/5; 37/10; 10/3; 3/10
META; english/non-league/national-league/macclesfield-v-dagenham-redbridge; 2018-04-25 12:19:21 GMT+3; 2018-04-28 12:30; e70300-dr003
Macclesfield; 8/11; 8/13; 4/6; 7/10; 4/6; 4/6; 4/6; 9/13; 7/10; 7/10; 7/10; 5/7; 4/7; 4/7
Draw; 13/5; 13/5; 5/2; 5/2; 13/5; 12/5; 5/2; 28/11; 5/2; 5/2; 13/5; 28/11; 19/10; 3/10
Dagenham & Redbridge; 15/4; 15/4; 15/4; 18/5; 19/5; 7/2; 15/4; 62/17; 18/5; 18/5; 21/5; 37/10; 10/3; 4/11
META; english/non-league/national-league/macclesfield-v-dagenham-redbridge; 2018-04-26 12:19:16 GMT+3; 2018-04-28 12:30; e70300-dr003
Macclesfield; 7/10; 3/4; 8/11; 77/00; 4/6; 7/10; 7/10; 8/11; 8/11; 8/11; 4/5; 7/10; 14/19; 7/10; 10/13; 7/10; 8/11; 14/19; 4/7; 4/7; 8/11
Draw; 13/5; 11/4; 13/5; 143/0; 13/5; 13/5; 5/2; 13/5; 23/10; 5/2; 14/5; 5/2; 45/17; 5/2; 45/17; 5/2; 11/4; 27/10; 13/5; 23/10; 27/10
Dagenham & Redbridge; 4; 18/5; 10/3; 18/5; 10/3; 7/2; 18/5; 7/2; 10/3; 10/3; 7/2; 7/2; 17/5; 18/5; 37/13; 18/5; 18/5; 17/5; 7/2; 13/5; 10/3
META; english/non-league/national-league/macclesfield-v-dagenham-redbridge; 2018-04-27 08:18:09 GMT+3; 2018-04-28 12:30; e70300-dr003
Macclesfield; 7/10; 3/4; 8/11; 8/11; 19/25; 4/6; 8/11; 7/10; 8/11; 8/11; 8/11; 8/11; 4/5; 8/11; 14/19; 7/10; 13/17; 7/10; 3/4; 14/19; 8/11; 4/7; 8/11
Draw; 13/5; 14/5; 13/5; 13/5; 71/25; 13/5; 13/5; 5/2; 13/5; 13/5; 23/10; 13/5; 14/5; 5/2; 45/17; 5/2; 27/10; 5/2; 14/5; 27/10; 13/5; 13/5; 27/10
Dagenham & Redbridge; 4; 7/2; 10/3; 10/3; 37/10; 10/3; 7/2; 18/5; 10/3; 7/2; 10/3; 7/2; 10/3; 7/2; 18/5; 33/10; 18/5; 7/2; 7/2; 10/3; 7/2; 10/3; 
META; english/non-league/national-league/macclesfield-v-dagenham-redbridge; 2018-04-28 12:21:19 GMT+3; 2018-04-28 12:30; e70300-dr003
Macclesfield; 8/11; 3/4; 8/11; 3/4; 39/50; 4/6; 8/11; 7/10; 8/11; 8/11; 8/11; 8/11; 4/5; 8/11; 5/7; 7/10; 13/17; 7/10; 3/4; 14/19; 8/11; 8/11; 4/6; 8/11
Draw; 13/5; 11/4; 13/5; 14/5; 14/5; 27/10; 11/4; 5/2; 13/5; 11/4; 12/5; 13/5; 14/5; 5/2; 27/10; 5/2; 27/10; 5/2; 14/5; 27/10; 13/5; 13/5; 12/5; 14/5
Dagenham & Redbridge; 4; 7/2; 10/3; 17/5; 18/5; 7/2; 7/2; 18/5; 10/3; 10/3; 16/5; 10/3; 7/2; 10/3; 38/11; 18/5; 33/10; 18/5; 7/2; 7/2; 10/3; 3; 7/2; 
