META; english/non-league/national-league/woking-v-macclesfield; 2018-03-26 12:21:48 GMT+3; 2018-03-30 15:00; e70300-dr003
Macclesfield; 11/10; 11/10; 6/5; 11/10; 11/10; 21/20; 11/10; 21/20; 21/20; 21/20; 11/10; 11/10; 11/10; 21/20; 8/11; 23/20
Woking; 12/5; 11/5; 5/2; 9/4; 9/4; 23/10; 9/4; 9/4; 9/4; 23/10; 9/4; 5/2; 47/20; 9/4; 9/5; 12/5
Draw; 12/5; 12/5; 5/2; 23/10; 40/17; 12/5; 21/10; 9/4; 23/10; 23/10; 40/17; 12/5; 12/5; 23/10; 9/4; 12/5
META; english/non-league/national-league/woking-v-macclesfield; 2018-03-27 08:21:33 GMT+3; 2018-03-30 15:00; e70300-dr003
Macclesfield; 19/20; 21/20; 21/20; 21/20; 57/50; 1; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 1; 21/20; 15/14; 11/10; 21/20; 21/20; 1; 10/9; ; ; 
Draw; 5/2; 12/5; 11/5; 12/5; 63/25; 11/5; 23/10; 40/17; 11/5; 23/10; 21/10; 11/5; 23/10; 9/4; 40/17; 23/10; 40/17; 40/17; 12/5; 47/20; 40/17; 9/4; 12/5
Woking; 14/5; 13/5; 12/5; 13/5; 53/20; 23/10; 12/5; 9/4; 12/5; 5/2; 12/5; 12/5; 12/5; 12/5; 12/5; 23/10; 28/13; 9/4; 13/5; 13/5; 27/11; 5/2; 13/5
META; english/non-league/national-league/woking-v-macclesfield; 2018-03-28 08:22:14 GMT+3; 2018-03-30 15:00; e70300-dr003
Macclesfield; 19/20; 21/20; 21/20; 21/20; 113/100; 19/20; 21/20; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 1; 21/20; 21/20; 15/14; 11/10; 21/20; 21/20; 21/20; 1; 10/9
Draw; 5/2; 12/5; 11/5; 12/5; 63/25; 23/10; 23/10; 40/17; 11/5; 9/4; 21/10; 9/4; 5/2; 9/4; 40/17; 23/10; 27/11; 40/17; 12/5; 47/20; 12/5; 9/4; 12/5
Woking; 14/5; 13/5; 5/2; 13/5; 67/25; 12/5; 5/2; 9/4; 5/2; 5/2; 12/5; 12/5; 13/5; 12/5; 27/11; 23/10; 40/17; 9/4; 13/5; 13/5; 5/2; 12/5; 13/5
META; english/non-league/national-league/woking-v-macclesfield; 2018-03-29 08:21:57 GMT+3; 2018-03-30 15:00; e70300-dr003
Macclesfield; 19/20; 21/20; 21/20; 21/20; 113/100; 19/20; 21/20; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 1; 21/20; 21/20; 11/10; 11/10; 21/20; 21/20; 21/20; 1
Draw; 5/2; 12/5; 11/5; 12/5; 63/25; 23/10; 23/10; 40/17; 11/5; 9/4; 21/10; 9/4; 5/2; 9/4; 40/17; 23/10; 12/5; 40/17; 12/5; 47/20; 12/5; 9/4
Woking; 14/5; 13/5; 5/2; 13/5; 67/25; 12/5; 5/2; 9/4; 5/2; 5/2; 12/5; 12/5; 13/5; 12/5; 27/11; 23/10; 40/17; 9/4; 13/5; 13/5; 5/2; 12/5
