META; english/non-league/national-league/bromley-v-ebbsfleet-united; 2017-12-31 12:18:28 GMT+2; 2018-01-01 19:45; e70300-dr003
Bromley; 5/4; 13/10; 13/10; 5/4; 147/ 100; 5/4; 5/4; ; 16/13; 13/10; 13/10; 5/4; ; 5/4; 13/10; 5/4; 5/4; 13/10; 5/4; 14/11; 16/13; 13/10; 13/10; 5/4; 13/10; ; 5/4; 6/5; 
Ebbsfleet United; 21/10; 21/10; 2; 11/5; 85/40; 19/10; 2; ; 39/19; 2; 2; 2; ; 41/20; 2; 2; 9/5; 37/19; 9/5; 2; 39/19; 2; 21/10; 21/10; 2; ; 19/10; 2; 
Draw; 12/5; 23/10; 11/5; 23/10; 58/25; 11/5; 9/4; ; 9/4; 11/5; 11/5; 2; ; 43/20; 23/10; 21/10; 11/5; 23/10; 11/5; 40/17; 9/4; 23/10; 23/10; 9/4; 23/10; ; 23/10; 2; 
