META; english/non-league/national-league/wrexham-v-aldershot; 2018-02-19 16:22:33 GMT+2; 2018-02-24 15:00; e70300-dr003
Wrexham; 11/8; ; ; ; ; ; 11/8; ; ; ; 7/5; 13/10; ; 11/8; ; 13/10; ; 23/17; ; ; 7/5; 11/8; 11/8; ; ; ; ; 
Aldershot; 15/8; ; ; ; ; ; 9/5; ; ; ; 15/8; 7/4; ; 19/10; ; 7/4; ; 24/13; ; ; 15/8; 19/10; 37/20; ; ; ; ; 
Draw; 12/5; ; ; ; ; ; 9/4; ; ; ; 9/4; 9/4; ; 41/20; ; 9/4; ; 11/5; ; ; 12/5; 12/5; 47/20; ; ; ; ; 
META; english/non-league/national-league/wrexham-v-aldershot; 2018-02-20 12:21:29 GMT+2; 2018-02-24 15:00; e70300-dr003
Wrexham; 11/8; 11/8; ; 13/10; ; ; 11/8; ; 23/17; ; 7/5; 13/10; ; 11/8; ; 13/10; 13/10; 23/17; ; 23/17; 7/5; 11/8; 11/8; 13/10; ; 20/21; ; 
Aldershot; 15/8; 19/10; ; 9/5; ; ; 9/5; ; 9/5; ; 15/8; 7/4; ; 19/10; ; 9/5; 9/5; 24/13; ; 9/5; 15/8; 19/10; 37/20; 9/5; ; 13/10; ; 
Draw; 12/5; 23/10; ; 9/4; ; ; 9/4; ; 23/10; ; 9/4; 9/4; ; 41/20; ; 9/4; 9/4; 11/5; ; 23/10; 12/5; 12/5; 47/20; 23/10; ; 21/10; ; 
META; english/non-league/national-league/wrexham-v-aldershot; 2018-02-24 12:19:37 GMT+2; 2018-02-24 15:00; e70300-dr003
Wrexham; 13/10; 11/8; 23/17; 13/10; 73/50; ; 11/8; ; 23/18; 27/20; 13/10; 13/10; ; 13/10; 13/10; 13/10; 23/17; 5/4; 17/13; 23/18; 7/5; 11/8; 11/8; 23/17; ; 11/8; 7/5; 
Aldershot; 2; 9/4; 21/10; 11/5; 113/50; ; 21/10; ; 37/19; 21/10; 21/10; 21/10; ; 11/5; 11/5; 2; 39/19; 21/10; 21/10; 37/19; 11/5; 11/5; 11/5; 21/10; ; 23/10; 12/5; 
Draw; 12/5; 2; 19/10; 11/5; 11/5; ; 21/10; ; 9/4; 19/10; 21/10; 15/8; ; 39/20; 21/10; 2; 21/10; 21/10; 28/13; 9/4; 2; 21/10; 2; 28/13; ; 2; 2; 
