META; english/non-league/national-league/barrow-v-hartlepool; 2018-02-05 12:48:26 GMT+2; 2018-02-10 15:00; e70300-dr003
Barrow; 1; 1; 1; ; 26/25; ; ; ; 19/20; 1; 19/20; ; ; ; ; 19/20; 19/20; 1; 66/67; 19/20; 1; 20/21; 19/20; 19/20; ; ; ; 
Draw; 5/2; 12/5; 23/10; ; 67/25; ; ; ; 5/2; 23/10; 12/5; ; ; ; ; 23/10; 12/5; 12/5; 12/5; 5/2; 12/5; 5/2; 12/5; 27/11; ; ; ; 
Hartlepool; 13/5; 5/2; 13/5; ; 14/5; ; ; ; 12/5; 13/5; 13/5; ; ; ; ; 5/2; 12/5; 12/5; 23/10; 12/5; 11/4; 11/4; 11/4; 27/11; ; ; ; 
META; english/non-league/national-league/barrow-v-hartlepool; 2018-02-07 14:17:25 GMT+2; 2018-02-10 15:00; e70300-dr003
Barrow; 19/20; 10/11; 19/20; 10/11; 51/50; 9/10; 10/11; ; 9/10; 19/20; 19/20; 10/11; ; 19/20; 1; 10/11; 10/11; 1; 1; 9/10; 1; 19/20; 19/20; 10/11; ; 20/21; 9/10; 
Draw; 5/2; 5/2; 23/10; 23/10; 53/20; 12/5; 12/5; ; 28/11; 23/10; 23/10; 9/4; ; 23/10; 12/5; 23/10; 12/5; 12/5; 27/11; 28/11; 12/5; 5/2; 12/5; 12/5; ; 23/10; 23/10; 
Hartlepool; 11/4; 29/10; 13/5; 11/4; 29/10; 27/10; 13/5; ; 28/11; 13/5; 11/4; 13/5; ; 27/10; 13/5; 13/5; 13/5; 12/5; 28/11; 28/11; 11/4; 14/5; 11/4; 45/17; ; 27/10; 9/4; 
META; english/non-league/national-league/barrow-v-hartlepool; 2018-03-18 14:19:44 GMT+2; 2018-03-21 19:45; e70300-dr003
Barrow; 1; 21/20; 1; 21/20; 9/10; 1; 20/21; 20/21; 1; 19/20; 19/20; 10/11; 9/10; 1; 19/20; 19/20; 5/6; 1
Draw; 12/5; 12/5; 23/10; 62/25; 12/5; 23/10; 12/5; 11/5; 12/5; 9/4; 23/10; 12/5; 12/5; 12/5; 12/5; 40/17; 9/4; 21/10
Hartlepool; 11/4; 13/5; 13/5; 3; 27/10; 13/5; 13/5; 5/2; 13/5; 13/5; 13/5; 27/10; 27/10; 11/4; 27/10; 45/17; 13/5; 5/2
META; english/non-league/national-league/barrow-v-hartlepool; 2018-03-19 08:18:35 GMT+2; 2018-03-21 19:45; e70300-dr003
Barrow; 1; 21/20; 1; 103/100; 9/10; 1; 20/21; 10/11; 19/20; 19/20; 19/20; 10/11; 42/41; 9/10; 1; 19/20; 19/20; 10/11; 20/21; 1
Draw; 12/5; 12/5; 23/10; 64/25; 12/5; 23/10; 23/10; 11/5; 21/10; 9/4; 12/5; 12/5; 40/17; 12/5; 12/5; 12/5; 12/5; 23/10; 2; 5/2
Hartlepool; 11/4; 13/5; 13/5; 74/25; 27/10; 13/5; 11/4; 13/5; 5/2; 13/5; 11/4; 27/10; 9/4; 27/10; 11/4; 27/10; 11/4; 27/10; 23/10; 14/5
META; english/non-league/national-league/barrow-v-hartlepool; 2018-03-20 08:19:35 GMT+2; 2018-03-21 19:45; e70300-dr003
Barrow; 19/20; 10/11; 19/20; 1; 101/100; 20/21; 9/10; 19/20; 19/20; 10/11; 19/20; 17/20; 10/11; 19/20; 10/11; 68/67; 9/10; 19/20; 19/20; 19/20; 20/21; 20/21; 20/21
Draw; 5/2; 12/5; 9/4; 23/10; 63/25; 23/10; 12/5; 9/4; 23/10; 9/4; 9/4; 11/5; 9/4; 12/5; 23/10; 28/11; 12/5; 12/5; 12/5; 12/5; 9/4; 23/10; 5/2
Hartlepool; 11/4; 3; 11/4; 5/2; 31/10; 14/5; 27/10; 11/4; 11/4; 13/5; 27/10; 11/4; 13/5; 27/10; 11/4; 27/11; 27/10; 29/10; 14/5; 11/4; 14/5; 14/5; 3
META; english/non-league/national-league/barrow-v-hartlepool; 2018-03-21 14:20:08 GMT+2; 2018-03-21 19:45; e70300-dr003
Barrow; 10/11; 19/20; 19/20; 10/11; 103/00; 20/21; 9/10; 19/20; 10/11; 20/21; 19/20; 5/6; 10/11; 10/11; 10/11; 28/29; 9/10; 19/20; 19/20; 19/20; 20/21; 20/21; 1
Draw; 23/10; 12/5; 9/4; 23/10; 12/5; 23/10; 12/5; 9/4; 23/10; 5/2; 11/5; 11/5; 11/5; 23/10; 23/10; 40/17; 12/5; 12/5; 47/20; 23/10; 12/5; 12/5; 12/5
Hartlepool; 16/5; 3; 14/5; 14/5; 16/5; 3; 11/4; 14/5; 29/10; 14/5; 14/5; 14/5; 14/5; 3; 11/4; 11/4; 11/4; 3; 59/20; 3; 3; ; 
