META; english/non-league/national-league/eastleigh-v-macclesfield; 2018-04-19 08:19:23 GMT+3; 2018-04-21 12:30; e70300-dr003
Macclesfield; 1; 1; 107/100; 19/20; 1; 19/20; 20/21; 20/21; 1; 21/20; 19/20; 1; 21/20; 1; 19/20; 1; 19/20; 1/100; 1; ; 
Draw; 5/2; 12/5; 23/10; 13/5; 23/10; 12/5; 23/10; 12/5; 12/5; 23/10; 5/2; 23/10; 27/11; 23/10; 12/5; 23/10; 5/2; 27/11; 12/5; 2/9; 5/2
Eastleigh; 13/5; 5/2; 5/2; 139/50; 5/2; 5/2; 45/17; 13/5; 23/10; 49/20; 11/4; 5/2; 13/5; 23/10; 9/4; 45/17; 13/5; 45/17; 5/2; 1/100; 27/10
META; english/non-league/national-league/eastleigh-v-macclesfield; 2018-04-20 10:28:43 GMT+3; 2018-04-21 12:30; e70300-dr003
Macclesfield; 1; 1; 107/00; 19/20; 1; 19/20; 1; 1; 21/20; 1; 21/20; 1; 19/20; 1; 1; 20/21; 10/11; 1; ; ; ; ; 
Draw; 5/2; 12/5; 23/10; 131/0; 12/5; 12/5; 23/10; 23/10; 12/5; 9/4; 47/20; 11/4; 23/10; 27/11; 23/10; 12/5; 23/10; 5/2; 27/11; 12/5; 23/10; 2; 5/2
Eastleigh; 13/5; 5/2; 5/2; 69/25; 5/2; 5/2; 45/17; 12/5; 5/2; 12/5; 49/20; 5/2; 12/5; 28/11; 23/10; 9/4; 45/17; 13/5; 28/11; 13/5; 5/2; 19/10; 27/10
META; english/non-league/national-league/eastleigh-v-macclesfield; 2018-04-21 14:20:56 GMT+3; 2018-04-21 12:30; e70300-dr003
Macclesfield; 3/4; 17/20; 4/5; 17/20; 41/50; 3/4; 4/5; 9/11; 4/5; 4/5; 3/4; 3/4; 5/6; 4/5; 10/13; 5/6; 10/13; 9/11; 3/4; 10/13; 4/5; 8/11; 8/11; 4/5
Draw; 11/4; 5/2; 11/4; 149/0; 13/5; 13/5; 45/17; 13/5; 13/5; 12/5; 13/5; 14/5; 5/2; 11/4; 5/2; 14/5; 45/17; 14/5; 14/5; 11/4; 27/10; 13/5; 13/5; 
Eastleigh; 10/3; 3; 16/5; 3; 69/20; 31/10; 16/5; 14/5; 3; 16/5; 3; 16/5; 100/0; 14/5; 31/10; 29/10; 41/13; 14/5; 17/5; 41/13; 10/3; 7/2; 7/2; 7/2
