META; english/non-league/national-league/barrow-v-sutton-utd; 2018-02-12 20:52:19 GMT+2; 2018-02-13 19:45; e70300-dr003
Sutton Utd; 5/4; 13/10; 23/17; 13/10; 139/100; 6/5; ; ; 16/13; 27/20; 13/10; 13/10; ; 13/10; 13/10; 5/4; 23/17; 6/5; 4/3; 16/13; 7/5; 11/8; 27/20; 23/17; ; 27/20; 13/10; 
Barrow; 11/5; 2; 19/10; 11/5; 54/25; 2; ; ; 37/19; 19/10; 2; 19/10; ; 39/20; 2; 2; 37/19; 24/13; 24/13; 37/19; 2; 2; 2; 2; ; 19/10; 19/10; 
Draw; 9/4; 23/10; 21/10; 11/5; 61/25; 11/5; ; ; 23/10; 21/10; 11/5; 2; ; 21/10; 23/10; 21/10; 11/5; 5/2; 27/11; 23/10; 9/4; 23/10; 11/5; 9/4; ; 11/5; 19/10; 
