META; english/non-league/national-league/solihull-moors-v-barrow; 2017-08-15 20:21:44 GMT+3; 2017-08-15 19:45; e70300-dr003
Barrow; 3/4; 4/5; 5/6; 10/11; 5/6; 17/20; 5/6; 10/11; 11/13; 5/6; 4/5; 4/5; 5/6; 5/6; 17/20; 4/5; 13/15; 11/13; 13/15; 17/20; 16/19; 11/13; ; 5/6; 5/6; ; 5/6; 5/6; 
Draw; 11/4; 13/5; 13/5; 13/5; 5/2; 13/5; 27/10; 5/2; 13/5; 5/2; 5/2; 5/2; 53/20; 27/10; 13/5; 13/5; 5/2; 13/5; 13/5; 72/25; 27/10; 13/5; ; 11/4; 11/4; ; 27/10; 27/10; 
Solihull Moors; 29/10; 3; 29/10; 13/5; 3; 23/10; 16/5; 13/5; 27/10; 29/10; 29/10; 11/4; 3; 3; 3; 29/10; 5/2; 27/10; 29/10; 17/5; 29/10; 27/10; ; 3; 3; ; 3; 3; 
