META; english/non-league/national-league/sutton-utd-v-solihull-moors; 2018-03-05 20:21:08 GMT+2; 2018-03-10 15:00; e70300-dr003
Sutton Utd; 8/13; 4/7; 8/15; 4/7; 3/5; 4/7; 8/13; 8/13; 4/7; 3/5; 3/5; 4/7; 3/5; 10/17; 1/10
Draw; 11/4; 16/5; 29/10; 11/4; 45/17; 29/10; 11/4; 14/5; 45/17; 27/10; 45/17; 31/10; 11/4; 27/10; 2/9
Solihull Moors; 9/2; 7/2; 4; 9/2; 21/5; 21/5; 7/2; 15/4; 17/4; 17/4; 21/5; 9/2; 19/4; 43/10; 1/10
META; english/non-league/national-league/sutton-utd-v-solihull-moors; 2018-03-06 15:07:20 GMT+2; 2018-03-10 15:00; e70300-dr003
Sutton Utd; 8/13; 4/7; 17/25; 8/15; 4/7; 3/5; 4/7; 4/7; 4/7; 4/7; 3/5; 3/5; 3/5; 10/17; 1/100
Draw; 11/4; 16/5; 73/25; 29/10; 14/5; 45/17; 29/10; 11/4; 11/4; 27/10; 27/10; 45/17; 11/4; 27/10; 1/3
Solihull Moors; 9/2; 7/2; 47/10; 4; 17/4; 21/5; 21/5; 4; 21/5; 17/4; 21/5; 19/4; 17/4; 1/3; 
META; english/non-league/national-league/sutton-utd-v-solihull-moors; 2018-03-08 10:17:58 GMT+2; 2018-03-10 15:00; e70300-dr003
Sutton Utd; 8/13; 4/6; 8/13; 4/7; 69/100; 4/7; 3/5; 3/5; 8/13; 8/13; 8/13; 13/20; 4/6; 8/13; 11/18; 3/5; 8/13; 3/5; 8/13; 13/20; 8/13; 1/2; 4/6
Draw; 11/4; 14/5; 13/5; 16/5; 74/25; 11/4; 14/5; 45/17; 13/5; 11/4; 5/2; 13/5; 13/5; 13/5; 11/4; 27/10; 37/13; 45/17; 29/10; 14/5; 14/5; 12/5; 14/5
Solihull Moors; 9/2; 4; 7/2; 9/2; 4; 17/4; 21/5; 4; 21/5; 15/4; 4; 17/4; 15/4; 17/4; 17/4; 38/11; 21/5; 22/5; 4; 43/10; 10/3; 9/2; 
META; english/non-league/national-league/sutton-utd-v-solihull-moors; 2018-03-08 12:21:32 GMT+2; 2018-03-10 15:00; e70300-dr003
Sutton Utd; 8/13; 4/6; 8/13; 4/7; 69/00; 4/7; 3/5; 3/5; 8/13; 8/13; 8/13; 13/20; 4/6; 8/13; 8/13; 3/5; 8/13; 3/5; 8/13; 13/20; 8/13; 1/2; 4/7; 4/6
Draw; 11/4; 14/5; 13/5; 16/5; 74/25; 11/4; 14/5; 45/17; 13/5; 11/4; 5/2; 13/5; 13/5; 13/5; 11/4; 27/10; 37/13; 45/17; 29/10; 14/5; 14/5; 12/5; 5/2; 14/5
Solihull Moors; 9/2; 4; 7/2; 9/2; 4; 17/4; 21/5; 4; 21/5; 15/4; 4; 17/4; 15/4; 17/4; 17/4; 38/11; 21/5; 22/5; 4; 17/4; 7/2; 10/3; 9/2; 
META; english/non-league/national-league/sutton-utd-v-solihull-moors; 2018-03-09 12:20:42 GMT+2; 2018-03-10 15:00; e70300-dr003
Sutton Utd; 8/13; 4/6; 8/13; 4/7; 69/100; 4/7; 3/5; 3/5; 8/13; 8/13; 8/13; 13/20; 4/6; 8/13; 8/13; 3/5; 11/17; 3/5; 13/20; 13/20; 4/7; 4/7; 4/6
Draw; 11/4; 14/5; 13/5; 16/5; 74/25; 11/4; 14/5; 45/17; 13/5; 11/4; 12/5; 13/5; 13/5; 13/5; 11/4; 27/10; 56/19; 45/17; 14/5; 14/5; 5/2; 5/2; 14/5
Solihull Moors; 9/2; 4; 7/2; 9/2; 4; 17/4; 21/5; 4; 4; 17/4; 15/4; 17/4; 17/4; 15/4; 21/5; 17/4; 4; 7/2; 4; 9/2; ; ; 
META; english/non-league/national-league/sutton-utd-v-solihull-moors; 2018-03-10 12:21:20 GMT+2; 2018-03-10 15:00; e70300-dr003
Sutton Utd; 8/13; 8/13; 8/13; 4/6; 69/00; 4/7; 8/13; 8/13; 8/13; 8/13; 6/10; 13/20; 4/6; 8/13; 8/13; 3/5; 11/17; 8/13; 8/13; 13/20; 8/13; 4/6; 4/6; 4/6
Draw; 11/4; 14/5; 13/5; 13/5; 73/25; 27/10; 11/4; 13/5; 13/5; 11/4; 5/2; 13/5; 13/5; 13/5; 11/4; 27/10; 56/19; 13/5; 29/10; 11/4; 14/5; 11/4; 13/5; 14/5
Solihull Moors; 9/2; 17/4; 4; 9/2; 23/5; 4; 9/2; 21/5; 4; 21/5; 4; 17/4; 4; 17/4; 17/4; 15/4; 21/5; 22/5; 4; 17/4; 21/5; 21/5; 24/5; 
