META; english/non-league/national-league/afc-fylde-v-aldershot; 2018-03-05 20:20:42 GMT+2; 2018-03-10 15:00; e70300-dr003
AFC Fylde; 23/20; 11/10; 21/20; 11/10; 11/10; 23/20; 11/10; 11/10; 21/20; 11/10; 11/10; 23/20; 23/20; 11/10; 5/6
Aldershot; 23/10; 21/10; 11/5; 11/5; 9/4; 9/4; 11/5; 21/10; 11/5; 11/5; 9/4; 23/10; 9/4; 11/5; 17/10
Draw; 12/5; 12/5; 23/10; 23/10; 40/17; 23/10; 21/10; 9/4; 23/10; 23/10; 40/17; 12/5; 12/5; 23/10; 7/4
META; english/non-league/national-league/afc-fylde-v-aldershot; 2018-03-06 15:06:52 GMT+2; 2018-03-10 15:00; e70300-dr003
AFC Fylde; 23/20; 11/10; 63/50; 21/20; 11/10; 11/10; 23/20; 11/10; 11/10; 21/20; 11/10; 11/10; 23/20; 11/10; 1/100
Aldershot; 23/10; 21/10; 117/0; 11/5; 11/5; 9/4; 9/4; 2; 21/10; 11/5; 11/5; 9/4; 9/4; 11/5; 1/8
Draw; 12/5; 12/5; 63/25; 23/10; 23/10; 40/17; 23/10; 9/4; 23/10; 23/10; 23/10; 40/17; 12/5; 23/10; 1/8
META; english/non-league/national-league/afc-fylde-v-aldershot; 2018-03-08 10:17:30 GMT+2; 2018-03-10 15:00; e70300-dr003
AFC Fylde; 23/20; 11/10; 23/20; 11/10; 121/100; 11/10; 11/10; 11/10; 23/20; 23/20; 11/10; 11/10; 23/20; 11/10; 11/10; 11/10; 8/7; 11/10; 11/10; 23/20; 11/10; 21/20; 23/20
Aldershot; 23/10; 12/5; 11/5; 21/10; 123/50; 21/10; 9/4; 9/4; 11/5; 9/4; 11/5; 9/4; 23/10; 21/10; 23/10; 11/5; 57/29; 9/4; 5/2; 9/4; 23/10; 19/10; 12/5
Draw; 12/5; 12/5; 9/4; 12/5; 63/25; 11/5; 23/10; 40/17; 9/4; 23/10; 21/10; 9/4; 23/10; 9/4; 40/17; 23/10; 12/5; 40/17; 12/5; 12/5; 12/5; 2; 5/2
META; english/non-league/national-league/afc-fylde-v-aldershot; 2018-03-08 12:21:04 GMT+2; 2018-03-10 15:00; e70300-dr003
AFC Fylde; 23/20; 11/10; 23/20; 11/10; 121/00; 11/10; 11/10; 11/10; 23/20; 23/20; 11/10; 11/10; 23/20; 11/10; 11/10; 11/10; 8/7; 11/10; 11/10; 23/20; 11/10; 21/20; 21/20; 23/20
Aldershot; 23/10; 12/5; 11/5; 21/10; 123/0; 21/10; 9/4; 9/4; 11/5; 9/4; 11/5; 9/4; 23/10; 21/10; 23/10; 11/5; 57/29; 9/4; 5/2; 9/4; 23/10; 11/5; 2; 12/5
Draw; 12/5; 12/5; 9/4; 12/5; 63/25; 11/5; 23/10; 40/17; 9/4; 23/10; 21/10; 9/4; 23/10; 9/4; 40/17; 23/10; 12/5; 40/17; 12/5; 12/5; 12/5; 2; 5/2; 
META; english/non-league/national-league/afc-fylde-v-aldershot; 2018-03-09 12:20:14 GMT+2; 2018-03-10 15:00; e70300-dr003
AFC Fylde; 23/20; 11/10; 23/20; 11/10; 121/100; 11/10; 11/10; 11/10; 23/20; 11/10; 11/10; 11/10; 23/20; 11/10; 11/10; 11/10; 15/13; 11/10; 23/20; 23/20; 10/9; 11/10; 23/20
Aldershot; 23/10; 12/5; 11/5; 21/10; 123/50; 21/10; 9/4; 9/4; 11/5; 23/10; 11/5; 9/4; 23/10; 11/5; 23/10; 11/5; 21/10; 9/4; 23/10; 9/4; 21/10; 11/5; 12/5
Draw; 12/5; 12/5; 9/4; 12/5; 63/25; 11/5; 23/10; 40/17; 9/4; 23/10; 11/5; 9/4; 23/10; 9/4; 40/17; 23/10; 5/2; 40/17; 12/5; 12/5; 9/4; 21/10; 5/2
META; english/non-league/national-league/afc-fylde-v-aldershot; 2018-03-10 12:20:51 GMT+2; 2018-03-10 15:00; e70300-dr003
AFC Fylde; 23/20; 11/10; 11/10; 11/10; 113/00; 1; 11/10; 11/10; 11/10; 21/20; 11/10; 11/10; 11/10; 21/20; 11/10; 11/10; 13/12; 11/10; 11/10; 21/20; 11/10; 10/9; 11/10; 11/10
Draw; 12/5; 12/5; 9/4; 23/10; 13/5; 23/10; 12/5; 40/17; 23/10; 23/10; 11/5; 23/10; 12/5; 9/4; 40/17; 23/10; 28/11; 40/17; 5/2; 12/5; 12/5; 12/5; 11/5; 
Aldershot; 23/10; 12/5; 23/10; 23/10; 13/5; 12/5; 12/5; 9/4; 23/10; 12/5; 11/5; 23/10; 23/10; 23/10; 23/10; 11/5; 9/4; 9/4; 12/5; 49/20; 23/10; 12/5; 23/10; 
