META; english/non-league/national-league/maidenhead-utd-v-sutton-utd; 2018-04-16 20:42:24 GMT+3; 2018-04-17 19:45; e70300-dr003
Sutton Utd; 6/5; 5/4; 6/5; 5/4; 127/00; 23/20; 13/11; 6/5; 6/5; 23/20; 6/5; 23/20; 6/5; 6/5; 15/13; 17/14; 13/11; 6/5; 6/5; 11/10; 2/5; 10/9; 6/5
Maidenhead Utd; 23/10; 21/10; 2; 21/10; 57/25; 21/10; 11/5; 2; 21/10; 19/10; 2; 2; 21/10; 11/5; 133/7; 11/5; 21/10; 21/10; 21/10; 2; 13/8; 9/4; 
Draw; 9/4; 12/5; 23/10; 12/5; 64/25; 23/10; 11/5; 23/10; 23/10; 23/10; 23/10; 21/10; 9/4; 23/10; 11/5; 28/11; 11/5; 5/2; 40/17; 12/5; 23/10; 15/8; 5/2
META; english/non-league/national-league/maidenhead-utd-v-sutton-utd; 2018-04-17 20:44:47 GMT+3; 2018-04-17 19:45; e70300-dr003
Sutton Utd; 1; 11/10; 1; 21/20; 107/00; 1; 21/20; 11/10; 1; 21/20; 20/21; 21/20; 11/10; 1; 1; 21/20; 11/10; 1; 1; 21/20; 11/10; 10/9; ; 
Maidenhead Utd; 11/4; 12/5; 23/10; 12/5; 123/0; 23/10; 23/10; 12/5; 23/10; 12/5; 9/4; 47/20; 2; 23/10; 40/17; 12/5; 23/10; 12/5; 5/2; 40/17; 9/4; 23/10; 23/10; 12/5
Draw; 23/10; 5/2; 12/5; 13/5; 147/0; 23/10; 5/2; 11/5; 12/5; 12/5; 12/5; 47/20; 11/5; 12/5; 28/11; 12/5; 28/11; 11/5; 13/5; 13/5; 14/5; 13/5; 13/5; 11/4
