META; english/non-league/national-league/tranmere-v-gateshead; 2018-02-27 18:19:31 GMT+2; 2018-03-03 15:00; e70300-dr003
Tranmere; 4/7; 8/13; 3/5; 6/10; 13/20; ; 4/7; ; 3/5; 6/10; 4/7; 6/10; ; 6/10; 8/13; 4/7; 10/17; 3/5; 4/7; 3/5; 3/5; 8/13; 11/18; ; 4/9; 8/15; 
Draw; 11/4; 14/5; 27/10; 11/4; 3; ; 11/4; ; 13/5; 27/10; 14/5; 13/5; ; 13/5; 3; 13/5; 11/4; 27/10; 29/10; 13/5; ; 57/20; 14/5; ; 19/10; 5/2; 
Gateshead; 5; 4; 17/4; 4; 49/10; ; 9/2; ; 22/5; 17/4; 9/2; 15/4; ; 17/4; 4; 4; 21/5; 17/4; 19/5; 22/5; 9/2; 17/4; 21/5; ; 7/2; 7/2; 
META; english/non-league/national-league/tranmere-v-gateshead; 2018-03-01 16:01:54 GMT+2; ; e70300-dr003
Tranmere d w d w l w; 4/7; 8/13; 3/5; 6/10; 61/100; 5/9; 3/5; 6/10; 4/7; 11/20; 6/10; 4/7; 4/7; 11/18; 3/5; 10/17; 3/5; 3/5; 4/7; 11/18; 4/9; 8/15
Draw; 11/4; 29/10; 27/10; 11/4; 31/10; 14/5; 13/5; 27/10; 14/5; 5/2; 13/5; 14/5; 13/5; 14/5; 27/10; 14/5; 13/5; 57/20; 14/5; 13/5; 5/2; 
Gateshead w l w l d d; 5; 9/2; 9/2; 4; 53/10; 19/4; 22/5; 9/2; 9/2; 9/2; 17/4; 19/4; 9/2; 74/17; 17/4; 21/5; 22/5; 9/2; 19/4; 22/5; 7/2; 7/2
META; english/non-league/national-league/tranmere-v-gateshead; 2018-03-02 08:22:58 GMT+2; 2018-03-03 15:00; e70300-dr003
Tranmere; 6/10; 11/20; 8/13; 3/5; 4/7; 8/13; 4/7; 8/15
Draw; 11/4; 5/2; 14/5; 27/10; 57/20; 37/13; 27/10; 13/5
Gateshead; 4; 9/2; 41/10; 17/4; 19/4; 54/13; 24/5; 23/5
META; english/non-league/national-league/tranmere-v-gateshead; 2018-03-02 14:02:11 GMT+2; 2018-03-03 15:00; e70300-dr003
Tranmere; 4/9; 18/35; 3/5; 4/7; 8/15; 4/7; 8/15
Draw; 29/10; 3; 27/10; 57/20; 3; 27/10; 13/5
Gateshead; 5; 51/10; 17/4; 19/4; 67/13; 24/5; 23/5
META; english/non-league/national-league/tranmere-v-gateshead; 2018-04-10 08:20:52 GMT+3; 2018-04-10 19:45; e70300-dr003
Tranmere; 4/11; 4/11; 4/11; 4/11; 19/50; 3/10; 1/3; 10/29; 4/11; 1/3; 1/3; 4/11; 7/20; 1/3; 6/19; 6/17; 3/8; 10/29; 4/11; 1/3; 1/3; 
Draw; 7/2; 10/3; 17/5; 19/5; 41/10; 18/5; 15/4; 7/2; 17/5; 18/5; 10/3; 10/3; 16/5; 7/2; 15/4; 10/3; 37/10; 7/2; 15/4; 19/5; 15/4; 7/2
Gateshead; 8; 15/2; 15/2; 87/10; 15/2; 8; 15/2; 15/2; 7; 6; 8; 15/2; 13/2; 7; 33/4; 8; 44/5; ; ; ; ; 
