META; english/non-league/national-league/boreham-wood-v-tranmere; 2018-03-12 10:28:50 GMT+2; 2018-03-17 15:00; e70300-dr003
Boreham Wood; 6/4; 3/2; 167/00; 6/4; 6/4; 7/5; 6/4; 8/5; 31/20; 13/8
Tranmere; 6/4; 13/8; 167/00; 6/4; 8/5; 6/4; 6/4; 13/8; 31/20; 13/8
Draw; 12/5; 23/10; 131/0; 12/5; 23/10; 23/10; 12/5; 12/5; 49/20; 5/2
META; english/non-league/national-league/boreham-wood-v-tranmere; 2018-03-12 20:20:57 GMT+2; 2018-03-17 15:00; e70300-dr003
Boreham Wood; 7/5; 7/5; 11/8; 13/10; 6/4; 11/8; 11/8; 29/20; 13/10; 7/5; 11/8; 7/5; 13/10; 17/13; 7/5; 7/5; 7/5; 1/10; 7/5
Tranmere; 15/8; 19/10; 9/5; 7/4; 193/00; 9/5; 9/5; 9/5; 17/10; 7/4; 7/4; 28/17; 9/5; 5/3; 15/8; 9/5; 17/10; 1/10; 9/5
Draw; 12/5; 11/5; 21/10; 63/25; 23/10; 11/5; 11/5; 9/4; 12/5; 11/5; 9/4; 12/5; 12/5; 12/5; 47/20; 23/10; 1/12; 12/5; 
META; english/non-league/national-league/boreham-wood-v-tranmere; 2018-03-13 12:23:46 GMT+2; 2018-03-17 15:00; e70300-dr003
Boreham Wood; 7/5; 6/4; 29/20; 13/10; 79/50; 7/5; 23/17; 29/20; 7/5; 7/5; 6/4; 11/8; 7/5; 7/5; 17/13; 23/17; 29/20; 29/20; 7/5; 1/7; 6/4
Tranmere; 15/8; 19/10; 15/8; 7/4; 2; 9/5; 7/4; 15/8; 15/8; 7/4; 15/8; 9/5; 9/5; 7/4; 5/3; 7/4; 19/10; 37/20; 9/5; 1/7; 19/10
Draw; 11/5; 2; 21/10; 57/25; 21/10; 40/17; 2; 11/5; 2; 21/10; 21/10; 21/10; 9/4; 12/5; 40/17; 9/4; 11/5; 21/10; 1/4; 21/10; 
META; english/non-league/national-league/boreham-wood-v-tranmere; 2018-03-13 20:21:34 GMT+2; 2018-03-17 15:00; e70300-dr003
Boreham Wood; 7/5; 6/4; 29/20; 29/20; 79/50; 7/5; 23/17; 29/20; 7/5; 7/5; 6/4; 7/5; 7/5; 7/5; 17/13; 23/17; 29/20; 29/20; 16/11; 1/7; 6/4
Tranmere; 15/8; 19/10; 15/8; 9/5; 2; 9/5; 7/4; 15/8; 15/8; 7/4; 15/8; 9/5; 9/5; 7/4; 5/3; 7/4; 19/10; 37/20; 24/13; 1/7; 19/10
Draw; 11/5; 2; 21/10; 57/25; 21/10; 40/17; 2; 11/5; 2; 21/10; 2; 28/13; 9/4; 12/5; 40/17; 9/4; 11/5; 28/13; 1/4; 21/10; 
META; english/non-league/national-league/boreham-wood-v-tranmere; 2018-03-14 20:20:23 GMT+2; 2018-03-17 15:00; e70300-dr003
Boreham Wood; 7/5; 6/4; 29/20; 29/20; 79/50; 7/5; 23/17; 29/20; 7/5; 7/5; 29/20; 6/4; 7/5; 16/11; 7/5; 17/13; 23/17; 29/20; 29/20; 16/11; 23/20; 13/10; 6/4
Tranmere; 15/8; 19/10; 15/8; 9/5; 2; 15/8; 7/4; 15/8; 15/8; 7/4; 37/20; 15/8; 9/5; 24/13; 7/4; 5/3; 7/4; 19/10; 37/20; 24/13; 13/8; 17/10; 19/10
Draw; 11/5; 2; 21/10; 57/25; 21/10; 40/17; 2; 11/5; 2; 41/20; 21/10; 2; 9/4; 12/5; 40/17; 9/4; 11/5; 11/5; 2; 19/10; 11/5; ; 
META; english/non-league/national-league/boreham-wood-v-tranmere; 2018-03-15 13:13:06 GMT+2; 2018-03-17 15:00; e70300-dr003
Boreham Wood; 11/8; 6/4; 29/20; 29/20; 79/50; 7/5; 23/17; 29/20; 7/5; 7/5; 29/20; 6/4; 7/5; 16/11; 7/5; 17/13; 23/17; 29/20; 29/20; 16/11; 13/10; 27/20; 6/4
Tranmere; 15/8; 19/10; 15/8; 9/5; 2; 9/5; 7/4; 15/8; 15/8; 7/4; 37/20; 15/8; 9/5; 24/13; 7/4; 5/3; 7/4; 19/10; 37/20; 24/13; 9/5; 17/10; 19/10
Draw; 11/5; 2; 21/10; 57/25; 21/10; 40/17; 2; 11/5; 2; 41/20; 21/10; 2; 28/13; 9/4; 12/5; 40/17; 9/4; 11/5; 11/5; 19/10; 15/8; 11/5; 
META; english/non-league/national-league/boreham-wood-v-tranmere; 2018-03-15 20:20:25 GMT+2; 2018-03-17 15:00; e70300-dr003
Boreham Wood; 11/8; 6/4; 29/20; 29/20; 79/50; 7/5; 23/17; 29/20; 7/5; 7/5; 29/20; 6/4; 7/5; 16/11; 7/5; 17/13; 23/17; 29/20; 29/20; 16/11; 7/5; 6/4; 6/4
Tranmere; 15/8; 19/10; 15/8; 9/5; 2; 15/8; 7/4; 15/8; 15/8; 7/4; 37/20; 15/8; 9/5; 24/13; 7/4; 5/3; 7/4; 19/10; 37/20; 24/13; 19/10; 19/10; 19/10
Draw; 11/5; 2; 21/10; 57/25; 21/10; 40/17; 2; 11/5; 2; 41/20; 21/10; 2; 28/13; 9/4; 12/5; 40/17; 9/4; 11/5; 11/5; 2; 21/10; 11/5; 
META; english/non-league/national-league/boreham-wood-v-tranmere; 2018-03-16 10:21:03 GMT+2; 2018-03-17 15:00; e70300-dr003
Boreham Wood; 11/8; 6/4; 29/20; 29/20; 79/50; 7/5; 23/17; 29/20; 7/5; 7/5; 7/5; 6/4; 7/5; 16/11; 7/5; 17/13; 23/17; 29/20; 29/20; 16/11; 7/5; 6/4; 6/4
Tranmere; 15/8; 19/10; 15/8; 9/5; 2; 15/8; 7/4; 15/8; 15/8; 7/4; 37/20; 15/8; 9/5; 9/5; 7/4; 5/3; 7/4; 19/10; 37/20; 24/13; 19/10; 19/10; 19/10
Draw; 11/5; 2; 21/10; 57/25; 21/10; 40/17; 2; 11/5; 2; 21/10; 21/10; 2; 11/5; 9/4; 12/5; 40/17; 9/4; 11/5; 11/5; 2; 21/10; 11/5; 
META; english/non-league/national-league/boreham-wood-v-tranmere; 2018-03-16 16:24:12 GMT+2; 2018-03-17 15:00; e70300-dr003
Boreham Wood; 11/8; 6/4; 29/20; 29/20; 79/50; 6/4; 4/3; 29/20; 7/5; 7/5; 29/20; 6/4; 7/5; 16/11; 7/5; 7/5; 4/3; 6/4; 6/4; 16/11; 7/5; 6/4; 6/4
