META; english/non-league/national-league/wrexham-v-gateshead; 2017-08-15 20:21:54 GMT+3; 2017-08-15 19:45; e70300-dr003
Wrexham; 11/10; 11/10; 11/10; 11/10; 23/20; 23/20; 11/10; 5/4; 21/20; ; 11/10; 21/20; 23/20; 23/20; 11/10; 11/10; 11/10; 21/20; 11/10; 59/50; 9/8; 21/20; ; 11/10; 11/10; ; 10/9; 5/4; 
Draw; 5/2; 9/4; 11/5; 11/5; 9/4; 11/5; 12/5; 23/10; 12/5; ; 11/5; 21/10; 47/20; 23/10; 23/10; 9/4; 23/10; 12/5; 40/17; 62/25; 12/5; 12/5; ; 23/10; 12/5; ; 23/10; 23/10; 
Gateshead; 23/10; 12/5; 47/20; 12/5; 23/10; 19/10; 5/2; 2; 11/5; 23/10; 23/10; 23/10; 23/10; 12/5; 12/5; 23/10; 2; 11/5; 23/10; 129/50; 9/4; 11/5; ; 23/10; 12/5; ; 12/5; 11/5; 
