META; english/non-league/national-league/leyton-orient-v-barrow; 2018-04-03 18:21:33 GMT+3; 2018-04-07 15:00; e70300-dr003
Leyton Orient; 1; 21/20; 21/20; 107/100; 10/11; 1; 9/10; 21/20; 1; 1; 1; 10/11; 21/20; 9/10; 21/20; 1; 1/7; 21/20; ; ; ; 
Draw; 12/5; 23/10; 9/4; 9/4; 129/50; 23/10; 23/10; 12/5; 9/4; 23/10; 11/5; 5/2; 9/4; 12/5; 12/5; 23/10; 12/5; 12/5; 12/5; 12/5; 1/6; 5/2
Barrow; 23/10; 13/5; 5/2; 12/5; 14/5; 13/5; 5/2; 27/10; 5/2; 13/5; 12/5; 5/2; 12/5; 27/11; 27/10; 11/5; 27/10; 13/5; 13/5; 5/2; 2/13; 27/10
META; english/non-league/national-league/leyton-orient-v-barrow; 2018-04-04 08:20:32 GMT+3; 2018-04-07 15:00; e70300-dr003
Leyton Orient; 1; 21/20; 21/20; 109/100; 10/11; 1; 9/10; 21/20; 1; 21/20; 1; 10/11; 21/20; 9/10; 21/20; 1; 4/11; 21/20; ; ; ; 
Draw; 12/5; 23/10; 9/4; 9/4; 129/50; 23/10; 23/10; 12/5; 9/4; 23/10; 11/5; 13/5; 9/4; 12/5; 12/5; 23/10; 12/5; 12/5; 12/5; 12/5; 2/9; 5/2
Barrow; 23/10; 13/5; 5/2; 12/5; 137/50; 13/5; 5/2; 27/10; 5/2; 13/5; 12/5; 13/5; 12/5; 27/11; 27/10; 11/5; 27/10; 13/5; 13/5; 5/2; 1/50; 27/10
META; english/non-league/national-league/leyton-orient-v-barrow; 2018-04-04 18:22:01 GMT+3; 2018-04-07 15:00; e70300-dr003
Leyton Orient; 10/11; 19/20; 19/20; 21/20; 101/00; 10/11; 20/21; 9/10; 19/20; 20/21; 10/11; 19/20; 21/20; 10/11; 19/20; 10/11; 21/20; 9/10; 20/21; 19/20; 19/20; 5/6; 10/11; 20/21
Draw; 12/5; 23/10; 9/4; 9/4; 131/0; 23/10; 12/5; 12/5; 9/4; 23/10; 11/5; 9/4; 5/2; 23/10; 27/11; 12/5; 23/10; 12/5; 12/5; 12/5; 27/11; 2; 11/5; 13/5
Barrow; 13/5; 13/5; 27/10; 12/5; 74/25; 13/5; 11/4; 27/10; 27/10; 11/4; 13/5; 27/10; 11/4; 13/5; 27/10; 27/10; 11/5; 27/10; 29/10; 14/5; 11/4; 21/10; 23/10; 14/5
META; english/non-league/national-league/leyton-orient-v-barrow; 2018-04-05 13:15:30 GMT+3; 2018-04-07 15:00; e70300-dr003
Leyton Orient; 10/11; 10/11; 19/20; 10/11; 101/100; 9/10; 20/21; 9/10; 19/20; 19/20; 10/11; 19/20; 21/20; 10/11; 19/20; 10/11; 28/29; 9/10; 20/21; 19/20; 5/6; 10/11; 1
Draw; 12/5; 23/10; 9/4; 23/10; 131/50; 23/10; 12/5; 12/5; 9/4; 23/10; 11/5; 9/4; 5/2; 23/10; 27/11; 12/5; 23/10; 12/5; 12/5; 27/11; 2; 11/5; 13/5
Barrow; 13/5; 14/5; 27/10; 11/4; 149/50; 13/5; 11/4; 27/10; 27/10; 14/5; 13/5; 27/10; 11/4; 13/5; 27/10; 27/10; 27/11; 27/10; 29/10; 11/4; 23/10; 9/4; 14/5
META; english/non-league/national-league/leyton-orient-v-barrow; 2018-04-06 08:20:48 GMT+3; 2018-04-07 15:00; e70300-dr003
Leyton Orient; 17/20; 5/6; 5/6; 10/11; 89/100; 17/20; 17/20; 9/10; 5/6; 17/20; 4/5; 17/20; 17/20; 5/6; 5/6; 10/11; 9/10; 9/10; 17/20; 13/15; 5/6; 5/6; 5/6
Draw; 5/2; 12/5; 23/10; 23/10; 67/25; 23/10; 12/5; 12/5; 23/10; 12/5; 9/4; 23/10; 13/5; 23/10; 5/2; 12/5; 27/11; 12/5; 5/2; 5/2; 9/4; 23/10; 13/5
Barrow; 16/5; 16/5; 3; 11/4; 69/20; 3; 27/10; 3; 3; 7/2; 3; 58/19; 27/10; 56/19; 27/10; 33/10; 31/10; 3; 10/3; ; ; ; 
META; english/non-league/national-league/leyton-orient-v-barrow; 2018-04-07 12:21:58 GMT+3; 2018-04-07 15:00; e70300-dr003
Leyton Orient; 17/20; 17/20; 5/6; 5/6; 9/10; 4/5; 5/6; 11/13; 5/6; 5/6; 4/5; 5/6; 17/20; 4/5; 5/6; 10/11; 7/8; 11/13; 5/6; 5/6; 5/6; 5/6; 5/6
Draw; 5/2; 23/10; 11/5; 5/2; 51/20; 23/10; 12/5; 27/11; 11/5; 12/5; 9/4; 9/4; 13/5; 23/10; 27/11; 23/10; 12/5; 27/11; 5/2; 27/11; 12/5; 23/10; 
Barrow; 16/5; 16/5; 13/4; 10/3; 18/5; 16/5; 10/3; 29/10; 13/4; 16/5; 3; 16/5; 7/2; 3; 13/4; 11/4; 31/10; 29/10; 17/5; 33/10; 7/2; 7/2; 
