META; english/non-league/national-league/torquay-v-guiseley; 2018-03-18 14:20:14 GMT+2; 2018-03-24 15:00; e70300-dr003
Torquay; 4/5
Draw; 5/2
Guiseley; 16/5
META; english/non-league/national-league/torquay-v-guiseley; 2018-03-19 08:19:04 GMT+2; 2018-03-24 15:00; e70300-dr003
Torquay; 4/5; 4/5; 23/25; 4/5; 4/5; 4/5; 4/5; 4/5; 5/6; 5/6; 9/10
Draw; 5/2; 5/2; 68/25; 5/2; 5/2; 12/5; 12/5; 5/2; 5/2; 51/20; 5/2
Guiseley; 3; 16/5; 13/4; 3; 16/5; 14/5; 3; 10/3; 3; 5/2; 
META; english/non-league/national-league/torquay-v-guiseley; 2018-03-20 08:20:04 GMT+2; 2018-03-24 15:00; e70300-dr003
Torquay; 4/5; 5/6; 23/25; 4/5; 11/13; 4/5; 4/5; 5/6; 4/5; 4/5; 4/5; 11/13; 5/6; 5/6; 4/5; 4/7; 9/10
Draw; 5/2; 5/2; 68/25; 5/2; 12/5; 12/5; 12/5; 47/20; 12/5; 27/11; 5/2; 12/5; 5/2; 51/20; 5/2; 9/5; 13/5
Guiseley; 3; 10/3; 13/4; 3; 56/19; 10/3; 14/5; 31/10; 3; 56/19; 3; 56/19; 17/5; 3; 11/4; 3; 
META; english/non-league/national-league/torquay-v-guiseley; 2018-03-21 14:20:39 GMT+2; 2018-03-24 15:00; e70300-dr003
Torquay; 4/5; 17/20; 5/6; 5/6; 22/25; 3/4; 4/5; 11/13; 5/6; 5/6; 5/6; 4/5; 4/5; 4/5; 4/5; 4/5; 4/5; 11/13; 5/6; 5/6; 4/5; 4/6; 4/5; 5/6
Draw; 13/5; 5/2; 12/5; 12/5; 67/25; 12/5; 12/5; 12/5; 12/5; 12/5; 11/5; 47/20; 23/10; 23/10; 27/11; 5/2; 27/11; 12/5; 5/2; 51/20; 27/11; 21/10; 9/4; 13/5
Guiseley; 10/3; 10/3; 3; 7/2; 3; 16/5; 56/19; 3; 16/5; 3; 31/10; 14/5; 3; 41/13; 3; 29/10; 56/19; 17/5; 16/5; 41/13; 2/7; 13/5; 10/3; 
META; english/non-league/national-league/torquay-v-guiseley; 2018-03-22 12:39:20 GMT+2; 2018-03-24 15:00; e70300-dr003
Torquay; 4/5; 17/20; 5/6; 5/6; 9/10; 3/4; 5/6; 11/13; 5/6; 5/6; 5/6; 4/5; 4/5; 4/5; 4/5; 4/5; 4/5; 11/13; 4/5; 5/6; 5/6; 8/11; 4/5; 5/6
Draw; 13/5; 5/2; 12/5; 12/5; 67/25; 12/5; 5/2; 12/5; 12/5; 12/5; 11/5; 47/20; 23/10; 12/5; 5/2; 5/2; 27/11; 12/5; 13/5; 51/20; 5/2; 21/10; 9/4; 13/5
Guiseley; 10/3; 10/3; 3; 17/5; 3; 16/5; 56/19; 3; 16/5; 3; 31/10; 14/5; 3; 16/5; 3; 29/10; 56/19; 10/3; 16/5; 13/4; 14/5; 13/5; 10/3; 
META; english/non-league/national-league/torquay-v-guiseley; 2018-03-23 14:46:10 GMT+2; 2018-03-24 15:00; e70300-dr003
Torquay; 4/5; 17/20; 5/6; 5/6; 9/10; 3/4; 5/6; 11/13; 5/6; 5/6; 5/6; 5/6; 4/5; 4/5; 5/6; 4/5; 11/13; 11/13; 5/6; 5/6; 5/6; 5/6; 5/6; 5/6
Draw; 13/5; 5/2; 12/5; 12/5; 67/25; 12/5; 5/2; 12/5; 12/5; 12/5; 11/5; 47/20; 23/10; 23/10; 5/2; 5/2; 5/2; 12/5; 5/2; 51/20; 5/2; 23/10; 12/5; 13/5
Guiseley; 10/3; 10/3; 16/5; 7/2; 17/5; 3; 16/5; 56/19; 16/5; 16/5; 3; 31/10; 14/5; 3; 41/13; 3; 58/19; 56/19; 17/5; 16/5; 16/5; 3; 10/3; 10/3
META; english/non-league/national-league/torquay-v-guiseley; 2018-04-23 10:19:10 GMT+3; 2018-04-24 19:45; e70300-dr003
Torquay; 8/13; 8/13; 6/10; 4/6; 33/50; 11/20; 3/5; 6/10; 3/5; 6/10; 8/13; 3/5; 8/13; 10/17; 3/5; 8/13; 3/5; 8/13; 10/17; 4/7
Draw; 3; 14/5; 3; 63/20; 3; 29/10; 14/5; 29/10; 11/4; 11/4; 11/4; 14/5; 56/19; 29/10; 3; 29/10; 3; 11/4; ; 
Guiseley; 4; 4; 9/2; 4; 19/5; 4; 7/2; 19/5; 100/0; 15/4; 21/5; 15/4; 39/10; 19/5; 17/4; 17/4; 7/2; ; ; 
META; english/non-league/national-league/torquay-v-guiseley; 2018-04-24 08:19:13 GMT+3; 2018-04-24 19:45; e70300-dr003
Torquay; 8/13; 3/5; 4/7; 8/13; 61/00; 1/2; 4/7; 8/15; 4/7; 8/15; 8/15; 11/20; 1/2; 4/7; 4/7; 3/5; 6/11; 8/15; 11/20; 10/17; 4/7; 4/7; 4/9
Draw; 3; 29/10; 16/5; 33/10; 3; 31/10; 29/10; 3; 14/5; 29/10; 14/5; 14/5; 3; 29/10; 16/5; 31/10; 16/5; 58/19; 3; 12/5; ; ; 
Guiseley; 4; 9/2; 17/4; 4; 24/5; 9/2; 17/4; 21/5; 17/4; 9/2; 4; 17/4; 17/4; 4; 21/5; 15/4; 22/5; 21/5; 19/4; 17/4; 17/4; 22/5; 7/2
