META; english/non-league/national-league/hartlepool-v-solihull-moors; 2018-04-03 18:21:30 GMT+3; 2018-04-07 15:00; e70300-dr003
Hartlepool; 13/10; 7/5; 29/20; 29/20; 38/25; 5/4; 7/5; 23/17; 29/20; 7/5; 29/20; 11/8; 11/8; 7/5; 7/5; 23/17; 23/17; 29/20; 29/20; 7/5; 1/100; 6/4
Solihull Moors; 17/10; 15/8; 9/5; 9/5; 39/20; 9/5; 7/4; 17/10; 9/5; 9/5; 7/4; 9/5; 7/4; 7/4; 28/17; 22/13; 17/10; 15/8; 37/20; 9/5; 1/100; 19/10
Draw; 12/5; 11/5; 21/10; 21/10; 49/20; 23/10; 9/4; 12/5; 21/10; 23/10; 2; 12/5; 21/10; 23/10; 12/5; 23/10; 12/5; 23/10; 9/4; 23/10; 1/100; 12/5
META; english/non-league/national-league/hartlepool-v-solihull-moors; 2018-04-04 08:20:29 GMT+3; 2018-04-07 15:00; e70300-dr003
Hartlepool; 13/10; 7/5; 6/4; 29/20; 159/100; 13/10; 7/5; 23/17; 6/4; 7/5; 29/20; 5/4; 11/8; 7/5; 7/5; 23/17; 23/17; 29/20; 29/20; 16/11; 1/100; 6/4
Solihull Moors; 17/10; 15/8; 7/4; 9/5; 93/50; 17/10; 7/4; 17/10; 7/4; 9/5; 7/4; 7/4; 7/4; 17/10; 28/17; 22/13; 17/10; 15/8; 37/20; 17/10; 1/100; 9/5
Draw; 12/5; 11/5; 21/10; 21/10; 49/20; 11/5; 9/4; 12/5; 21/10; 23/10; 2; 11/5; 21/10; 9/4; 12/5; 23/10; 12/5; 23/10; 9/4; 23/10; 1/100; 12/5
META; english/non-league/national-league/hartlepool-v-solihull-moors; 2018-04-04 18:21:58 GMT+3; 2018-04-07 15:00; e70300-dr003
Hartlepool; 13/10; 7/5; 6/4; 29/20; 159/00; 13/10; 7/5; 23/17; 6/4; 7/5; 29/20; 29/20; 5/4; 11/8; 16/11; 7/5; 23/17; 23/17; 29/20; 29/20; 16/11; 7/5; 6/4
Solihull Moors; 17/10; 15/8; 7/4; 9/5; 93/50; 17/10; 7/4; 17/10; 7/4; 7/4; 7/4; 9/5; 7/4; 7/4; 7/4; 28/17; 22/13; 17/10; 15/8; 37/20; 7/4; 6/4; 9/5
Draw; 12/5; 11/5; 21/10; 21/10; 49/20; 11/5; 9/4; 12/5; 21/10; 23/10; 2; 41/20; 11/5; 21/10; 23/10; 12/5; 23/10; 12/5; 23/10; 9/4; 40/17; 19/10; 12/5
META; english/non-league/national-league/hartlepool-v-solihull-moors; 2018-04-05 13:15:26 GMT+3; 2018-04-07 15:00; e70300-dr003
Hartlepool; 13/10; 7/5; 6/4; 29/20; 159/100; 13/10; 6/4; 10/7; 6/4; 29/20; 29/20; 29/20; 5/4; 7/5; 16/11; 7/5; 23/17; 10/7; 29/20; 16/11; 7/5; 6/4
Solihull Moors; 17/10; 15/8; 7/4; 9/5; 93/50; 17/10; 7/4; 17/10; 7/4; 9/5; 7/4; 9/5; 7/4; 7/4; 17/10; 28/17; 22/13; 17/10; 15/8; 7/4; 6/4; 9/5
Draw; 12/5; 11/5; 21/10; 21/10; 49/20; 11/5; 9/4; 9/4; 21/10; 11/5; 2; 21/10; 11/5; 21/10; 23/10; 12/5; 23/10; 9/4; 23/10; 23/10; 19/10; 12/5
META; english/non-league/national-league/hartlepool-v-solihull-moors; 2018-04-06 08:20:45 GMT+3; 2018-04-07 15:00; e70300-dr003
Hartlepool; 7/5; 13/8; 8/5; 8/5; 171/100; 6/4; 8/5; 10/7; 8/5; 6/4; 8/5; 31/20; 6/4; 6/4; 17/11; 7/5; 32/21; 10/7; 13/8; 17/11; 6/4; 17/10
Solihull Moors; 19/10; 13/8; 13/8; 8/5; 7/4; 13/8; 13/8; 17/10; 13/8; 17/10; 6/4; 33/20; 6/4; 8/5; 28/17; 28/17; 22/13; 17/10; 13/8; 17/10; 6/4; 17/10
Draw; 9/4; 21/10; 21/10; 21/10; 121/50; 11/5; 11/5; 9/4; 21/10; 11/5; 21/10; 21/10; 21/10; 21/10; 9/4; 12/5; 23/10; 9/4; 9/4; 9/4; 19/10; 12/5
META; english/non-league/national-league/hartlepool-v-solihull-moors; 2018-04-07 12:21:55 GMT+3; 2018-04-07 15:00; e70300-dr003
Solihull Moors; 29/20; 6/4; 29/20; 8/5; 157/100; 6/4; 6/4; 10/7; 29/20; 6/4; 29/20; 29/20; 7/5; 7/5; 16/11; 6/4; 10/7; 10/7; 6/4; 6/4; 6/4; 6/4
Hartlepool; 19/10; 7/4; 9/5; 8/5; 47/25; 13/8; 7/4; 17/10; 9/5; 7/4; 17/10; 9/5; 13/8; 17/10; 7/4; 8/5; 9/5; 17/10; 15/8; 7/4; 9/5; 9/5
Draw; 9/4; 11/5; 21/10; 123/50; 21/10; 9/4; 9/4; 21/10; 11/5; 2; 21/10; 21/10; 21/10; 9/4; 23/10; 23/10; 9/4; 9/4; 9/4; 21/10; 23/10; 
